"","Age","LtTrk","Auto"
"1",0,0,0
"2",1,0.09121122,0.034518174
"3",2,0.341219528,0.288451481
"4",3,0.552303403,0.571146991
"5",4,0.696744156,0.758770596
"6",5,0.791771662,0.866083976
"7",6,0.85444262,0.925004416
"8",7,0.896384038,0.957268929
"9",8,0.924960911,0.975154885
"10",9,0.944789022,0.985251207
"11",10,0.958787006,0.991065863
"12",11,0.968829342,0.994483119
"13",12,0.976141242,0.996531257
"14",13,0.981537808,0.997781954
"15",14,0.985570593,0.998559248
"16",15,0.988618833,0.999050359
