Geo,Year,FwySmooth,ArtSmooth,LdvEcoDrive,HvyTrkEcoDrive
Barn,2015,0.008,0.008,0.008,0.008
Berk,2015,0.008,0.008,0.008,0.008
Bos1,2015,0.008,0.008,0.008,0.008
Bos2,2015,0.008,0.008,0.008,0.008
Bos3,2015,0.008,0.008,0.008,0.008
Hamp,2015,0.008,0.008,0.008,0.008
None,2015,0,0,0,0
Worc,2015,0.008,0.008,0.008,0.008
Barn,2050,0.871,0.871,0.871,0.871
Berk,2050,0.871,0.871,0.871,0.871
Bos1,2050,0.871,0.871,0.871,0.871
Bos2,2050,0.871,0.871,0.871,0.871
Bos3,2050,0.871,0.871,0.871,0.871
Hamp,2050,0.871,0.871,0.871,0.871
None,2050,0,0,0,0
Worc,2050,0.871,0.871,0.871,0.871
