Geo,UzaProfileName
Barn,"Barnstable Town, MA"
Berk,"Pittsfield, MA"
Bos1,"Boston, MA"
Bos2,"Boston, MA"
Bos3,"Boston, MA"
Hamp,"Springfield, MA"
Worc,"Worcester, MA"
None,None
