Geo,Year,AveVehPerDriver
Barnstable,2015,1
Berkshire,2015,0.9
Bristol,2015,1
Dukes,2015,0.7
Essex,2015,0.9
Franklin,2015,1
Hampden,2015,0.9
Hampshire,2015,1
Middlesex,2015,0.8
Nantucket,2015,0.7
Norfolk,2015,0.9
Plymouth,2015,1
Suffolk,2015,0.8
Worcester,2015,1
BarnOutofState,2015,0.9
BerkOutofState,2015,0.9
Bos3OutofState,2015,0.9
Bos2OutofState,2015,0.9
HampOutofState,2015,0.9
Bos1OutofState,2015,0.9
WorcOutofState,2015,0.9
Barnstable,2025,1
Berkshire,2025,0.95
Bristol,2025,1
Dukes,2025,0.85
Essex,2025,0.95
Franklin,2025,1
Hampden,2025,0.95
Hampshire,2025,1
Middlesex,2025,0.9
Nantucket,2025,0.85
Norfolk,2025,0.95
Plymouth,2025,1
Suffolk,2025,0.9
Worcester,2025,1
BarnOutofState,2025,0.95
BerkOutofState,2025,0.95
Bos3OutofState,2025,0.95
Bos2OutofState,2025,0.95
HampOutofState,2025,0.95
Bos1OutofState,2025,0.95
WorcOutofState,2025,0.95
Barnstable,2050,1
Berkshire,2050,1
Bristol,2050,1
Dukes,2050,1
Essex,2050,1
Franklin,2050,1
Hampden,2050,1
Hampshire,2050,1
Middlesex,2050,1
Nantucket,2050,1
Norfolk,2050,1
Plymouth,2050,1
Suffolk,2050,1
Worcester,2050,1
BarnOutofState,2050,1
BerkOutofState,2050,1
Bos3OutofState,2050,1
Bos2OutofState,2050,1
HampOutofState,2050,1
Bos1OutofState,2050,1
WorcOutofState,2050,1
