Geo,Year,HHIncomePC.2015,GQIncomePC.2015
Barnstable,2015,63696,10000
Berkshire,2015,50864,10000
Bristol,2015,47938,10000
Dukes,2015,72698,10000
Essex,2015,59823,10000
Franklin,2015,49935,10000
Hampden,2015,46976,10000
Hampshire,2015,47922,10000
Middlesex,2015,74324,10000
Nantucket,2015,95249,10000
Norfolk,2015,80989,10000
Plymouth,2015,59343,10000
Suffolk,2015,67656,10000
Worcester,2015,51221,10000
BarnOutofState,2015,62045,10000
BerkOutofState,2015,62045,10000
Bos3OutofState,2015,62045,10000
Bos2OutofState,2015,62045,10000
HampOutofState,2015,62045,10000
Bos1OutofState,2015,62045,10000
WorcOutofState,2015,62045,10000
Barnstable,2025,98902,10000
Berkshire,2025,77913,10000
Bristol,2025,73570,10000
Dukes,2025,118667,10000
Essex,2025,92046,10000
Franklin,2025,76422,10000
Hampden,2025,71945,10000
Hampshire,2025,73521,10000
Middlesex,2025,114101,10000
Nantucket,2025,161857,10000
Norfolk,2025,124411,10000
Plymouth,2025,91107,10000
Suffolk,2025,102822,10000
Worcester,2025,78437,10000
BarnOutofState,2025,96837,10000
BerkOutofState,2025,96837,10000
Bos3OutofState,2025,96837,10000
Bos2OutofState,2025,96837,10000
HampOutofState,2025,96837,10000
Bos1OutofState,2025,96837,10000
WorcOutofState,2025,96837,10000
Barnstable,2050,134109,10000
Berkshire,2050,104963,10000
Bristol,2050,99202,10000
Dukes,2050,164637,10000
Essex,2050,124270,10000
Franklin,2050,102910,10000
Hampden,2050,96914,10000
Hampshire,2050,99120,10000
Middlesex,2050,153879,10000
Nantucket,2050,228466,10000
Norfolk,2050,167833,10000
Plymouth,2050,122871,10000
Suffolk,2050,137988,10000
Worcester,2050,105653,10000
BarnOutofState,2050,131629,10000
BerkOutofState,2050,131629,10000
Bos3OutofState,2050,131629,10000
Bos2OutofState,2050,131629,10000
HampOutofState,2050,131629,10000
Bos1OutofState,2050,131629,10000
WorcOutofState,2050,131629,10000
