"Geo","Year","CenterPropWkrPay","CenterPropNonWrkTripPay","InnerPropWkrPay","InnerPropNonWrkTripPay","OuterPropWkrPay","OuterPropNonWrkTripPay","CenterPropCashOut","InnerPropCashOut","OuterPropCashOut","CenterPkgCost.2005","InnerPkgCost.2005","OuterPkgCost.2005"
"Barn",2015,0,0.003604835,0,0.003604835,0,0.003604835,0,0,0,1.093032511,1.093032511,1.093032511
"Berk",2015,0.004056782,0.000917964,0.004056782,0.000917964,0.004056782,0.000917964,0,0,0,0.565000958,0.565000958,0.565000958
"Bos1",2015,0.0315292413333333,0.00842722133333333,0.0315292413333333,0.00842722133333333,0.0315292413333333,0.00842722133333333,0,0,0,1.283055465,1.283055465,1.283055465
"Bos2",2015,0.0251853049857833,0.00708261418838269,0.0251853049857833,0.00708261418838269,0.0251853049857833,0.00708261418838269,0,0,0,1.08697575239529,1.08697575239529,1.08697575239529
"Bos3",2015,0.00749407616108115,0.0041438006412649,0.00749407616108115,0.0041438006412649,0.00749407616108115,0.0041438006412649,0,0,0,0.510766636278213,0.510766636278213,0.510766636278213
"Hamp",2015,0.024049131,0.005259231,0.024049131,0.005259231,0.024049131,0.005259231,0,0,0,1.20751357,1.20751357,1.20751357
"None",2015,0.00451565629458798,0.00230818222307712,0,0,0,0,0,0,0,0.31576971023731,0,0
"Worc",2015,0.0267739155908899,0.00383975920231547,0.0267739155908899,0.00383975920231547,0.0267739155908899,0.00383975920231547,0,0,0,0.546238178864721,0.546238178864721,0.546238178864721
"Barn",2050,0,0.003604835,0,0.003604835,0,0.003604835,0,0,0,1.093032511,1.093032511,1.093032511
"Berk",2050,0.004056782,0.000917964,0.004056782,0.000917964,0.004056782,0.000917964,0,0,0,0.565000958,0.565000958,0.565000958
"Bos1",2050,0.0315292413333333,0.00842722133333333,0.0315292413333333,0.00842722133333333,0.0315292413333333,0.00842722133333333,0,0,0,1.283055465,1.283055465,1.283055465
"Bos2",2050,0.0251853049857833,0.00708261418838269,0.0251853049857833,0.00708261418838269,0.0251853049857833,0.00708261418838269,0,0,0,1.08697575239529,1.08697575239529,1.08697575239529
"Bos3",2050,0.00749407616108115,0.0041438006412649,0.00749407616108115,0.0041438006412649,0.00749407616108115,0.0041438006412649,0,0,0,0.510766636278213,0.510766636278213,0.510766636278213
"Hamp",2050,0.024049131,0.005259231,0.024049131,0.005259231,0.024049131,0.005259231,0,0,0,1.20751357,1.20751357,1.20751357
"None",2050,0.00451565629458798,0.00230818222307712,0,0,0,0,0,0,0,0.31576971023731,0,0
"Worc",2050,0.0267739155908899,0.00383975920231547,0.0267739155908899,0.00383975920231547,0.0267739155908899,0.00383975920231547,0,0,0,0.546238178864721,0.546238178864721,0.546238178864721
