Geo,LdvFwyDvmtProp,LdvArtDvmtProp,LdvOthDvmtProp,HvyTrkFwyDvmtProp,HvyTrkArtDvmtProp,HvyTrkOthDvmtProp,BusFwyDvmtProp,BusArtDvmtProp,BusOthDvmtProp
Barn,0,0.58,0.42,0,0.822,0.178,0,0.848,0.152
Berk,0.18,0.56,0.26,0.094,0.693,0.213,0.145,0.658,0.197
Bos1,0.36,0.33,0.31,0.314,0.59,0.096,0.428,0.494,0.078
Bos2,0.36,0.33,0.31,0.347,0.499,0.154,0.465,0.412,0.124
Bos3,0.37,0.32,0.31,0.36,0.489,0.151,0.479,0.401,0.121
Hamp,0.31,0.37,0.32,0.226,0.636,0.138,0.322,0.559,0.119
None,0.31,0.26,0.43,0.46,0.34,0.2,0.3,0.49,0.21
Worc,0.37,0.31,0.32,0.336,0.518,0.146,0.453,0.429,0.118
