Geo,Year,D3BPO4_MAX,D1B_MAX
Barn,2015,46.02014634,8.63248521
Berk,2015,82.95929565,21.60994076
Bos1,2015,627.359276,286.2895231
Bos2,2015,754.4185202,129.4508509
Bos3,2015,190.1288997,306.3654187
Hamp,2015,125.9485231,65.65080681
None,2015,96.70882216,13.85158314
Worc,2015,548.3012414,61.928667
Barn,2050,46.02014634,8.63248521
Berk,2050,82.95929565,21.60994076
Bos1,2050,627.359276,286.2895231
Bos2,2050,754.4185202,129.4508509
Bos3,2050,190.1288997,306.3654187
Hamp,2050,125.9485231,65.65080681
None,2050,96.70882216,13.85158314
Worc,2050,548.3012414,61.928667
