Geo,Year,PropSovDvmtDiverted
Barnstable,2015,0.048
Berkshire,2015,0.053
Bristol,2015,0.035109453
Dukes,2015,0.1
Essex,2015,0.049478495
Franklin,2015,0.028
Hampden,2015,0.055
Hampshire,2015,0.055
Middlesex,2015,0.051615181
Nantucket,2015,0.1
Norfolk,2015,0.055748945
Plymouth,2015,0.039733871
Suffolk,2015,0.057
Worcester,2015,0.0346
BarnOutofState,2015,0.0544489960714286
BerkOutofState,2015,0.0544489960714286
Bos3OutofState,2015,0.0544489960714286
Bos2OutofState,2015,0.0544489960714286
HampOutofState,2015,0.0544489960714286
Bos1OutofState,2015,0.0544489960714286
WorcOutofState,2015,0.0544489960714286
Barnstable,2025,0.048
Berkshire,2025,0.053
Bristol,2025,0.035109453
Dukes,2025,0.1
Essex,2025,0.049478495
Franklin,2025,0.028
Hampden,2025,0.055
Hampshire,2025,0.055
Middlesex,2025,0.051615181
Nantucket,2025,0.1
Norfolk,2025,0.055748945
Plymouth,2025,0.039733871
Suffolk,2025,0.057
Worcester,2025,0.0346
BarnOutofState,2025,0.0544489960714286
BerkOutofState,2025,0.0544489960714286
Bos3OutofState,2025,0.0544489960714286
Bos2OutofState,2025,0.0544489960714286
HampOutofState,2025,0.0544489960714286
Bos1OutofState,2025,0.0544489960714286
WorcOutofState,2025,0.0544489960714286
Barnstable,2050,0.048
Berkshire,2050,0.053
Bristol,2050,0.035109453
Dukes,2050,0.1
Essex,2050,0.049478495
Franklin,2050,0.028
Hampden,2050,0.055
Hampshire,2050,0.055
Middlesex,2050,0.051615181
Nantucket,2050,0.1
Norfolk,2050,0.055748945
Plymouth,2050,0.039733871
Suffolk,2050,0.057
Worcester,2050,0.0346
BarnOutofState,2050,0.0544489960714286
BerkOutofState,2050,0.0544489960714286
Bos3OutofState,2050,0.0544489960714286
Bos2OutofState,2050,0.0544489960714286
HampOutofState,2050,0.0544489960714286
Bos1OutofState,2050,0.0544489960714286
WorcOutofState,2050,0.0544489960714286
