Geo,Year,RelEmp15to19,RelEmp20to29,RelEmp30to54,RelEmp55to64,RelEmp65Plus
Barnstable,2015,0.9,0.9,0.9,0.9,0.9
Berkshire,2015,0.9,0.9,0.9,0.9,0.9
Bristol,2015,0.8,0.8,0.8,0.8,0.8
Dukes,2015,0.9,0.9,0.9,0.9,0.9
Essex,2015,0.9,0.9,0.9,0.9,0.9
Franklin,2015,0.8,0.8,0.8,0.8,0.8
Hampden,2015,0.7,0.7,0.7,0.7,0.7
Hampshire,2015,0.9,0.9,0.9,0.9,0.9
Middlesex,2015,0.9,0.9,0.9,0.9,0.9
Nantucket,2015,1,1,1,1,1
Norfolk,2015,0.8,0.8,0.8,0.8,0.8
Plymouth,2015,0.6,0.6,0.6,0.6,0.6
Suffolk,2015,1.2,1.1,1.1,1.3,1.2
Worcester,2015,0.7,0.7,0.7,0.7,0.7
BarnOutofState,2015,0.857142857142857,0.85,0.85,0.864285714285714,0.857142857142857
BerkOutofState,2015,0.857142857142857,0.85,0.85,0.864285714285714,0.857142857142857
Bos3OutofState,2015,0.857142857142857,0.85,0.85,0.864285714285714,0.857142857142857
Bos2OutofState,2015,0.857142857142857,0.85,0.85,0.864285714285714,0.857142857142857
HampOutofState,2015,0.857142857142857,0.85,0.85,0.864285714285714,0.857142857142857
Bos1OutofState,2015,0.857142857142857,0.85,0.85,0.864285714285714,0.857142857142857
WorcOutofState,2015,0.857142857142857,0.85,0.85,0.864285714285714,0.857142857142857
Barnstable,2025,0.95,0.95,0.95,0.95,0.95
Berkshire,2025,0.95,0.95,0.95,0.95,0.95
Bristol,2025,0.9,0.9,0.9,0.9,0.9
Dukes,2025,0.95,0.95,0.95,0.95,0.95
Essex,2025,0.95,0.95,0.95,0.95,0.95
Franklin,2025,0.9,0.9,0.9,0.9,0.9
Hampden,2025,0.85,0.85,0.85,0.85,0.85
Hampshire,2025,0.95,0.95,0.95,0.95,0.95
Middlesex,2025,0.95,0.95,0.95,0.95,0.95
Nantucket,2025,1,1,1,1,1
Norfolk,2025,0.9,0.9,0.9,0.9,0.9
Plymouth,2025,0.8,0.8,0.8,0.8,0.8
Suffolk,2025,1.1,1.05,1.05,1.15,1.1
Worcester,2025,0.85,0.85,0.85,0.85,0.85
BarnOutofState,2025,0.928571428571429,0.925,0.925,0.932142857142857,0.928571428571429
BerkOutofState,2025,0.928571428571429,0.925,0.925,0.932142857142857,0.928571428571429
Bos3OutofState,2025,0.928571428571429,0.925,0.925,0.932142857142857,0.928571428571429
Bos2OutofState,2025,0.928571428571429,0.925,0.925,0.932142857142857,0.928571428571429
HampOutofState,2025,0.928571428571429,0.925,0.925,0.932142857142857,0.928571428571429
Bos1OutofState,2025,0.928571428571429,0.925,0.925,0.932142857142857,0.928571428571429
WorcOutofState,2025,0.928571428571429,0.925,0.925,0.932142857142857,0.928571428571429
Barnstable,2050,1,1,1,1,1
Berkshire,2050,1,1,1,1,1
Bristol,2050,1,1,1,1,1
Dukes,2050,1,1,1,1,1
Essex,2050,1,1,1,1,1
Franklin,2050,1,1,1,1,1
Hampden,2050,1,1,1,1,1
Hampshire,2050,1,1,1,1,1
Middlesex,2050,1,1,1,1,1
Nantucket,2050,1,1,1,1,1
Norfolk,2050,1,1,1,1,1
Plymouth,2050,1,1,1,1,1
Suffolk,2050,1,1,1,1,1
Worcester,2050,1,1,1,1,1
BarnOutofState,2050,1,1,1,1,1
BerkOutofState,2050,1,1,1,1,1
Bos3OutofState,2050,1,1,1,1,1
Bos2OutofState,2050,1,1,1,1,1
HampOutofState,2050,1,1,1,1,1
Bos1OutofState,2050,1,1,1,1,1
WorcOutofState,2050,1,1,1,1,1
