Geo,Year,FuelCost.2005,PowerCost.2005
Barnstable,2015,2.36,0.06
Berkshire,2015,2.36,0.06
Bristol,2015,2.36,0.06
Dukes,2015,2.36,0.06
Essex,2015,2.36,0.06
Franklin,2015,2.36,0.06
Hampden,2015,2.36,0.06
Hampshire,2015,2.36,0.06
Middlesex,2015,2.36,0.06
Nantucket,2015,2.36,0.06
Norfolk,2015,2.36,0.06
Plymouth,2015,2.36,0.06
Suffolk,2015,2.36,0.06
Worcester,2015,2.36,0.06
BarnOutofState,2015,2.36,0.06
BerkOutofState,2015,2.36,0.06
Bos3OutofState,2015,2.36,0.06
Bos2OutofState,2015,2.36,0.06
HampOutofState,2015,2.36,0.06
Bos1OutofState,2015,2.36,0.06
WorcOutofState,2015,2.36,0.06
Barnstable,2025,3.075,0.065
Berkshire,2025,3.075,0.065
Bristol,2025,3.075,0.065
Dukes,2025,3.075,0.065
Essex,2025,3.075,0.065
Franklin,2025,3.075,0.065
Hampden,2025,3.075,0.065
Hampshire,2025,3.075,0.065
Middlesex,2025,3.075,0.065
Nantucket,2025,3.075,0.065
Norfolk,2025,3.075,0.065
Plymouth,2025,3.075,0.065
Suffolk,2025,3.075,0.065
Worcester,2025,3.075,0.065
BarnOutofState,2025,3.075,0.065
BerkOutofState,2025,3.075,0.065
Bos3OutofState,2025,3.075,0.065
Bos2OutofState,2025,3.075,0.065
HampOutofState,2025,3.075,0.065
Bos1OutofState,2025,3.075,0.065
WorcOutofState,2025,3.075,0.065
Barnstable,2050,3.79,0.07
Berkshire,2050,3.79,0.07
Bristol,2050,3.79,0.07
Dukes,2050,3.79,0.07
Essex,2050,3.79,0.07
Franklin,2050,3.79,0.07
Hampden,2050,3.79,0.07
Hampshire,2050,3.79,0.07
Middlesex,2050,3.79,0.07
Nantucket,2050,3.79,0.07
Norfolk,2050,3.79,0.07
Plymouth,2050,3.79,0.07
Suffolk,2050,3.79,0.07
Worcester,2050,3.79,0.07
BarnOutofState,2050,3.79,0.07
BerkOutofState,2050,3.79,0.07
Bos3OutofState,2050,3.79,0.07
Bos2OutofState,2050,3.79,0.07
HampOutofState,2050,3.79,0.07
Bos1OutofState,2050,3.79,0.07
WorcOutofState,2050,3.79,0.07
