Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
Barnstable,2015,0,376,687,3,2,0
Berkshire,2015,0,1483,1706,23,0,0
Bristol,2015,0,3160,4334,12,0,0
Dukes,2015,0,0,28,2,0,0
Essex,2015,0,2777,3295,67,1,0
Franklin,2015,0,6,10,15,3,0
Hampden,2015,0,3288,3836,6,0,0
Hampshire,2015,0,8970,9967,77,2,0
Middlesex,2015,0,14861,19767,1461,58,0
Nantucket,2015,0,0,0,0,0,0
Norfolk,2015,0,3273,4066,102,10,0
Plymouth,2015,0,1219,1425,12,0,0
Suffolk,2015,0,16980,16240,157,4,0
Worcester,2015,0,5809,6166,26,1,0
BarnOutofState,2015,0,4443,5109,140,5,0
BerkOutofState,2015,0,4443,5109,140,5,0
Bos3OutofState,2015,0,4443,5109,140,5,0
Bos2OutofState,2015,0,4443,5109,140,5,0
HampOutofState,2015,0,4443,5109,140,5,0
Bos1OutofState,2015,0,4443,5109,140,5,0
WorcOutofState,2015,0,4443,5109,140,5,0
Barnstable,2025,0,376,687,3,2,0
Berkshire,2025,0,1483,1706,23,0,0
Bristol,2025,0,3160,4334,12,0,0
Dukes,2025,0,0,28,2,0,0
Essex,2025,0,2777,3295,67,1,0
Franklin,2025,0,6,10,15,3,0
Hampden,2025,0,3288,3836,6,0,0
Hampshire,2025,0,8970,9967,77,2,0
Middlesex,2025,0,14861,19767,1461,58,0
Nantucket,2025,0,0,0,0,0,0
Norfolk,2025,0,3273,4066,102,10,0
Plymouth,2025,0,1219,1425,12,0,0
Suffolk,2025,0,16980,16240,157,4,0
Worcester,2025,0,5809,6166,26,1,0
BarnOutofState,2025,0,4443,5109,140,5,0
BerkOutofState,2025,0,4443,5109,140,5,0
Bos3OutofState,2025,0,4443,5109,140,5,0
Bos2OutofState,2025,0,4443,5109,140,5,0
HampOutofState,2025,0,4443,5109,140,5,0
Bos1OutofState,2025,0,4443,5109,140,5,0
WorcOutofState,2025,0,4443,5109,140,5,0
Barnstable,2050,0,376,687,3,2,0
Berkshire,2050,0,1483,1706,23,0,0
Bristol,2050,0,3160,4334,12,0,0
Dukes,2050,0,0,28,2,0,0
Essex,2050,0,2777,3295,67,1,0
Franklin,2050,0,6,10,15,3,0
Hampden,2050,0,3288,3836,6,0,0
Hampshire,2050,0,8970,9967,77,2,0
Middlesex,2050,0,14861,19767,1461,58,0
Nantucket,2050,0,0,0,0,0,0
Norfolk,2050,0,3273,4066,102,10,0
Plymouth,2050,0,1219,1425,12,0,0
Suffolk,2050,0,16980,16240,157,4,0
Worcester,2050,0,5809,6166,26,1,0
BarnOutofState,2050,0,4443,5109,140,5,0
BerkOutofState,2050,0,4443,5109,140,5,0
Bos3OutofState,2050,0,4443,5109,140,5,0
Bos2OutofState,2050,0,4443,5109,140,5,0
HampOutofState,2050,0,4443,5109,140,5,0
Bos1OutofState,2050,0,4443,5109,140,5,0
WorcOutofState,2050,0,4443,5109,140,5,0
