"SERIALNO","AGE","WRKLYR","MILITARY","INCTOT"
"0001177",58,"1",4,10000
"0001177",58,"1",4,87300
"0001347",30,"1",4,30000
"0001347",28,"2",4,0
"0001347",3,"0",0,NA
"0001347",1,"0",0,NA
"0001957",53,"1",4,26200
"0001957",47,"1",4,12000
"0002189",45,"1",4,90030
"0002189",33,"1",4,6000
"0002189",5,"0",0,NA
"0002189",3,"0",0,NA
"0004100",43,"1",4,31300
"0004100",46,"1",4,14900
"0004100",12,"0",0,NA
"0004100",15,"0",0,0
"0004366",54,"1",1,35660
"0004366",53,"1",4,7800
"0005749",56,"1",4,51600
"0005749",42,"1",4,35000
"0005749",4,"0",0,NA
"0005749",0,"0",0,NA
"0005847",65,"1",2,60000
"0005913",27,"2",4,10000
"0005913",5,"0",0,NA
"0005913",4,"0",0,NA
"0005913",4,"0",0,NA
"0005913",1,"0",0,NA
"0005913",0,"0",0,NA
"0005913",27,"1",4,18000
"0006095",24,"1",4,20000
"0006095",22,"1",4,3000
"0007189",68,"2",2,35000
"0007189",73,"1",4,6920
"0007405",53,"1",4,27000
"0007405",56,"1",2,16700
"0007646",67,"2",4,49700
"0007646",59,"2",4,0
"0007866",40,"1",4,35000
"0007866",41,"1",4,15000
"0007866",20,"1",4,16600
"0007866",13,"0",0,NA
"0008026",43,"1",4,40000
"0008026",33,"1",4,34000
"0009685",25,"1",4,33300
"0009685",7,"0",0,NA
"0009685",0,"0",0,NA
"0010141",29,"1",4,55000
"0010335",61,"1",4,29500
"0010335",60,"2",4,0
"0010867",42,"1",4,26300
"0010867",34,"1",4,47600
"0010867",5,"0",0,NA
"0010867",2,"0",0,NA
"0011938",28,"1",2,11000
"0012084",23,"1",4,3400
"0012819",39,"1",4,29000
"0012819",30,"1",4,7000
"0012819",1,"0",0,NA
"0013502",53,"1",4,32000
"0013502",51,"1",4,19500
"0013502",24,"2",4,4500
"0014277",19,"1",4,2300
"0014277",19,"2",4,5000
"0016118",50,"1",2,21000
"0016118",55,"1",4,32000
"0016118",20,"2",4,0
"0016118",17,"2",4,0
"0016118",15,"0",0,4000
"0016118",1,"0",0,NA
"0016657",56,"1",4,85150
"0016657",50,"1",4,75150
"0016657",17,"2",4,660
"0016657",15,"0",0,660
"0016683",45,"1",4,21000
"0016683",21,"1",4,11000
"0016683",13,"0",0,NA
"0018546",61,"1",4,4300
"0020464",79,"2",4,6160
"0021402",77,"2",2,8420
"0021402",72,"2",4,3200
"0023121",52,"1",4,34000
"0023121",11,"0",0,NA
"0024095",87,"2",4,10600
"0024125",68,"2",4,30900
"0024125",29,"1",4,13700
"0024125",10,"0",0,NA
"0024125",8,"0",0,NA
"0024125",5,"0",0,NA
"0024214",50,"1",4,26004
"0024214",55,"1",4,40600
"0024214",15,"0",0,0
"0024466",37,"1",4,39000
"0024466",45,"1",4,14400
"0025181",42,"1",4,21360
