"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0001177","50100",42,0,2,"03",97300
"0001270","50100",15,0,0,"02",0
"0001347","50100",11,0,4,"02",30000
"0001957","50100",11,0,2,"02",38200
"0002189","50100",22,0,4,"02",96030
"0004100","50100",11,0,4,"02",46200
"0004366","50100",11,0,2,"02",43460
"0005749","50100",10,0,4,"02",86600
"0005847","50100",16,0,1,"02",60000
"0005913","50100",42,0,7,"07",28000
"0006095","50100",32,0,2,"07",23000
"0007189","50100",10,0,2,"02",41920
"0007405","50100",10,0,2,"02",43700
"0007646","50100",10,0,2,"02",49700
"0007866","50100",10,0,4,"01",66600
"0008026","50100",37,0,2,"02",74000
"0009685","50100",11,0,3,"02",33300
"0010141","50100",11,0,1,"04",55000
"0010335","50100",21,0,2,"03",29500
"0010867","50100",16,0,4,"02",73900
"0011938","50100",11,0,1,"06",11000
"0012084","50100",0,2,1,"  ",0
"0012819","50100",10,0,3,"02",36000
"0013502","50100",11,0,3,"02",56000
"0014277","50100",53,0,2,"04",7300
"0016118","50100",10,0,6,"02",57000
"0016657","50100",11,0,4,"02",161620
"0016683","50100",43,0,3,"02",32000
"0018092","50100",15,0,0,"04",0
"0018546","50100",10,0,1,"02",4300
"0020464","50100",11,0,1,"02",6160
"0021402","50100",31,0,2,"08",11620
"0023121","50100",11,0,2,"02",34000
"0024095","50100",0,1,1,"  ",0
"0024125","50100",6,0,5,"02",44600
"0024214","50100",10,0,3,"02",66604
"0024466","50100",37,0,2,"01",53400
"0024732","50100",22,0,0,"02",0
"0025181","50100",37,0,4,"02",33460
"0025306","50100",32,0,1,"02",28000
"0025929","50100",11,0,1,"02",16300
"0026191","50100",32,0,4,"02",47800
"0026233","50100",10,0,1,"06",8400
"0026440","50100",15,0,0,"03",0
"0026560","50100",32,0,4,"02",34350
"0026894","50100",37,0,4,"02",33400
"0027951","50100",11,0,3,"02",33600
"0028570","50100",11,0,2,"02",28400
"0028945","50100",45,0,0,"03",0
"0029844","50100",43,0,4,"02",78100
"0031323","50100",10,0,2,"02",107400
"0031429","50100",21,0,2,"02",15100
"0033086","50100",11,0,2,"02",23700
"0034611","50100",0,1,1,"  ",0
"0034671","50100",21,0,2,"10",29000
"0035136","50100",31,0,1,"02",41540
"0035666","50100",30,0,0,"06",0
"0036360","50100",48,0,2,"02",24000
"0036409","50100",15,0,0,"02",0
"0037109","50100",11,0,4,"01",14500
"0037761","50100",21,0,4,"05",34000
"0038470","50100",10,0,1,"02",20900
"0038494","50100",5,0,2,"02",75000
"0039709","50100",10,0,3,"03",15200
"0040072","50100",10,0,2,"02",32860
"0041102","50100",48,0,2,"02",35800
"0041456","50100",21,0,5,"02",59000
"0041632","50100",15,0,0,"02",0
"0041689","50100",24,0,1,"02",30000
"0042383","50100",15,0,2,"02",32000
"0042480","50100",10,0,1,"02",28000
"0043709","50100",53,0,3,"02",43840
"0043760","50100",5,0,8,"02",43400
"0043994","50100",11,0,1,"02",23000
"0044367","50100",16,0,3,"02",102550
"0048288","50100",11,0,2,"01",23200
"0049257","50100",37,0,1,"06",750
"0049681","50100",42,0,1,"03",82200
"0049794","50100",0,1,1,"  ",0
"0051155","50100",37,0,2,"02",20390
"0051566","50100",10,0,4,"02",43200
"0052069","50100",26,0,5,"02",24200
"0053030","50100",15,0,0,"02",0
"0053041","50100",15,0,0,"02",0
"0054205","50100",11,0,2,"02",22800
"0056755","50100",32,0,2,"02",30000
"0056882","50100",26,0,2,"02",63500
"0057563","50100",21,0,1,"02",5100
"0057623","50100",21,0,2,"02",35100
"0058019","50100",0,1,1,"  ",0
"0058203","50100",16,0,2,"02",34200
"0058237","50100",15,0,0,"02",0
"0058306","50100",10,0,1,"01",25500
"0058705","50100",37,0,1,"05",5200
"0060113","50100",30,0,0,"02",0
"0061929","50100",43,0,7,"02",27000
"0062437","50100",15,0,0,"02",0
"0062988","50100",16,0,3,"02",10600
"0062996","50100",42,0,2,"02",37600
"0063171","50100",16,0,1,"02",17600
"0063422","50100",10,0,7,"02",24800
"0063506","50100",11,0,4,"02",134000
"0063868","50100",14,0,0,"02",0
"0063941","50100",11,0,4,"04",31400
"0064483","50100",15,0,0,"01",0
"0064703","50100",15,0,0,"02",0
"0065352","50100",11,0,1,"02",32000
"0066251","50100",31,0,1,"05",30010
"0066498","50100",6,0,5,"02",88000
"0066733","50100",10,0,3,"02",59060
"0067840","50100",15,0,0,"08",0
"0067911","50100",16,0,3,"02",51460
"0068740","50100",10,0,3,"01",48900
"0070386","50100",16,0,3,"02",84370
"0071188","50100",11,0,2,"02",98450
"0071331","50100",11,0,3,"02",56300
"0072245","50100",74,0,6,"02",90300
"0073429","50100",26,0,1,"02",9100
"0073741","50100",15,0,0,"08",0
"0073902","50100",10,0,5,"02",25000
"0074159","50100",16,0,1,"06",12000
"0074907","50100",11,0,3,"02",12000
"0076268","50100",37,0,4,"04",31600
"0076398","50100",58,0,2,"06",64030
"0076890","50100",0,2,1,"  ",0
"0076941","50100",11,0,2,"02",28530
"0078493","50100",26,0,2,"02",26500
"0078828","50100",11,0,1,"01",0
"0079470","50100",10,0,1,"03",25900
"0080149","50100",11,0,2,"02",67970
"0081685","50100",32,0,1,"06",9200
"0082083","50100",37,0,0,"02",0
"0082265","50100",11,0,3,"02",43200
"0082508","50100",10,0,1,"02",23170
"0082773","50100",11,0,1,"05",25600
"0083446","50100",16,0,1,"06",20000
"0084606","50100",30,0,0,"02",0
"0085559","50100",0,2,1,"  ",0
"0085978","50100",15,0,2,"02",19760
"0086728","50100",16,0,2,"05",46500
"0087131","50100",14,0,0,"05",0
"0087133","50100",16,0,4,"01",37530
"0087413","50100",16,0,1,"02",43800
"0088804","50100",37,0,4,"02",350330
"0088863","50100",11,0,1,"01",-10000
"0088999","50100",7,0,0,"02",0
"0089897","50100",11,0,2,"04",39000
"0090084","50100",37,0,1,"04",30000
"0090304","50100",15,0,0,"02",0
"0090523","50100",16,0,2,"02",49330
"0090981","50100",0,2,1,"  ",0
"0091246","50100",0,2,1,"  ",0
"0091500","50100",10,0,2,"02",14070
"0092504","50100",15,0,0,"03",0
"0093026","50100",16,0,3,"04",37200
"0093908","50100",43,0,1,"01",11600
"0094154","50100",5,0,3,"02",102000
"0094416","50100",15,0,2,"02",37000
"0094572","50100",11,0,2,"02",66000
"0096682","50100",53,0,3,"02",50340
"0096929","50100",48,0,2,"02",80000
"0097219","50100",27,0,4,"02",64080
"0098015","50100",10,0,1,"01",26800
"0098052","50100",26,0,2,"02",34900
"0098222","50100",29,0,0,"02",0
"0098639","50100",15,0,0,"06",0
"0099073","50100",16,0,2,"02",52300
"0100718","50100",30,0,0,"06",0
"0102061","50100",37,0,1,"06",8000
"0102413","50100",10,0,1,"01",44800
"0102454","50100",37,0,4,"03",146200
"0102788","50100",21,0,3,"02",29000
"0103985","50100",21,0,1,"05",28130
"0104650","50100",30,0,0,"02",0
"0105472","50100",10,0,4,"02",60004
"0106096","50100",22,0,0,"02",0
"0106405","50100",37,0,5,"02",67000
"0108905","50100",37,0,4,"02",80000
"0108933","50100",16,0,4,"02",76500
"0109007","50100",10,0,2,"02",50300
"0110327","50100",21,0,2,"06",40600
"0110685","50100",22,0,0,"05",0
"0110968","50100",5,0,1,"07",54000
"0111732","50100",14,0,0,"02",0
"0112169","50100",5,0,3,"03",21000
"0112248","50100",11,0,2,"02",51000
"0113112","50100",48,0,1,"06",23800
"0113311","50100",11,0,2,"02",82620
"0115867","50100",11,0,2,"02",55100
"0117123","50100",11,0,2,"02",44020
"0117794","50100",22,0,0,"02",0
"0119128","50100",43,0,3,"01",27800
"0119366","50100",37,0,1,"06",42700
"0119987","50100",11,0,2,"02",35200
"0120655","50100",14,0,0,"09",0
"0122002","50100",11,0,2,"02",43770
"0122185","50100",32,0,2,"02",22970
"0122301","50100",31,0,1,"02",48000
"0122703","50100",15,0,0,"02",0
"0122770","50100",32,0,2,"02",60000
"0123703","50100",0,2,1,"  ",0
"0125529","50100",32,0,4,"03",52000
"0126350","50100",11,0,4,"04",185000
"0126692","50100",11,0,2,"02",57000
"0127065","50100",10,0,2,"01",125040
"0127557","50100",11,0,1,"02",42000
"0129883","50100",32,0,2,"01",23920
"0129914","50100",48,0,1,"02",28600
"0131456","50100",11,0,3,"02",84100
"0133740","50100",26,0,1,"09",8500
"0134268","50100",11,0,2,"02",82000
"0134417","50100",14,0,0,"02",0
"0134488","50100",11,0,3,"02",29450
"0135774","50100",11,0,4,"06",38000
"0136858","50100",0,2,1,"  ",0
