process,pid,rss,full_rss,uss,event,children,time
MainProcess,8756,87_638_016,87_638_016,81_145_856,pipeline.run before preload_injectables,0,2022/08/02 10:54:44.400516
MainProcess,8756,87_982_080,87_982_080,81_154_048,pipeline.run after preload_injectables,0,2022/08/02 10:54:44.418538
MainProcess,8756,88_010_752,88_010_752,81_186_816,pipeline.run_model input_pre_processor start,0,2022/08/02 10:54:44.439512
MainProcess,8756,123_392_000,123_392_000,116_592_640,pipeline.run_model input_pre_processor finished,0,2022/08/02 10:54:45.943511
MainProcess,8756,150_511_616,150_511_616,144_236_544,pipeline.run after input_pre_processor,0,2022/08/02 10:54:46.220921
MainProcess,8756,151_089_152,151_089_152,144_252_928,pipeline.run_model setup_data_structures start,0,2022/08/02 10:54:46.247920
MainProcess,8756,132_468_736,132_468_736,126_124_032,pipeline.run_model setup_data_structures finished,0,2022/08/02 10:54:47.566973
MainProcess,8756,137_633_792,137_633_792,130_797_568,pipeline.run after setup_data_structures,0,2022/08/02 10:54:47.835923
MainProcess,8756,137_633_792,137_633_792,130_797_568,pipeline.run_model initial_seed_balancing start,0,2022/08/02 10:54:47.851921
MainProcess,8756,136_560_640,136_560_640,130_293_760,pipeline.run_model initial_seed_balancing finished,0,2022/08/02 10:54:57.528953
MainProcess,8756,137_162_752,137_162_752,130_326_528,pipeline.run after initial_seed_balancing,0,2022/08/02 10:54:57.580931
MainProcess,8756,137_162_752,137_162_752,130_326_528,pipeline.run_model meta_control_factoring start,0,2022/08/02 10:54:57.597930
MainProcess,8756,137_162_752,137_162_752,130_326_528,pipeline.run_model meta_control_factoring finished,0,2022/08/02 10:54:57.650927
MainProcess,8756,137_170_944,137_170_944,130_334_720,pipeline.run after meta_control_factoring,0,2022/08/02 10:54:57.696929
MainProcess,8756,137_170_944,137_170_944,130_334_720,pipeline.run_model final_seed_balancing start,0,2022/08/02 10:54:57.715927
MainProcess,8756,137_170_944,137_170_944,130_334_720,pipeline.run_model final_seed_balancing finished,0,2022/08/02 10:54:57.789930
MainProcess,8756,137_338_880,137_338_880,130_502_656,pipeline.run after final_seed_balancing,0,2022/08/02 10:54:57.867929
