popsim_var,geography,acs_var,acs_label,concept
PAGE65PLUS,Blockgroup,B01001_023,Estimate!!Total!!Male!!75 to 79 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_024,Estimate!!Total!!Male!!80 to 84 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_025,Estimate!!Total!!Male!!85 years and over,SEX BY AGE
PAGE0TO14,Blockgroup,B01001_027,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE
PAGE0TO14,Blockgroup,B01001_028,Estimate!!Total!!Female!!5 to 9 years,SEX BY AGE
PAGE0TO14,Blockgroup,B01001_029,Estimate!!Total!!Female!!10 to 14 years,SEX BY AGE
PAGE15TO19,Blockgroup,B01001_030,Estimate!!Total!!Female!!15 to 17 years,SEX BY AGE
PAGE15TO19,Blockgroup,B01001_031,Estimate!!Total!!Female!!18 and 19 years,SEX BY AGE
PAGE20TO29,Blockgroup,B01001_032,Estimate!!Total!!Female!!20 years,SEX BY AGE
PAGE20TO29,Blockgroup,B01001_033,Estimate!!Total!!Female!!21 years,SEX BY AGE
PAGE20TO29,Blockgroup,B01001_034,Estimate!!Total!!Female!!22 to 24 years,SEX BY AGE
PAGE20TO29,Blockgroup,B01001_035,Estimate!!Total!!Female!!25 to 29 years,SEX BY AGE
PAGE30TO54,Blockgroup,B01001_036,Estimate!!Total!!Female!!30 to 34 years,SEX BY AGE
PAGE30TO54,Blockgroup,B01001_037,Estimate!!Total!!Female!!35 to 39 years,SEX BY AGE
PAGE30TO54,Blockgroup,B01001_038,Estimate!!Total!!Female!!40 to 44 years,SEX BY AGE
PAGE30TO54,Blockgroup,B01001_039,Estimate!!Total!!Female!!45 to 49 years,SEX BY AGE
PAGE55TO64,Blockgroup,B01001_040,Estimate!!Total!!Female!!50 to 54 years,SEX BY AGE
PAGE55TO64,Blockgroup,B01001_041,Estimate!!Total!!Female!!55 to 59 years,SEX BY AGE
PAGE55TO64,Blockgroup,B01001_042,Estimate!!Total!!Female!!60 and 61 years,SEX BY AGE
PAGE55TO64,Blockgroup,B01001_043,Estimate!!Total!!Female!!62 to 64 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_044,Estimate!!Total!!Female!!65 and 66 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_045,Estimate!!Total!!Female!!67 to 69 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_046,Estimate!!Total!!Female!!70 to 74 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_047,Estimate!!Total!!Female!!75 to 79 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_048,Estimate!!Total!!Female!!80 to 84 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_049,Estimate!!Total!!Female!!85 years and over,SEX BY AGE
POPBASE,Blockgroup,B01003_001,Estimate!!Total,TOTAL POPULATION
PRACWHT,Blockgroup,B02001_002,Estimate!!Total!!White alone,RACE
PRACBLK,Blockgroup,B02001_003,Estimate!!Total!!Black or African American alone,RACE
PRACNAT,Blockgroup,B02001_004,Estimate!!Total!!American Indian and Alaska Native alone,RACE
PRACASN,Blockgroup,B02001_005,Estimate!!Total!!Asian alone,RACE
PRACPAC,Blockgroup,B02001_006,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,RACE
PRACOTH,Blockgroup,B02001_007,Estimate!!Total!!Some other race alone,RACE
PRACMUL,Blockgroup,B02001_008,Estimate!!Total!!Two or more races,RACE
HHBASE,Tract,B08202_001,Estimate!!Total,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD
HHWRK0,Tract,B08202_002,Estimate!!Total!!No workers,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD
HHWRK1,Tract,B08202_003,Estimate!!Total!!1 worker,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD
HHWRK2,Tract,B08202_004,Estimate!!Total!!2 workers,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD
HHWRK3,Tract,B08202_005,Estimate!!Total!!3 or more workers,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD
HHBASE,Blockgroup,B11016_001,Estimate!!Total,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ2,Blockgroup,B11016_003,Estimate!!Total!!Family households!!2-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ3,Blockgroup,B11016_004,Estimate!!Total!!Family households!!3-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ4,Blockgroup,B11016_005,Estimate!!Total!!Family households!!4-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ4,Blockgroup,B11016_006,Estimate!!Total!!Family households!!5-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ4,Blockgroup,B11016_007,Estimate!!Total!!Family households!!6-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ4,Blockgroup,B11016_008,Estimate!!Total!!Family households!!7-or-more person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ1,Blockgroup,B11016_010,Estimate!!Total!!Nonfamily households!!1-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ2,Blockgroup,B11016_011,Estimate!!Total!!Nonfamily households!!2-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ3,Blockgroup,B11016_012,Estimate!!Total!!Nonfamily households!!3-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ4,Blockgroup,B11016_013,Estimate!!Total!!Nonfamily households!!4-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ4,Blockgroup,B11016_014,Estimate!!Total!!Nonfamily households!!5-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ4,Blockgroup,B11016_015,Estimate!!Total!!Nonfamily households!!6-person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHSIZ4,Blockgroup,B11016_016,Estimate!!Total!!Nonfamily households!!7-or-more person household,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
HHINC1,Blockgroup,B19001_002,"Estimate!!Total!!Less than $10,000",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC1,Blockgroup,B19001_003,"Estimate!!Total!!$10,000 to $14,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC1,Blockgroup,B19001_004,"Estimate!!Total!!$15,000 to $19,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC2,Blockgroup,B19001_005,"Estimate!!Total!!$20,000 to $24,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC2,Blockgroup,B19001_006,"Estimate!!Total!!$25,000 to $29,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC2,Blockgroup,B19001_007,"Estimate!!Total!!$30,000 to $34,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC2,Blockgroup,B19001_008,"Estimate!!Total!!$35,000 to $39,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC3,Blockgroup,B19001_009,"Estimate!!Total!!$40,000 to $44,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC3,Blockgroup,B19001_010,"Estimate!!Total!!$45,000 to $49,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC3,Blockgroup,B19001_011,"Estimate!!Total!!$50,000 to $59,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC4,Blockgroup,B19001_012,"Estimate!!Total!!$60,000 to $74,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC5,Blockgroup,B19001_013,"Estimate!!Total!!$75,000 to $99,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC6,Blockgroup,B19001_014,"Estimate!!Total!!$100,000 to $124,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC6,Blockgroup,B19001_015,"Estimate!!Total!!$125,000 to $149,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC6,Blockgroup,B19001_016,"Estimate!!Total!!$150,000 to $199,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
HHINC6,Blockgroup,B19001_017,"Estimate!!Total!!$200,000 or more",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
PINC,Blockgroup,B19301_001,Estimate!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars),PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)
SF,Tract,B25024_002,"Estimate!!Total!!1, detached",UNITS IN STRUCTURE
SF,Tract,B25024_003,"Estimate!!Total!!1, attached",UNITS IN STRUCTURE
DUP,Tract,B25024_004,Estimate!!Total!!2,UNITS IN STRUCTURE
MF,Tract,B25024_005,Estimate!!Total!!3 or 4,UNITS IN STRUCTURE
MF,Tract,B25024_006,Estimate!!Total!!5 to 9,UNITS IN STRUCTURE
MF,Tract,B25024_007,Estimate!!Total!!10 to 19,UNITS IN STRUCTURE
MF,Tract,B25024_008,Estimate!!Total!!20 to 49,UNITS IN STRUCTURE
MF,Tract,B25024_009,Estimate!!Total!!50 or more,UNITS IN STRUCTURE
MH,Tract,B25024_010,Estimate!!Total!!Mobile home,UNITS IN STRUCTURE
MH,Tract,B25024_011,"Estimate!!Total!!Boat, RV, van, etc.",UNITS IN STRUCTURE
POPBASE,Tract,B01003_001,Estimate!!Total,
