popsim_var,geography,acs_var,acs_label,concept
PAGE0TO14,Blockgroup,B01001_003,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE
PAGE0TO14,Blockgroup,B01001_004,Estimate!!Total!!Male!!5 to 9 years,SEX BY AGE
PAGE0TO14,Blockgroup,B01001_005,Estimate!!Total!!Male!!10 to 14 years,SEX BY AGE
PAGE15TO19,Blockgroup,B01001_006,Estimate!!Total!!Male!!15 to 17 years,SEX BY AGE
PAGE15TO19,Blockgroup,B01001_007,Estimate!!Total!!Male!!18 and 19 years,SEX BY AGE
PAGE20TO29,Blockgroup,B01001_008,Estimate!!Total!!Male!!20 years,SEX BY AGE
PAGE20TO29,Blockgroup,B01001_009,Estimate!!Total!!Male!!21 years,SEX BY AGE
PAGE20TO29,Blockgroup,B01001_010,Estimate!!Total!!Male!!22 to 24 years,SEX BY AGE
PAGE20TO29,Blockgroup,B01001_011,Estimate!!Total!!Male!!25 to 29 years,SEX BY AGE
PAGE30TO54,Blockgroup,B01001_012,Estimate!!Total!!Male!!30 to 34 years,SEX BY AGE
PAGE30TO54,Blockgroup,B01001_013,Estimate!!Total!!Male!!35 to 39 years,SEX BY AGE
PAGE30TO54,Blockgroup,B01001_014,Estimate!!Total!!Male!!40 to 44 years,SEX BY AGE
PAGE30TO54,Blockgroup,B01001_015,Estimate!!Total!!Male!!45 to 49 years,SEX BY AGE
PAGE55TO64,Blockgroup,B01001_016,Estimate!!Total!!Male!!50 to 54 years,SEX BY AGE
PAGE55TO64,Blockgroup,B01001_017,Estimate!!Total!!Male!!55 to 59 years,SEX BY AGE
PAGE55TO64,Blockgroup,B01001_018,Estimate!!Total!!Male!!60 and 61 years,SEX BY AGE
PAGE55TO64,Blockgroup,B01001_019,Estimate!!Total!!Male!!62 to 64 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_020,Estimate!!Total!!Male!!65 and 66 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_021,Estimate!!Total!!Male!!67 to 69 years,SEX BY AGE
PAGE65PLUS,Blockgroup,B01001_022,Estimate!!Total!!Male!!70 to 74 years,SEX BY AGE
