"CBSA","MSA"
"45300","8280"
"29460","3980"
"27260","3600"
"38940","2710"
"37860","6080"
"35840","7510"
"36740","5960"
"19660","2020"
"42340","7520"
"12060","0520"
"17980","1800"
"47580","4680"
"31420","4680"
"10500","0120"
"12260","0600"
"12020","0500"
"16860","1560"
"16980","1602"
"14010","1040"
"19500","2040"
"41180","7040"
"44100","7880"
"40300","6880"
"37900","6120"
"19340","1960"
"40420","6880"
"14020","1020"
"26900","3480"
"17140","1642"
"21780","2440"
"43780","7800"
"31140","4520"
"29200","3920"
"45460","8320"
"23060","2760"
"26980","3500"
"16300","1360"
"19780","2120"
"36540","5920"
"43580","7720"
"28140","3760"
"48620","9040"
"45820","8440"
"30460","4280"
"40080","4280"
"35380","5560"
"26380","3350"
"43340","7680"
"12940","0760"
"12580","8872"
"33220","6960"
"33780","2162"
"34740","3000"
"19820","2162"
"24340","3000"
"40980","6960"
"28020","3720"
"11460","2162"
"40340","6820"
"24220","2985"
"33460","5120"
"20260","2240"
"41060","6980"
"27140","3560"
"27900","3710"
"44180","7920"
"13740","0880"
"30700","4360"
"35620","5602"
"13780","0960"
"24020","2975"
"40380","6840"
"39580","6640"
"16740","1520"
"11700","0480"
"40580","6895"
"48900","9200"
"27340","3605"
"20500","6640"
"24780","3150"
"24660","3120"
"49180","3120"
"24140","2980"
"17460","1692"
"19380","2000"
"18140","1840"
"10420","1692"
"31900","4800"
"15940","1320"
"49660","9320"
"31930","6020"
"45780","8400"
"36420","5880"
"46140","8560"
"43060","5880"
"22900","2720"
"37980","6162"
"43740","3680"
"38300","6280"
"42540","7560"
"49620","9280"
"39660","6660"
"28940","3840"
"27180","3580"
"17300","1660"
"34980","5360"
"42940","3840"
"32820","4920"
"28700","3660"
"27740","3660"
"19100","1922"
"36220","5800"
"21340","2320"
"26420","3362"
"43300","7640"
"30980","4420"
"41700","7240"
"13140","0840"
"32220","4420"
"12420","0640"
"11980","1922"
"32580","4880"
"31180","4600"
"47380","8800"
"33260","5800"
"18580","1880"
"11100","0320"
"46340","8640"
"10180","0040"
"41660","7200"
"47020","8750"
"29700","4080"
"48660","9080"
"47900","8872"
"47260","5720"
"40060","6760"
"19260","1950"
"40220","6800"
"31340","4640"
"16820","1540"
"37620","6020"
"39540","5082"
"27500","3620"
"43100","7620"
"33340","5082"
"36780","0460"
"41980","7442"
"38660","6360"
"41900","4840"
"XXXXX","XXX"
