File,NHTS2001,NHTS2017,Notes
hh,HOUSEID,HOUSEID,
hh,AGE_P1,,
hh,AGE_P2,,
hh,AGE_P3,,
hh,AGE_P4,,
hh,AGE_P5,,
hh,AGE_P6,,
hh,AGE_P7,,
hh,AGE_P8,,
hh,AGE_P9,,
hh,AGE_P10,,
hh,AGE_P11,,
hh,AGE_P12,,
hh,AGE_P13,,
hh,AGE_P14,,
hh,CENSUS_D,CENSUS_D,
hh,CENSUS_R,CENSUS_R,
hh,DRVRCNT,DRVRCNT,
hh,DRV_P1,,
hh,DRV_P2,,
hh,DRV_P3,,
hh,DRV_P4,,
hh,DRV_P5,,
hh,DRV_P6,,
hh,DRV_P7,,
hh,DRV_P8,,
hh,DRV_P9,,
hh,DRV_P10,,
hh,DRV_P11,,
hh,DRV_P12,,
hh,DRV_P13,,
hh,DRV_P14,,
hh,EXPFLHHN,,
hh,EXPFLLHH,,
hh,FLGFINCM,,
hh,HBHRESDN,HBRESDN,
hh,HBHUR,HBHUR,
hh,HBPPOPDN,HBPPOPDN,
hh,HHC_MSA,,
hh,HHFAMINC,HHFAMINC,
hh,HHINCTTL,,
hh,HHNUMBIK,,
hh,HHR_AGE,,
hh,HHR_DRVR,,
hh,HHR_RACE,HH_RACE,
hh,HHR_SEX,,
hh,HHSIZE,HHSIZE,
hh,HHVEHCNT,HHVEHCNT,
hh,HOMETYPE,,
hh,HTEEMPDN,HTEEMPDN,
hh,HTHRESDN,HTRESDN,
hh,HTHUR,,
hh,HTPPOPDN,HTPPOPDN,
hh,LIF_CYC,LIF_CYC,
hh,MSAPOP,,
hh,MSACAT,MSACAT,
hh,MSASIZE,MSASIZE,
hh,RAIL,RAIL,
hh,RATIO16V,,
hh,URBAN,URBAN,
hh,URBRUR,URBRUR,
hh,WRKCOUNT,WRKCOUNT,
hh,WKR_P1,,
hh,WKR_P2,,
hh,WKR_P3,,
hh,WKR_P4,,
hh,WKR_P5,,
hh,WKR_P6,,
hh,WKR_P7,,
hh,WKR_P8,,
hh,WKR_P9,,
hh,WKR_P10,,
hh,WKR_P11,,
hh,WKR_P12,,
hh,WKR_P13,,
hh,WKR_P14,,
hh,CNTTDHH,CNTTDHH,
veh,HOUSEID,HOUSEID,
veh,VEHID,VEHID,
veh,BESTMILE,BESTMILE,
veh,EIADMPG,FEGEMPG,
veh,GSCOST,GSCOST,
veh,VEHTYPE,VEHTYPE,
veh,VEHYEAR,VEHYEAR,
veh,VEHMILES,ANNMILES,
person,HOUSEID,HOUSEID,HOUSEID
person,PERSONID,PERSONID,PERSONID
person,COMMDRVR,COMMDRVR,
person,NBIKETRP,NBIKETRP,NBIKETRP
person,NWALKTRP,NWALKTRP,NWALKTRP
person,USEPUBTR,USEPUBTR,USEPUBTR
person,WRKDRIVE,WRKDRIVE,
person,WRKTRANS,WRKTRANS,WRKTRANS
person,WORKER,WORKER,WORKER
person,DTGAS,DTGAS,GASPRICE From Trip file
person,DISTTOWK,DISTTOWK,DISTTOWK17
person,DRIVER,DRIVER,DRIVER
person,R_AGE,R_AGE,R_AGE
person,R_SEX,R_SEX,R_SEX
day/trip,HOUSEID,HOUSEID,
day/trip,TDCASEID,TDCASEID,
day/trip,VEHID,VEHID,
day/trip,VEHUSED,,Must be pulled from vehicle table by VEHID
day/trip,TRPHHVEH,TRPHHVEH,
day/trip,PERSONID,PERSONID,
day/trip,NUMONTRP,NUMONTRP,
day/trip,TRPTRANS,TRPTRANS,
day/trip,TRPMILES,TRPMILES,
day/trip,TRVL_MIN,TRVLCMIN,
day/trip,DWELTIME,DWELTIME,
day/trip,PSGR_FLG,PSGR_FLG,
day/trip,WHYFROM,WHYFROM,
day/trip,WHYTO,WHYTO,
day/trip,VEHTYPE,VEHTYPE,
