SERIALNO,AGE,WRKLYR,INCTOT
2006000229510,31,1,49050.33566
2006000229510,28,1,30560.9568
2006000229510,23,1,6112.19136
2006000231480,44,1,17572.55016
2006000231480,43,1,2368.474152
2006000231480,21,1,11383.95641
2006000231480,20,1,76.402392
2006000231480,18,1,221.5669368
2006000232005,32,1,534.816744
2006000232005,25,1,16426.51428
2006000232535,21,1,3820.1196
2006000233073,57,2,10619.93249
2006000233073,18,1,5424.569832
2006000237406,68,2,16884.92863
2006000238683,68,2,30560.9568
2006000238683,64,1,45841.4352
2006000242603,25,1,14516.45448
2006000243908,33,1,764.02392
2006000243908,37,1,26740.8372
2006000247183,27,1,22920.7176
2006000247183,28,1,11460.3588
2006000248590,70,2,19864.62192
2006000248590,46,1,15738.89275
2006000248590,44,1,1833.657408
2006000248590,45,1,19864.62192
2006000256148,64,1,4354.936344
2006000258480,34,1,29338.51853
2006000258480,35,1,11460.3588
2006000261358,48,1,47369.48304
2006000261860,48,1,30790.16398
2006000266125,67,1,14822.06405
2006000266125,58,1,32853.02856
2006000266125,22,1,3285.302856
2006000266125,23,1,6112.19136
2006000272512,35,1,30560.9568
2006000272512,3,0,-15279.71438
2006000272512,1,0,NA
2006000272512,87,2,4584.14352
2006000272512,62,2,3056.09568
2006000276635,45,1,15288.11864
2006000276635,48,1,20636.28608
2006000278307,60,2,17419.74538
2006000278307,56,1,34381.0764
2006000278307,15,0,0
2006000281401,45,1,20628.64584
2006000281401,39,1,9168.28704
2006000281401,10,0,NA
2006000281401,8,0,-15279.71438
2006000281981,47,1,45841.4352
2006000281981,78,2,0
2006000283750,48,2,12224.38272
2006000284964,36,1,10925.54206
2006000284964,36,1,35145.10032
2006000284964,5,0,-15279.71438
2006000284964,5,0,-15279.71438
2006000285315,81,2,18336.57408
2006000288016,33,1,32089.00464
2006000289200,38,1,34381.0764
2006000289200,44,1,91682.8704
2006000292721,45,1,21774.68172
2006000292721,42,1,16808.52624
2006000292721,11,0,NA
2006000292721,6,0,-15279.71438
