process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.4,0.0
MainProcess,setup_data_structures,0.5,0.0
MainProcess,initial_seed_balancing,3.1,0.1
MainProcess,meta_control_factoring,0.0,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.3,0.0
MainProcess,sub_balancing.geography=TRACT,38.0,0.6
MainProcess,sub_balancing.geography=BG,65.5,1.1
MainProcess,expand_households,1.9,0.0
MainProcess,write_data_dictionary,0.7,0.0
MainProcess,summarize,1.8,0.0
MainProcess,write_tables,0.2,0.0
MainProcess,write_synthetic_population,0.7,0.0
