process,pid,rss,full_rss,uss,event,children,time
MainProcess,14792,95_383_552,95_383_552,67_588_096,pipeline.run before preload_injectables,0,2022/07/07 16:52:52.016269
MainProcess,14792,95_748_096,95_748_096,67_670_016,pipeline.run after preload_injectables,0,2022/07/07 16:52:52.025822
MainProcess,14792,95_772_672,95_772_672,67_670_016,pipeline.run_model input_pre_processor start,0,2022/07/07 16:52:52.032641
MainProcess,14792,128_507_904,128_507_904,99_975_168,pipeline.run_model input_pre_processor finished,0,2022/07/07 16:52:52.299328
MainProcess,14792,140_738_560,140_738_560,112_246_784,pipeline.run after input_pre_processor,0,2022/07/07 16:52:52.416247
MainProcess,14792,140_845_056,140_845_056,112_246_784,pipeline.run_model setup_data_structures start,0,2022/07/07 16:52:52.432470
MainProcess,14792,137_146_368,137_146_368,108_720_128,pipeline.run_model setup_data_structures finished,0,2022/07/07 16:52:52.796196
MainProcess,14792,141_312_000,141_312_000,112_390_144,pipeline.run after setup_data_structures,0,2022/07/07 16:52:52.915730
MainProcess,14792,141_574_144,141_574_144,112_390_144,pipeline.run_model initial_seed_balancing start,0,2022/07/07 16:52:52.926093
MainProcess,14792,141_090_816,141_090_816,112_697_344,pipeline.run_model initial_seed_balancing finished,0,2022/07/07 16:52:56.016027
MainProcess,14792,141_963_264,141_963_264,112_750_592,pipeline.run after initial_seed_balancing,0,2022/07/07 16:52:56.046061
MainProcess,14792,141_963_264,141_963_264,112_750_592,pipeline.run_model meta_control_factoring start,0,2022/07/07 16:52:56.056163
MainProcess,14792,141_963_264,141_963_264,112_750_592,pipeline.run_model meta_control_factoring finished,0,2022/07/07 16:52:56.066005
MainProcess,14792,141_967_360,141_967_360,112_754_688,pipeline.run after meta_control_factoring,0,2022/07/07 16:52:56.086154
MainProcess,14792,141_967_360,141_967_360,112_754_688,pipeline.run_model final_seed_balancing start,0,2022/07/07 16:52:56.099011
MainProcess,14792,141_967_360,141_967_360,112_754_688,pipeline.run_model final_seed_balancing finished,0,2022/07/07 16:52:56.106020
MainProcess,14792,142_118_912,142_118_912,112_906_240,pipeline.run after final_seed_balancing,0,2022/07/07 16:52:56.149179
MainProcess,14792,142_118_912,142_118_912,112_906_240,pipeline.run_model integerize_final_seed_weights start,0,2022/07/07 16:52:56.156194
MainProcess,14792,144_916_480,144_916_480,114_307_072,pipeline.run_model integerize_final_seed_weights finished,0,2022/07/07 16:52:56.455912
MainProcess,14792,146_542_592,146_542_592,114_929_664,pipeline.run after integerize_final_seed_weights,0,2022/07/07 16:52:56.483689
MainProcess,14792,146_550_784,146_550_784,114_929_664,pipeline.run_model sub_balancing.geography=TRACT start,0,2022/07/07 16:52:56.486224
MainProcess,14792,152_932_352,152_932_352,122_134_528,pipeline.run_model sub_balancing.geography=TRACT finished,0,2022/07/07 16:53:34.465077
MainProcess,14792,155_164_672,155_164_672,123_572_224,pipeline.run after sub_balancing.geography=TRACT,0,2022/07/07 16:53:34.531928
MainProcess,14792,155_385_856,155_385_856,123_572_224,pipeline.run_model sub_balancing.geography=BG start,0,2022/07/07 16:53:34.542868
MainProcess,14792,168_370_176,168_370_176,137_396_224,pipeline.run_model sub_balancing.geography=BG finished,0,2022/07/07 16:54:39.971650
MainProcess,14792,170_323_968,170_323_968,138_502_144,pipeline.run after sub_balancing.geography=BG,0,2022/07/07 16:54:40.031846
MainProcess,14792,170_323_968,170_323_968,138_502_144,pipeline.run_model expand_households start,0,2022/07/07 16:54:40.041820
MainProcess,14792,172_244_992,172_244_992,140_369_920,pipeline.run_model expand_households finished,0,2022/07/07 16:54:41.950941
MainProcess,14792,172_756_992,172_756_992,140_857_344,pipeline.run after expand_households,0,2022/07/07 16:54:41.980863
MainProcess,14792,172_756_992,172_756_992,140_857_344,pipeline.run_model write_data_dictionary start,0,2022/07/07 16:54:41.990799
MainProcess,14792,176_242_688,176_242_688,144_297_984,pipeline.run_model write_data_dictionary finished,0,2022/07/07 16:54:42.670568
MainProcess,14792,175_308_800,175_308_800,143_245_312,pipeline.run after write_data_dictionary,0,2022/07/07 16:54:42.695253
MainProcess,14792,175_308_800,175_308_800,143_245_312,pipeline.run_model summarize start,0,2022/07/07 16:54:42.706181
MainProcess,14792,171_798_528,171_798_528,140_742_656,pipeline.run_model summarize finished,0,2022/07/07 16:54:44.415084
MainProcess,14792,175_620_096,175_620_096,143_695_872,pipeline.run after summarize,0,2022/07/07 16:54:44.516324
MainProcess,14792,175_763_456,175_763_456,143_695_872,pipeline.run_model write_tables start,0,2022/07/07 16:54:44.526217
MainProcess,14792,178_565_120,178_565_120,146_493_440,pipeline.run_model write_tables finished,0,2022/07/07 16:54:44.661253
MainProcess,14792,178_565_120,178_565_120,146_493_440,pipeline.run after write_tables,0,2022/07/07 16:54:44.685952
MainProcess,14792,178_565_120,178_565_120,146_493_440,pipeline.run_model write_synthetic_population start,0,2022/07/07 16:54:44.699521
MainProcess,14792,174_817_280,174_817_280,143_405_056,pipeline.run_model write_synthetic_population finished,0,2022/07/07 16:54:45.354985
MainProcess,14792,175_476_736,175_476_736,143_405_056,pipeline.run after write_synthetic_population,0,2022/07/07 16:54:45.381180
MainProcess,14792,175_476_736,175_476_736,143_405_056,pipeline.run after run_models,0,2022/07/07 16:54:45.399340
