table_name,column_name,dtype,checkpoint
geo_cross_walk,STATEFP,int64,input_pre_processor
geo_cross_walk,COUNTYFP,int64,input_pre_processor
geo_cross_walk,TRACTCE,int64,input_pre_processor
geo_cross_walk,BLKGRPCE,int64,input_pre_processor
geo_cross_walk,BG,int64,input_pre_processor
geo_cross_walk,PUMA,int64,input_pre_processor
geo_cross_walk,REGION,int64,input_pre_processor
geo_cross_walk,TRACT,int64,input_pre_processor
BG_control_data,BG,int64,input_pre_processor
BG_control_data,POPBASE,int64,input_pre_processor
BG_control_data,HHBASE,int64,input_pre_processor
BG_control_data,PINC,int64,input_pre_processor
BG_control_data,HHSIZ1,int64,input_pre_processor
BG_control_data,HHSIZ2,int64,input_pre_processor
BG_control_data,HHSIZ3,int64,input_pre_processor
BG_control_data,HHSIZ4,int64,input_pre_processor
BG_control_data,PAGE0TO14,int64,input_pre_processor
BG_control_data,PAGE15TO19,int64,input_pre_processor
BG_control_data,PAGE20TO29,int64,input_pre_processor
BG_control_data,PAGE30TO54,int64,input_pre_processor
BG_control_data,PAGE55TO64,int64,input_pre_processor
BG_control_data,PAGE65PLUS,int64,input_pre_processor
BG_control_data,PRACWHT,int64,input_pre_processor
BG_control_data,PRACBLK,int64,input_pre_processor
BG_control_data,PRACNAT,int64,input_pre_processor
BG_control_data,PRACASN,int64,input_pre_processor
BG_control_data,PRACPAC,int64,input_pre_processor
BG_control_data,PRACOTH,int64,input_pre_processor
BG_control_data,PRACMUL,int64,input_pre_processor
BG_control_data,HHINC1,int64,input_pre_processor
BG_control_data,HHINC2,int64,input_pre_processor
BG_control_data,HHINC3,int64,input_pre_processor
BG_control_data,HHINC4,int64,input_pre_processor
BG_control_data,STATEFP,int64,input_pre_processor
BG_control_data,COUNTYFP,int64,input_pre_processor
BG_control_data,TRACTCE,int64,input_pre_processor
BG_control_data,TRACT,int64,input_pre_processor
BG_control_data,PUMA,int64,input_pre_processor
BG_control_data,REGION,int64,input_pre_processor
TRACT_control_data,TRACT,int64,input_pre_processor
TRACT_control_data,POPBASE,int64,input_pre_processor
TRACT_control_data,HHBASE,int64,input_pre_processor
TRACT_control_data,HHWRK0,int64,input_pre_processor
TRACT_control_data,HHWRK1,int64,input_pre_processor
TRACT_control_data,HHWRK2,int64,input_pre_processor
TRACT_control_data,HHWRK3,int64,input_pre_processor
TRACT_control_data,SF,int64,input_pre_processor
TRACT_control_data,DUP,int64,input_pre_processor
TRACT_control_data,MF,int64,input_pre_processor
TRACT_control_data,MH,int64,input_pre_processor
TRACT_control_data,STATEFP,int64,input_pre_processor
TRACT_control_data,COUNTYFP,int64,input_pre_processor
TRACT_control_data,TRACTCE,int64,input_pre_processor
TRACT_control_data,PUMA,int64,input_pre_processor
TRACT_control_data,REGION,int64,input_pre_processor
REGION_control_data,REGION,int64,input_pre_processor
REGION_control_data,HHBASE,int64,input_pre_processor
REGION_control_data,HHWRK0,int64,input_pre_processor
REGION_control_data,HHWRK1,int64,input_pre_processor
REGION_control_data,HHWRK2,int64,input_pre_processor
REGION_control_data,HHWRK3,int64,input_pre_processor
REGION_control_data,SF,int64,input_pre_processor
REGION_control_data,DUP,int64,input_pre_processor
REGION_control_data,MF,int64,input_pre_processor
REGION_control_data,MH,int64,input_pre_processor
REGION_control_data,POPBASE,int64,input_pre_processor
REGION_control_data,HHBASE.1,int64,input_pre_processor
REGION_control_data,PINC,int64,input_pre_processor
REGION_control_data,HHSIZ1,int64,input_pre_processor
REGION_control_data,HHSIZ2,int64,input_pre_processor
REGION_control_data,HHSIZ3,int64,input_pre_processor
REGION_control_data,HHSIZ4,int64,input_pre_processor
REGION_control_data,PAGE0TO14,int64,input_pre_processor
REGION_control_data,PAGE15TO19,int64,input_pre_processor
REGION_control_data,PAGE20TO29,int64,input_pre_processor
REGION_control_data,PAGE30TO54,int64,input_pre_processor
REGION_control_data,PAGE55TO64,int64,input_pre_processor
REGION_control_data,PAGE65PLUS,int64,input_pre_processor
REGION_control_data,PRACWHT,int64,input_pre_processor
REGION_control_data,PRACBLK,int64,input_pre_processor
REGION_control_data,PRACNAT,int64,input_pre_processor
REGION_control_data,PRACASN,int64,input_pre_processor
REGION_control_data,PRACPAC,int64,input_pre_processor
REGION_control_data,PRACOTH,int64,input_pre_processor
REGION_control_data,PRACMUL,int64,input_pre_processor
REGION_control_data,HHINC1,int64,input_pre_processor
REGION_control_data,HHINC2,int64,input_pre_processor
REGION_control_data,HHINC3,int64,input_pre_processor
REGION_control_data,HHINC4,int64,input_pre_processor
crosswalk,REGION,int64,setup_data_structures
crosswalk,PUMA,int64,setup_data_structures
crosswalk,TRACT,int64,setup_data_structures
crosswalk,BG,int64,setup_data_structures
control_spec,target,object,setup_data_structures
control_spec,geography,object,setup_data_structures
control_spec,seed_table,object,setup_data_structures
control_spec,importance,int64,setup_data_structures
control_spec,control_field,object,setup_data_structures
control_spec,expression,object,setup_data_structures
REGION_controls,REGION,int64,setup_data_structures
REGION_controls,num_hh,int64,setup_data_structures
REGION_controls,hh_size_1,int64,setup_data_structures
REGION_controls,hh_size_2,int64,setup_data_structures
REGION_controls,hh_size_3,int64,setup_data_structures
REGION_controls,hh_size_4_plus,int64,setup_data_structures
REGION_controls,hh_inc_0_21,int64,setup_data_structures
REGION_controls,hh_inc_21_42,int64,setup_data_structures
REGION_controls,hh_inc_42_85,int64,setup_data_structures
REGION_controls,hh_inc_85_plus,int64,setup_data_structures
REGION_controls,hh_wrks_0,int64,setup_data_structures
REGION_controls,hh_wrks_1,int64,setup_data_structures
REGION_controls,hh_wrks_2,int64,setup_data_structures
REGION_controls,hh_wrks_3_plus,int64,setup_data_structures
REGION_controls,hh_by_type_sf,int64,setup_data_structures
REGION_controls,hh_by_type_mf,int64,setup_data_structures
REGION_controls,hh_by_type_mh,int64,setup_data_structures
REGION_controls,hh_by_type_dup,int64,setup_data_structures
REGION_controls,num_per,int64,setup_data_structures
REGION_controls,per_race_white,int64,setup_data_structures
REGION_controls,per_race_black,int64,setup_data_structures
REGION_controls,per_race_native,int64,setup_data_structures
REGION_controls,per_race_asian,int64,setup_data_structures
REGION_controls,per_race_pacific,int64,setup_data_structures
REGION_controls,per_race_other,int64,setup_data_structures
REGION_controls,per_race_multi,int64,setup_data_structures
REGION_controls,per_age_0_14,int64,setup_data_structures
REGION_controls,per_age_15_19,int64,setup_data_structures
REGION_controls,per_age_20_29,int64,setup_data_structures
REGION_controls,per_age_30_54,int64,setup_data_structures
