geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_21_control,hh_inc_21_42_control,hh_inc_42_85_control,hh_inc_85_plus_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,avg_percap_inc_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_21_result,hh_inc_21_42_result,hh_inc_42_85_result,hh_inc_85_plus_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,avg_percap_inc_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_21_diff,hh_inc_21_42_diff,hh_inc_42_85_diff,hh_inc_85_plus_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff,avg_percap_inc_diff
BG,410290002033,534,142,218,57,117,155,144,198,37,1170,992,17,8,6,0,5,142,305,17,366,300,124,58,18154,534.0,138.0,214.0,57.0,125.0,291.0,139.0,94.0,10.0,1241.0,1056.0,21.0,10.0,8.0,0.0,6.0,140.0,419.0,24.0,333.0,319.0,101.0,45.0,-273448.51192500046,0.0,-4.0,-4.0,0.0,8.0,136.0,-5.0,-104.0,-27.0,71.0,64.0,4.0,2.0,2.0,0.0,1.0,-2.0,114.0,7.0,-33.0,19.0,-23.0,-13.0,-291602.51192500046
BG,410290003003,871,261,133,167,310,43,255,381,192,2681,1952,0,464,62,0,0,203,887,94,551,914,80,155,21727,871.0,229.0,132.0,173.0,337.0,145.0,431.0,274.0,21.0,2568.0,1883.0,0.0,520.0,50.0,0.0,0.0,115.0,1225.0,72.0,475.0,579.0,101.0,116.0,-1560186.7558420012,0.0,-32.0,-1.0,6.0,27.0,102.0,176.0,-107.0,-171.0,-113.0,-69.0,0.0,56.0,-12.0,0.0,0.0,-88.0,338.0,-22.0,-76.0,-335.0,21.0,-39.0,-1581913.7558420012
BG,410290003004,778,371,349,18,40,130,278,259,111,1290,1141,0,0,76,0,20,53,40,36,276,445,245,248,25096,778.0,372.0,341.0,19.0,46.0,449.0,302.0,27.0,0.0,1295.0,1024.0,0.0,0.0,108.0,0.0,20.0,143.0,399.0,23.0,184.0,435.0,120.0,134.0,-312442.8320600005,0.0,1.0,-8.0,1.0,6.0,319.0,24.0,-232.0,-111.0,5.0,-117.0,0.0,0.0,32.0,0.0,0.0,90.0,359.0,-13.0,-92.0,-10.0,-125.0,-114.0,-337538.8320600005
BG,410290004031,393,21,189,36,147,0,67,82,244,1038,862,0,0,0,0,0,176,260,0,18,341,237,182,33632,393.0,20.0,164.0,29.0,180.0,1.0,246.0,146.0,0.0,1155.0,1131.0,0.0,0.0,0.0,0.0,0.0,24.0,592.0,0.0,55.0,232.0,152.0,124.0,325468.89941599965,0.0,-1.0,-25.0,-7.0,33.0,1.0,179.0,64.0,-244.0,117.0,269.0,0.0,0.0,0.0,0.0,0.0,-152.0,332.0,0.0,37.0,-109.0,-85.0,-58.0,291836.89941599965
BG,410290004032,592,102,340,35,115,41,71,119,361,1378,1193,60,29,12,0,69,15,238,43,66,403,249,379,44214,592.0,98.0,355.0,48.0,91.0,343.0,178.0,39.0,32.0,1330.0,950.0,68.0,35.0,16.0,0.0,76.0,185.0,480.0,33.0,24.0,360.0,202.0,231.0,-1127983.6284160009,0.0,-4.0,15.0,13.0,-24.0,302.0,107.0,-80.0,-329.0,-48.0,-243.0,8.0,6.0,4.0,0.0,7.0,170.0,242.0,-10.0,-42.0,-43.0,-47.0,-148.0,-1172197.6284160009
BG,410290004041,1000,238,306,93,363,26,193,148,633,2641,2474,0,0,15,108,18,26,502,242,176,844,316,561,34715,1000.0,232.0,306.0,99.0,363.0,285.0,487.0,172.0,56.0,2839.0,2644.0,0.0,0.0,22.0,124.0,18.0,31.0,1184.0,215.0,156.0,620.0,250.0,414.0,-249275.0601949999,0.0,-6.0,0.0,6.0,0.0,259.0,294.0,24.0,-577.0,198.0,170.0,0.0,0.0,7.0,16.0,0.0,5.0,682.0,-27.0,-20.0,-224.0,-66.0,-147.0,-283990.0601949999
BG,410290004042,994,126,345,222,301,102,69,257,566,3187,3072,55,0,52,0,0,8,1045,199,106,874,376,587,30702,994.0,122.0,332.0,220.0,320.0,386.0,206.0,296.0,106.0,3080.0,2952.0,62.0,0.0,60.0,0.0,0.0,6.0,1355.0,162.0,94.0,779.0,289.0,401.0,-117330.72035599966,0.0,-4.0,-13.0,-2.0,19.0,284.0,137.0,39.0,-460.0,-107.0,-120.0,7.0,0.0,8.0,0.0,0.0,-2.0,310.0,-37.0,-12.0,-95.0,-87.0,-186.0,-148032.72035599966
BG,410290004051,669,230,200,102,137,183,178,79,229,1812,1609,0,5,28,0,0,170,422,89,324,540,108,329,22378,669.0,215.0,196.0,108.0,150.0,382.0,200.0,58.0,29.0,1638.0,1451.0,0.0,5.0,30.0,0.0,0.0,152.0,577.0,74.0,258.0,436.0,77.0,216.0,-1830957.4646380006,0.0,-15.0,-4.0,6.0,13.0,199.0,22.0,-21.0,-200.0,-174.0,-158.0,0.0,0.0,2.0,0.0,0.0,-18.0,155.0,-15.0,-66.0,-104.0,-31.0,-113.0,-1853335.4646380006
BG,410290004052,1077,479,290,97,211,239,249,215,374,2491,2095,76,0,22,72,53,173,323,119,482,767,377,423,26048,1077.0,459.0,286.0,102.0,230.0,674.0,298.0,84.0,21.0,2316.0,1916.0,75.0,0.0,24.0,72.0,54.0,175.0,652.0,96.0,405.0,594.0,282.0,287.0,-207245.77927600092,0.0,-20.0,-4.0,5.0,19.0,435.0,49.0,-131.0,-353.0,-175.0,-179.0,-1.0,0.0,2.0,0.0,1.0,2.0,329.0,-23.0,-77.0,-173.0,-95.0,-136.0,-233293.77927600092
BG,410290004061,1091,593,294,126,78,277,336,230,248,1877,1699,0,0,39,0,74,65,285,40,358,504,132,558,25165,1091.0,579.0,294.0,133.0,85.0,692.0,330.0,59.0,10.0,1906.0,1710.0,0.0,0.0,48.0,0.0,82.0,66.0,585.0,38.0,320.0,450.0,119.0,394.0,-503604.64285200107,0.0,-14.0,0.0,7.0,7.0,415.0,-6.0,-171.0,-238.0,29.0,11.0,0.0,0.0,9.0,0.0,8.0,1.0,300.0,-2.0,-38.0,-54.0,-13.0,-164.0,-528769.6428520011
BG,410290004063,452,98,99,138,117,62,55,108,227,1271,1184,33,0,32,0,0,22,314,112,235,334,171,105,25757,452.0,92.0,95.0,141.0,124.0,220.0,123.0,87.0,22.0,1201.0,1111.0,34.0,0.0,34.0,0.0,0.0,22.0,467.0,88.0,205.0,252.0,117.0,72.0,-796346.6028010004,0.0,-6.0,-4.0,3.0,7.0,158.0,68.0,-21.0,-205.0,-70.0,-73.0,1.0,0.0,2.0,0.0,0.0,0.0,153.0,-24.0,-30.0,-82.0,-54.0,-33.0,-822103.6028010004
BG,410290005011,566,153,233,107,73,135,232,100,99,1324,1167,0,7,0,29,15,106,243,118,311,351,175,126,18168,566.0,146.0,226.0,110.0,84.0,278.0,222.0,55.0,11.0,1275.0,1132.0,0.0,5.0,0.0,32.0,12.0,94.0,413.0,89.0,215.0,315.0,144.0,99.0,-290615.48007300054,0.0,-7.0,-7.0,3.0,11.0,143.0,-10.0,-45.0,-88.0,-49.0,-35.0,0.0,-2.0,0.0,3.0,-3.0,-12.0,170.0,-29.0,-96.0,-36.0,-31.0,-27.0,-308783.48007300054
BG,410290005012,821,381,218,93,129,66,241,179,335,1703,1587,0,29,7,0,37,43,277,110,118,599,227,372,34128,821.0,368.0,219.0,99.0,135.0,378.0,372.0,63.0,8.0,1659.0,1508.0,0.0,40.0,8.0,0.0,44.0,59.0,589.0,98.0,159.0,437.0,151.0,225.0,-375281.31559700007,0.0,-13.0,1.0,6.0,6.0,312.0,131.0,-116.0,-327.0,-44.0,-79.0,0.0,11.0,1.0,0.0,7.0,16.0,312.0,-12.0,41.0,-162.0,-76.0,-147.0,-409409.31559700007
BG,410290005021,851,132,222,180,317,41,202,220,388,2421,2236,0,0,0,0,175,10,534,119,313,1047,234,174,30801,851.0,129.0,224.0,176.0,322.0,252.0,438.0,128.0,33.0,2393.0,2195.0,0.0,0.0,0.0,0.0,178.0,20.0,939.0,110.0,414.0,695.0,146.0,89.0,-308296.8622590008,0.0,-3.0,2.0,-4.0,5.0,211.0,236.0,-92.0,-355.0,-28.0,-41.0,0.0,0.0,0.0,0.0,3.0,10.0,405.0,-9.0,101.0,-352.0,-88.0,-85.0,-339097.8622590008
BG,410290005022,603,211,211,0,181,196,241,112,54,1801,1650,24,0,40,47,0,40,404,49,290,649,165,244,17789,603.0,187.0,202.0,0.0,214.0,326.0,217.0,46.0,14.0,1447.0,1238.0,48.0,0.0,82.0,48.0,0.0,31.0,479.0,30.0,270.0,430.0,107.0,131.0,-1576513.825517001,0.0,-24.0,-9.0,0.0,33.0,130.0,-24.0,-66.0,-40.0,-354.0,-412.0,24.0,0.0,42.0,1.0,0.0,-9.0,75.0,-19.0,-20.0,-219.0,-58.0,-113.0,-1594302.825517001
BG,410290005024,562,191,253,118,0,120,398,29,15,1080,824,50,0,206,0,0,0,187,11,306,224,70,282,15396,562.0,186.0,243.0,133.0,0.0,265.0,297.0,0.0,0.0,1071.0,859.0,26.0,0.0,186.0,0.0,0.0,0.0,333.0,3.0,68.0,340.0,88.0,239.0,135018.34974499955,0.0,-5.0,-10.0,15.0,0.0,145.0,-101.0,-29.0,-15.0,-9.0,35.0,-24.0,0.0,-20.0,0.0,0.0,0.0,146.0,-8.0,-238.0,116.0,18.0,-43.0,119622.34974499955
BG,410290006031,865,81,397,115,272,69,16,108,672,2550,2185,0,0,134,0,0,231,866,23,139,854,204,464,60193,865.0,80.0,393.0,114.0,278.0,369.0,155.0,206.0,135.0,2562.0,2182.0,0.0,0.0,140.0,0.0,0.0,240.0,1170.0,41.0,122.0,733.0,163.0,333.0,80404.72979399748,0.0,-1.0,-4.0,-1.0,6.0,300.0,139.0,98.0,-537.0,12.0,-3.0,0.0,0.0,6.0,0.0,0.0,9.0,304.0,18.0,-17.0,-121.0,-41.0,-131.0,20211.72979399748
BG,410290006032,446,120,214,30,82,13,57,81,295,1114,1048,22,0,11,0,19,14,188,69,61,249,203,344,47366,446.0,114.0,203.0,35.0,94.0,203.0,120.0,105.0,18.0,1149.0,1039.0,26.0,0.0,34.0,0.0,22.0,28.0,448.0,35.0,72.0,175.0,168.0,251.0,47166.85714999959,0.0,-6.0,-11.0,5.0,12.0,190.0,63.0,24.0,-277.0,35.0,-9.0,4.0,0.0,23.0,0.0,3.0,14.0,260.0,-34.0,11.0,-74.0,-35.0,-93.0,-199.14285000041127
BG,410290006041,815,195,342,183,95,100,229,187,299,1882,1861,0,0,21,0,0,0,291,95,329,642,181,344,37792,815.0,191.0,337.0,185.0,102.0,365.0,341.0,88.0,21.0,1909.0,1883.0,0.0,0.0,26.0,0.0,0.0,0.0,664.0,88.0,245.0,500.0,149.0,263.0,-404113.03236499964,0.0,-4.0,-5.0,2.0,7.0,265.0,112.0,-99.0,-278.0,27.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,373.0,-7.0,-84.0,-142.0,-32.0,-81.0,-441905.03236499964
BG,410290006042,705,154,355,92,104,48,245,189,223,1708,1598,0,29,60,0,0,21,277,102,47,462,164,656,30542,705.0,149.0,351.0,98.0,107.0,259.0,358.0,79.0,9.0,1710.0,1579.0,0.0,35.0,74.0,0.0,0.0,22.0,613.0,78.0,93.0,396.0,113.0,417.0,-657529.2731150016,0.0,-5.0,-4.0,6.0,3.0,211.0,113.0,-110.0,-214.0,2.0,-19.0,0.0,6.0,14.0,0.0,0.0,1.0,336.0,-24.0,46.0,-66.0,-51.0,-239.0,-688071.2731150016
BG,410290006051,690,130,364,50,146,170,195,111,214,1775,1692,0,12,0,0,0,71,366,248,214,493,175,279,26844,690.0,117.0,359.0,55.0,159.0,334.0,254.0,83.0,19.0,1642.0,1556.0,0.0,15.0,0.0,0.0,0.0,71.0,572.0,190.0,187.0,352.0,137.0,204.0,-693617.4067840008,0.0,-13.0,-5.0,5.0,13.0,164.0,59.0,-28.0,-195.0,-133.0,-136.0,0.0,3.0,0.0,0.0,0.0,0.0,206.0,-58.0,-27.0,-141.0,-38.0,-75.0,-720461.4067840008
BG,410290006052,431,147,255,20,9,36,123,150,122,772,723,0,0,49,0,0,0,10,10,10,106,216,420,38666,431.0,149.0,254.0,19.0,9.0,300.0,116.0,15.0,0.0,750.0,694.0,0.0,0.0,56.0,0.0,0.0,0.0,159.0,24.0,18.0,141.0,152.0,256.0,26571.019074999815,0.0,2.0,-1.0,-1.0,0.0,264.0,-7.0,-135.0,-122.0,-22.0,-29.0,0.0,0.0,7.0,0.0,0.0,0.0,149.0,14.0,8.0,35.0,-64.0,-164.0,-12094.980925000185
BG,410290006061,955,267,534,129,25,37,179,152,587,1828,1668,0,0,67,0,14,79,211,0,0,251,124,1242,65896,955.0,263.0,525.0,139.0,28.0,462.0,420.0,52.0,21.0,1890.0,1687.0,0.0,0.0,94.0,0.0,16.0,93.0,627.0,0.0,0.0,339.0,135.0,789.0,188086.7244229992,0.0,-4.0,-9.0,10.0,3.0,425.0,241.0,-100.0,-566.0,62.0,19.0,0.0,0.0,27.0,0.0,2.0,14.0,416.0,0.0,0.0,88.0,11.0,-453.0,122190.72442299919
BG,410290007011,705,80,279,168,178,32,187,201,285,1981,1822,0,52,82,0,0,25,288,136,382,363,443,369,24714,705.0,76.0,269.0,171.0,189.0,219.0,355.0,117.0,14.0,2005.0,1818.0,0.0,60.0,100.0,0.0,0.0,27.0,682.0,109.0,335.0,328.0,312.0,239.0,-311831.47212299984,0.0,-4.0,-10.0,3.0,11.0,187.0,168.0,-84.0,-271.0,24.0,-4.0,0.0,8.0,18.0,0.0,0.0,2.0,394.0,-27.0,-47.0,-35.0,-131.0,-130.0,-336545.47212299984
BG,410290007012,1168,318,352,114,384,88,263,434,383,3133,2609,22,0,0,0,270,232,469,288,414,1183,417,362,24185,1168.0,304.0,346.0,118.0,400.0,459.0,474.0,214.0,21.0,3092.0,2518.0,24.0,0.0,0.0,0.0,304.0,246.0,1074.0,235.0,359.0,881.0,311.0,232.0,-734785.9404069996,0.0,-14.0,-6.0,4.0,16.0,371.0,211.0,-220.0,-362.0,-41.0,-91.0,2.0,0.0,0.0,0.0,34.0,14.0,605.0,-53.0,-55.0,-302.0,-106.0,-130.0,-758970.9404069996
BG,410290007021,201,0,169,0,32,0,12,103,86,538,534,0,0,0,0,0,4,53,49,0,114,93,229,35338,201.0,0.0,124.0,0.0,77.0,0.0,124.0,77.0,0.0,576.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,27.0,0.0,159.0,10.0,67.0,16352.33538399986,0.0,0.0,-45.0,0.0,45.0,0.0,112.0,-26.0,-86.0,38.0,42.0,0.0,0.0,0.0,0.0,0.0,-4.0,260.0,-22.0,0.0,45.0,-83.0,-162.0,-18985.66461600014
BG,410290007022,490,88,157,82,163,27,52,121,290,1403,1212,0,75,30,0,7,79,189,271,122,566,139,116,28460,490.0,84.0,167.0,83.0,156.0,228.0,134.0,88.0,40.0,1430.0,1204.0,0.0,90.0,38.0,0.0,8.0,90.0,502.0,215.0,104.0,395.0,119.0,95.0,27462.040884000715,0.0,-4.0,10.0,1.0,-7.0,201.0,82.0,-33.0,-250.0,27.0,-8.0,0.0,15.0,8.0,0.0,1.0,11.0,313.0,-56.0,-18.0,-171.0,-20.0,-21.0,-997.9591159992851
BG,410290007023,1068,159,278,171,460,55,231,281,501,3143,2946,0,0,0,0,0,197,778,286,413,740,448,478,27086,1068.0,158.0,302.0,174.0,434.0,287.0,453.0,242.0,86.0,3362.0,3126.0,0.0,0.0,0.0,0.0,0.0,236.0,1380.0,270.0,364.0,562.0,387.0,399.0,29950.229047000408,0.0,-1.0,24.0,3.0,-26.0,232.0,222.0,-39.0,-415.0,219.0,180.0,0.0,0.0,0.0,0.0,0.0,39.0,602.0,-16.0,-49.0,-178.0,-61.0,-79.0,2864.229047000408
BG,410290008003,586,96,318,84,88,63,191,175,157,1348,1086,25,0,0,0,28,209,91,68,418,541,82,148,27112,586.0,95.0,312.0,90.0,89.0,331.0,192.0,57.0,6.0,1345.0,1085.0,26.0,0.0,0.0,0.0,32.0,202.0,378.0,47.0,335.0,389.0,58.0,138.0,-651690.3779090003,0.0,-1.0,-6.0,6.0,1.0,268.0,1.0,-118.0,-151.0,-3.0,-1.0,1.0,0.0,0.0,0.0,4.0,-7.0,287.0,-21.0,-83.0,-152.0,-24.0,-10.0,-678802.3779090003
BG,410290008004,499,139,217,113,30,79,91,48,281,1115,963,0,62,69,0,0,21,120,34,143,318,227,273,37242,499.0,134.0,216.0,113.0,36.0,297.0,181.0,19.0,2.0,1075.0,901.0,0.0,65.0,84.0,0.0,0.0,25.0,267.0,37.0,147.0,312.0,174.0,138.0,-226791.47164100036,0.0,-5.0,-1.0,0.0,6.0,218.0,90.0,-29.0,-279.0,-40.0,-62.0,0.0,3.0,15.0,0.0,0.0,4.0,147.0,3.0,4.0,-6.0,-53.0,-135.0,-264033.47164100036
BG,410290009011,357,26,225,34,72,49,25,65,218,870,870,0,0,0,0,0,0,182,14,12,343,169,150,38557,357.0,35.0,212.0,39.0,71.0,93.0,170.0,82.0,12.0,979.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,11.0,11.0,307.0,122.0,106.0,5066.241499999072,0.0,9.0,-13.0,5.0,-1.0,44.0,145.0,17.0,-206.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,-3.0,-1.0,-36.0,-47.0,-44.0,-33490.75850000093
BG,410290009012,282,49,132,53,48,12,50,12,208,989,989,0,0,0,0,0,0,256,40,120,259,60,254,46517,282.0,45.0,125.0,51.0,61.0,68.0,176.0,21.0,17.0,794.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,28.0,96.0,157.0,41.0,138.0,-283043.436369,0.0,-4.0,-7.0,-2.0,13.0,56.0,126.0,9.0,-191.0,-195.0,-195.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,-12.0,-24.0,-102.0,-19.0,-116.0,-329560.436369
BG,410290009013,598,176,133,148,141,12,198,109,279,1509,1346,0,0,0,0,0,163,439,55,116,608,142,149,27931,598.0,160.0,145.0,149.0,144.0,188.0,276.0,79.0,55.0,1607.0,1433.0,0.0,0.0,0.0,0.0,0.0,174.0,710.0,49.0,114.0,483.0,117.0,134.0,-191862.4948020014,0.0,-16.0,12.0,1.0,3.0,176.0,78.0,-30.0,-224.0,98.0,87.0,0.0,0.0,0.0,0.0,0.0,11.0,271.0,-6.0,-2.0,-125.0,-25.0,-15.0,-219793.4948020014
BG,410290009022,1242,336,382,134,390,69,164,254,755,3405,2955,0,0,95,130,14,211,580,424,166,1181,416,638,53005,1242.0,310.0,367.0,140.0,425.0,570.0,423.0,184.0,65.0,3164.0,2701.0,0.0,0.0,106.0,132.0,16.0,209.0,1202.0,330.0,139.0,839.0,278.0,376.0,-1148006.210056,0.0,-26.0,-15.0,6.0,35.0,501.0,259.0,-70.0,-690.0,-241.0,-254.0,0.0,0.0,11.0,2.0,2.0,-2.0,622.0,-94.0,-27.0,-342.0,-138.0,-262.0,-1201011.210056
BG,410290010011,763,193,240,141,189,80,220,125,338,1985,1689,0,155,29,105,4,3,396,172,153,816,207,241,25938,763.0,185.0,240.0,160.0,178.0,293.0,312.0,124.0,34.0,1935.0,1580.0,0.0,195.0,30.0,108.0,16.0,6.0,759.0,133.0,156.0,620.0,131.0,136.0,22736.021415998926,0.0,-8.0,0.0,19.0,-11.0,213.0,92.0,-1.0,-304.0,-50.0,-109.0,0.0,40.0,1.0,3.0,12.0,3.0,363.0,-39.0,3.0,-196.0,-76.0,-105.0,-3201.9785840010736
BG,410290010012,614,295,198,104,17,105,261,132,116,1124,1065,0,14,11,0,34,0,95,0,288,85,98,558,25909,614.0,285.0,189.0,119.0,21.0,381.0,220.0,13.0,0.0,1108.0,1024.0,0.0,10.0,16.0,0.0,58.0,0.0,278.0,0.0,142.0,203.0,102.0,383.0,25471.96652499982,0.0,-10.0,-9.0,15.0,4.0,276.0,-41.0,-119.0,-116.0,-16.0,-41.0,0.0,-4.0,5.0,0.0,24.0,0.0,183.0,0.0,-146.0,118.0,4.0,-175.0,-437.03347500017844
