geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_21_control,hh_inc_21_42_control,hh_inc_42_85_control,hh_inc_85_plus_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,avg_percap_inc_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_21_result,hh_inc_21_42_result,hh_inc_42_85_result,hh_inc_85_plus_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,avg_percap_inc_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_21_diff,hh_inc_21_42_diff,hh_inc_42_85_diff,hh_inc_85_plus_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff,avg_percap_inc_diff
BG,410290001001,389,119,103,63,104,119,128,111,31,1219,940,11,3,0,0,48,217,293,61,277,361,94,133,16107,389.0,104.0,99.0,67.0,119.0,197.0,138.0,50.0,4.0,985.0,745.0,10.0,5.0,0.0,0.0,42.0,183.0,329.0,54.0,197.0,264.0,61.0,80.0,-533726.8217350004,0.0,-15.0,-4.0,4.0,15.0,78.0,10.0,-61.0,-27.0,-234.0,-195.0,-1.0,2.0,0.0,0.0,-6.0,-34.0,36.0,-7.0,-80.0,-97.0,-33.0,-53.0,-549833.8217350004
BG,410290001002,406,262,93,29,22,206,124,65,11,747,616,0,14,2,34,3,78,74,53,183,229,122,86,15589,406.0,250.0,95.0,33.0,28.0,310.0,73.0,22.0,1.0,658.0,539.0,0.0,15.0,2.0,32.0,4.0,66.0,157.0,35.0,147.0,169.0,89.0,61.0,-171760.82687000005,0.0,-12.0,2.0,4.0,6.0,104.0,-51.0,-43.0,-10.0,-89.0,-77.0,0.0,1.0,0.0,-2.0,1.0,-12.0,83.0,-18.0,-36.0,-60.0,-33.0,-25.0,-187349.82687000005
BG,410290002011,386,131,100,34,121,86,106,171,23,1137,922,16,10,27,0,0,162,219,87,290,273,132,136,17751,386.0,118.0,91.0,36.0,141.0,206.0,148.0,30.0,2.0,982.0,814.0,16.0,20.0,30.0,0.0,0.0,102.0,275.0,59.0,217.0,233.0,115.0,83.0,-176779.73109200003,0.0,-13.0,-9.0,2.0,20.0,120.0,42.0,-141.0,-21.0,-155.0,-108.0,0.0,10.0,3.0,0.0,0.0,-60.0,56.0,-28.0,-73.0,-40.0,-17.0,-53.0,-194530.73109200003
BG,410290002012,573,177,170,27,199,210,160,117,86,1278,934,0,310,0,0,0,34,166,151,233,379,178,171,18988,573.0,188.0,170.0,27.0,188.0,345.0,128.0,91.0,9.0,1502.0,1126.0,0.0,330.0,0.0,0.0,0.0,46.0,456.0,124.0,243.0,356.0,173.0,150.0,-471541.0189169999,0.0,11.0,0.0,0.0,-11.0,135.0,-32.0,-26.0,-77.0,224.0,192.0,0.0,20.0,0.0,0.0,0.0,12.0,290.0,-27.0,10.0,-23.0,-5.0,-21.0,-490529.0189169999
BG,410290002013,479,255,92,30,102,208,203,22,46,1387,1314,10,24,0,7,0,32,295,14,307,432,244,95,11368,479.0,230.0,93.0,32.0,124.0,296.0,155.0,20.0,8.0,1032.0,902.0,9.0,40.0,0.0,8.0,0.0,73.0,297.0,24.0,223.0,287.0,145.0,56.0,-223267.14049100038,0.0,-25.0,1.0,2.0,22.0,88.0,-48.0,-2.0,-38.0,-355.0,-412.0,-1.0,16.0,0.0,1.0,0.0,41.0,2.0,10.0,-84.0,-145.0,-99.0,-39.0,-234635.14049100038
BG,410290002021,653,138,152,58,305,82,132,283,156,2111,1908,0,40,0,0,150,13,577,294,326,507,153,254,19214,653.0,124.0,147.0,60.0,322.0,244.0,198.0,191.0,20.0,1926.0,1694.0,0.0,50.0,0.0,0.0,162.0,20.0,772.0,219.0,301.0,395.0,96.0,143.0,-270477.182628999,0.0,-14.0,-5.0,2.0,17.0,162.0,66.0,-92.0,-136.0,-185.0,-214.0,0.0,10.0,0.0,0.0,12.0,7.0,195.0,-75.0,-25.0,-112.0,-57.0,-111.0,-289691.182628999
BG,410290002022,355,122,166,27,40,88,56,184,27,704,572,0,38,0,0,94,0,68,64,221,254,53,44,28711,355.0,123.0,159.0,28.0,45.0,215.0,86.0,52.0,2.0,725.0,586.0,0.0,45.0,0.0,0.0,94.0,0.0,229.0,41.0,157.0,186.0,58.0,54.0,69569.64205899969,0.0,1.0,-7.0,1.0,5.0,127.0,30.0,-132.0,-25.0,21.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,161.0,-23.0,-64.0,-68.0,5.0,10.0,40858.642058999685
BG,410290002023,326,120,92,24,90,83,197,35,11,827,487,8,34,0,0,160,138,208,39,146,320,36,78,13142,326.0,111.0,91.0,24.0,100.0,124.0,173.0,25.0,4.0,783.0,459.0,8.0,35.0,0.0,0.0,152.0,129.0,278.0,59.0,113.0,254.0,24.0,55.0,-82113.17088699981,0.0,-9.0,-1.0,0.0,10.0,41.0,-24.0,-10.0,-7.0,-44.0,-28.0,0.0,1.0,0.0,0.0,-8.0,-9.0,70.0,20.0,-33.0,-66.0,-12.0,-23.0,-95255.17088699981
BG,410290002031,499,147,204,130,18,118,210,99,72,1130,929,51,32,0,0,43,75,201,96,146,314,90,283,21692,499.0,140.0,201.0,136.0,22.0,278.0,183.0,33.0,5.0,1052.0,853.0,53.0,35.0,0.0,0.0,44.0,67.0,313.0,71.0,115.0,298.0,67.0,188.0,-279079.3158190001,0.0,-7.0,-3.0,6.0,4.0,160.0,-27.0,-66.0,-67.0,-78.0,-76.0,2.0,3.0,0.0,0.0,1.0,-8.0,112.0,-25.0,-31.0,-16.0,-23.0,-95.0,-300771.3158190001
BG,410290002032,575,95,247,103,130,39,104,164,268,1434,1351,9,8,0,0,43,23,120,72,317,634,68,223,31995,575.0,95.0,243.0,104.0,133.0,279.0,214.0,72.0,10.0,1429.0,1318.0,10.0,10.0,0.0,0.0,50.0,41.0,435.0,64.0,293.0,425.0,52.0,160.0,-123005.67579399992,0.0,0.0,-4.0,1.0,3.0,240.0,110.0,-92.0,-258.0,-5.0,-33.0,1.0,2.0,0.0,0.0,7.0,18.0,315.0,-8.0,-24.0,-209.0,-16.0,-63.0,-155000.67579399992
