geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_21_control,hh_inc_21_42_control,hh_inc_42_85_control,hh_inc_85_plus_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,hh_by_type_sf_control,hh_by_type_mf_control,hh_by_type_mh_control,hh_by_type_dup_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,avg_percap_inc_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_21_result,hh_inc_21_42_result,hh_inc_42_85_result,hh_inc_85_plus_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,hh_by_type_sf_result,hh_by_type_mf_result,hh_by_type_mh_result,hh_by_type_dup_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,avg_percap_inc_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_21_diff,hh_inc_21_42_diff,hh_inc_42_85_diff,hh_inc_85_plus_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff,hh_by_type_sf_diff,hh_by_type_mf_diff,hh_by_type_mh_diff,hh_by_type_dup_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff,avg_percap_inc_diff
PUMA,901,35241,9663,12854,4969,7755,4865,9029,8410,12937,27976,30688,20160,4510,32007,9770,4152,1675,88233,77881,558,1521,1476,536,1903,4358,16746,5456,11887,26628,10637,16879,1643180,35242.0,9260.0,12607.0,5147.0,8228.0,16010.0,13338.0,4764.0,1130.0,13554.0,12872.0,7490.0,1326.0,0.0,0.0,0.0,0.0,86112.0,75019.0,592.0,1740.0,1730.0,560.0,2020.0,4451.0,31114.0,4477.0,10147.0,21170.0,7960.0,11244.0,-21276859.16630202,1.0,-403.0,-247.0,178.0,473.0,11145.0,4309.0,-3646.0,-11807.0,-14422.0,-17816.0,-12670.0,-3184.0,-32007.0,-9770.0,-4152.0,-1675.0,-2121.0,-2862.0,34.0,219.0,254.0,24.0,117.0,93.0,14368.0,-979.0,-1740.0,-5458.0,-2677.0,-5635.0,-22920039.16630202
PUMA,902,25736,7574,10250,3123,4789,3980,6251,5913,9592,24068,19300,13802,2765,24775,4400,5059,1230,61868,56914,515,372,1016,126,846,2079,9390,3561,7410,17175,9491,14841,1787592,25746.0,7401.0,10119.0,3162.0,5064.0,12971.0,8982.0,3054.0,739.0,12055.0,8032.0,4880.0,779.0,0.0,0.0,0.0,0.0,63393.0,58429.0,533.0,467.0,979.0,103.0,818.0,2064.0,20632.0,2614.0,6582.0,14838.0,8272.0,10255.0,-6254530.618024018,10.0,-173.0,-131.0,39.0,275.0,8991.0,2731.0,-2859.0,-8853.0,-12013.0,-11268.0,-8922.0,-1986.0,-24775.0,-4400.0,-5059.0,-1230.0,1525.0,1515.0,18.0,95.0,-37.0,-23.0,-28.0,-15.0,11242.0,-947.0,-828.0,-2337.0,-1219.0,-4586.0,-8042122.618024018
