geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_21_control,hh_inc_21_42_control,hh_inc_42_85_control,hh_inc_85_plus_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,hh_by_type_sf_control,hh_by_type_mf_control,hh_by_type_mh_control,hh_by_type_dup_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,avg_percap_inc_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_21_result,hh_inc_21_42_result,hh_inc_42_85_result,hh_inc_85_plus_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,hh_by_type_sf_result,hh_by_type_mf_result,hh_by_type_mh_result,hh_by_type_dup_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,avg_percap_inc_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_21_diff,hh_inc_21_42_diff,hh_inc_42_85_diff,hh_inc_85_plus_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff,hh_by_type_sf_diff,hh_by_type_mf_diff,hh_by_type_mh_diff,hh_by_type_dup_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff,avg_percap_inc_diff
TRACT,41029000100,795,381,196,92,126,325,252,176,42,678,534,303,32,302,457,112,32,1966,1556,11,17,2,34,51,295,367,114,460,590,216,219,31696,795.0,354.0,194.0,100.0,147.0,506.0,212.0,72.0,5.0,375.0,265.0,143.0,12.0,0.0,0.0,0.0,0.0,1643.0,1284.0,10.0,20.0,2.0,32.0,46.0,249.0,486.0,89.0,344.0,433.0,150.0,141.0,-683212.6582050001,0.0,-27.0,-2.0,8.0,21.0,181.0,-40.0,-104.0,-37.0,-303.0,-269.0,-160.0,-20.0,-302.0,-457.0,-112.0,-32.0,-323.0,-272.0,-1.0,3.0,0.0,-2.0,-5.0,-46.0,119.0,-25.0,-116.0,-157.0,-66.0,-78.0,-714908.6582050001
TRACT,41029000201,1438,563,362,91,422,504,469,310,155,752,1384,348,178,849,481,0,171,3802,3170,26,344,27,7,0,228,680,252,830,1084,554,402,48107,1438.0,536.0,355.0,95.0,452.0,847.0,432.0,140.0,19.0,448.0,738.0,172.0,80.0,0.0,0.0,0.0,0.0,3512.0,2842.0,25.0,385.0,30.0,8.0,0.0,222.0,1026.0,207.0,683.0,875.0,433.0,288.0,-842135.9670659993,0.0,-27.0,-7.0,4.0,30.0,343.0,-37.0,-170.0,-136.0,-304.0,-646.0,-176.0,-98.0,-849.0,-481.0,0.0,-171.0,-290.0,-328.0,-1.0,41.0,3.0,1.0,0.0,-6.0,346.0,-45.0,-147.0,-209.0,-121.0,-114.0,-890242.9670659993
TRACT,41029000202,1334,380,410,109,435,253,385,502,194,436,1278,657,58,1040,183,10,322,3642,2967,8,112,0,0,404,151,853,397,693,1081,242,376,61067,1334.0,358.0,398.0,112.0,466.0,582.0,460.0,267.0,25.0,274.0,702.0,333.0,25.0,0.0,0.0,0.0,0.0,3431.0,2734.0,8.0,130.0,0.0,0.0,410.0,149.0,1281.0,317.0,568.0,835.0,179.0,251.0,-393286.6383960005,0.0,-22.0,-12.0,3.0,31.0,329.0,75.0,-235.0,-169.0,-162.0,-576.0,-324.0,-33.0,-1040.0,-183.0,-10.0,-322.0,-211.0,-233.0,0.0,18.0,0.0,0.0,6.0,-2.0,428.0,-80.0,-125.0,-246.0,-63.0,-125.0,-454353.6383960005
TRACT,41029000203,1608,384,669,290,265,312,458,461,377,750,1428,585,147,1469,45,4,161,3734,3272,77,48,6,0,91,240,626,185,829,1248,282,564,71841,1608.0,373.0,659.0,297.0,279.0,849.0,536.0,198.0,25.0,480.0,783.0,291.0,54.0,0.0,0.0,0.0,0.0,3720.0,3226.0,83.0,55.0,8.0,0.0,100.0,248.0,1168.0,159.0,738.0,1042.0,220.0,393.0,-743877.9261520001,0.0,-11.0,-10.0,7.0,14.0,537.0,78.0,-263.0,-352.0,-270.0,-645.0,-294.0,-93.0,-1469.0,-45.0,-4.0,-161.0,-14.0,-46.0,6.0,7.0,2.0,0.0,9.0,8.0,542.0,-26.0,-91.0,-206.0,-62.0,-171.0,-815718.9261520001
TRACT,41029000300,1649,632,482,185,350,173,533,640,303,1334,2546,1128,110,1414,672,612,66,3971,3093,0,464,138,0,20,256,927,130,827,1359,325,403,46823,1649.0,599.0,474.0,193.0,383.0,593.0,733.0,302.0,21.0,502.0,808.0,318.0,21.0,0.0,0.0,0.0,0.0,3866.0,2912.0,0.0,520.0,156.0,0.0,20.0,258.0,1626.0,96.0,661.0,1016.0,221.0,246.0,-1867209.6112260027,0.0,-33.0,-8.0,8.0,33.0,420.0,200.0,-338.0,-282.0,-832.0,-1738.0,-810.0,-89.0,-1414.0,-672.0,-612.0,-66.0,-105.0,-181.0,0.0,56.0,18.0,0.0,0.0,2.0,699.0,-34.0,-166.0,-343.0,-104.0,-157.0,-1914032.6112260027
TRACT,41029000403,985,123,529,71,262,41,138,201,605,1196,978,863,106,1603,181,0,57,2416,2055,60,29,12,0,69,191,498,43,84,744,486,561,77846,985.0,119.0,519.0,73.0,274.0,345.0,422.0,184.0,34.0,434.0,295.0,229.0,27.0,0.0,0.0,0.0,0.0,2486.0,2078.0,68.0,35.0,16.0,0.0,80.0,209.0,1074.0,33.0,76.0,595.0,353.0,355.0,-762449.0470290012,0.0,-4.0,-10.0,2.0,12.0,304.0,284.0,-17.0,-571.0,-762.0,-683.0,-634.0,-79.0,-1603.0,-181.0,0.0,-57.0,70.0,23.0,8.0,6.0,4.0,0.0,11.0,18.0,576.0,-10.0,-8.0,-149.0,-133.0,-206.0,-840295.0470290012
TRACT,41029000404,1994,364,651,315,664,128,262,405,1199,1134,1296,1204,143,1998,0,42,0,5828,5546,55,0,67,108,18,34,1547,441,282,1718,692,1148,65417,1994.0,354.0,638.0,319.0,683.0,671.0,693.0,468.0,162.0,675.0,676.0,569.0,74.0,0.0,0.0,0.0,0.0,5919.0,5596.0,62.0,0.0,82.0,124.0,18.0,37.0,2539.0,378.0,250.0,1399.0,538.0,815.0,-366376.7410310004,0.0,-10.0,-13.0,4.0,19.0,543.0,431.0,63.0,-1037.0,-459.0,-620.0,-635.0,-69.0,-1998.0,0.0,-42.0,0.0,91.0,50.0,7.0,0.0,15.0,16.0,0.0,3.0,992.0,-63.0,-32.0,-319.0,-154.0,-333.0,-431793.7410310004
TRACT,41029000405,1746,709,490,199,348,422,427,294,603,1208,1208,445,349,910,830,0,31,4303,3704,76,5,50,72,53,343,745,208,806,1307,485,752,48426,1746.0,674.0,483.0,209.0,380.0,1056.0,499.0,141.0,50.0,745.0,646.0,219.0,136.0,0.0,0.0,0.0,0.0,3953.0,3364.0,75.0,5.0,56.0,72.0,54.0,327.0,1227.0,170.0,662.0,1030.0,360.0,504.0,-2018044.4286040016,0.0,-35.0,-7.0,10.0,32.0,634.0,72.0,-153.0,-553.0,-463.0,-562.0,-226.0,-213.0,-910.0,-830.0,0.0,-31.0,-350.0,-340.0,-1.0,0.0,6.0,0.0,1.0,-16.0,482.0,-38.0,-144.0,-277.0,-125.0,-248.0,-2066470.4286040016
TRACT,41029000406,1543,691,393,264,195,339,391,338,475,1594,1194,1064,124,1136,1042,33,51,3148,2883,33,0,71,0,74,87,599,152,593,838,303,663,50922,1543.0,671.0,389.0,274.0,209.0,911.0,453.0,147.0,32.0,701.0,451.0,359.0,32.0,0.0,0.0,0.0,0.0,3107.0,2819.0,36.0,0.0,82.0,0.0,82.0,88.0,1052.0,126.0,525.0,702.0,237.0,465.0,-1249765.390812002,0.0,-20.0,-4.0,10.0,14.0,572.0,62.0,-191.0,-443.0,-893.0,-743.0,-705.0,-92.0,-1136.0,-1042.0,-33.0,-51.0,-41.0,-64.0,3.0,0.0,11.0,0.0,8.0,1.0,453.0,-26.0,-68.0,-136.0,-66.0,-198.0,-1300687.390812002
TRACT,41029000501,1387,534,451,200,202,201,473,279,434,810,1212,524,40,1047,330,0,125,3027,2754,0,36,7,29,52,149,520,228,429,950,402,498,52296,1387.0,514.0,445.0,209.0,219.0,656.0,594.0,118.0,19.0,493.0,635.0,243.0,16.0,0.0,0.0,0.0,0.0,2934.0,2640.0,0.0,45.0,8.0,32.0,56.0,153.0,1002.0,187.0,374.0,752.0,295.0,324.0,-665896.7956700004,0.0,-20.0,-6.0,9.0,17.0,455.0,121.0,-161.0,-415.0,-317.0,-577.0,-281.0,-24.0,-1047.0,-330.0,0.0,-125.0,-93.0,-114.0,0.0,9.0,1.0,3.0,4.0,4.0,482.0,-41.0,-55.0,-198.0,-107.0,-174.0,-718192.7956700004
