PUMA,TRACT,BG,hh_id
901,41029000100,410290001001,550
901,41029000100,410290001001,550
901,41029000100,410290001001,550
901,41029000100,410290001001,550
901,41029000100,410290001001,2443
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,5626
901,41029000100,410290001001,9322
901,41029000100,410290001001,9322
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,9524
901,41029000100,410290001001,11084
901,41029000100,410290001001,12425
901,41029000100,410290001001,12551
901,41029000100,410290001001,13590
901,41029000100,410290001001,13590
901,41029000100,410290001001,13590
901,41029000100,410290001001,13590
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15455
901,41029000100,410290001001,15815
