SERIALNO,HHNUM,PUMA,REGION,SPORDER,PWGTP,RAC1P,AGEP,PINCADJ,WORKER,SPORDER,PWGTP,AGEP,COW,ENG,RAC1P
2013000000048,1,00800,1,1,47,1,62,31009.5532,1,1,47,62,1,b,1
2013000000048,1,00800,1,2,43,1,64,11681.681,0,2,43,64,b,b,1
2013000000218,2,01319,1,1,22,1,63,106197.1,1,1,22,63,1,b,1
2013000000218,2,01319,1,2,22,1,64,3292.1101,0,2,22,64,b,b,1
2013000000279,3,00300,1,1,57,1,51,0,0,1,57,51,1,b,1
2013000000279,3,00300,1,2,69,1,56,32921.101,1,2,69,56,1,b,1
2013000000509,4,01105,1,1,22,1,59,11469.2868,1,1,22,59,1,b,1
2013000000531,5,01314,1,1,140,1,62,16672.9447,0,1,140,62,b,b,1
2013000000531,5,01314,1,2,116,1,79,219190.8144,1,2,116,79,7,b,1
2013000000612,6,01321,1,1,11,1,71,54903.9007,0,1,11,71,1,b,1
2013000000612,6,01321,1,2,11,1,68,9345.3448,0,2,11,68,b,b,1
2013000000812,7,00500,1,1,10,1,61,18053.507,1,1,10,61,2,b,1
2013000000877,8,00500,1,1,45,1,31,18372.0983,0,1,45,31,1,b,1
2013000000877,8,00500,1,2,61,1,6,0,0,2,61,6,b,b,1
2013000000877,8,00500,1,3,56,1,3,0,0,3,56,3,b,b,1
2013000000877,8,00500,1,4,57,1,27,15377.34008,1,4,57,27,6,b,1
2013000000877,8,00500,1,5,61,1,9,0,0,5,61,9,b,b,1
2013000000947,9,00100,1,1,4,1,37,17628.7186,1,1,4,37,7,b,1
2013000000947,9,00100,1,2,3,1,33,27611.246,1,2,3,33,1,b,1
2013000000947,9,00100,1,3,4,1,6,0,0,3,4,6,b,b,1
2013000000947,9,00100,1,4,4,1,13,0,0,4,4,13,b,b,1
2013000001039,10,00600,1,1,23,1,67,37168.985,0,1,23,67,1,b,1
2013000001353,11,00902,1,1,8,1,59,9345.3448,0,1,8,59,b,b,1
2013000001373,12,00902,1,1,16,1,86,82302.7525,0,1,16,86,b,b,1
2013000001373,12,00902,1,2,14,1,91,31859.13,0,2,14,91,b,b,1
2013000001430,13,01323,1,1,13,1,64,106197.1,1,1,13,64,2,b,1
2013000001430,13,01323,1,2,13,1,63,53098.55,1,2,13,63,1,b,1
2013000001609,14,00600,1,1,16,6,44,77523.883,1,1,16,44,5,b,6
2013000001733,15,01320,1,1,23,6,67,8920.5564,0,1,23,67,6,2,6
2013000001733,15,01320,1,2,18,6,67,5097.4608,0,2,18,67,6,2,6
2013000001858,16,00705,1,1,15,9,70,78235.40357,0,1,15,70,b,b,9
2013000001858,16,00705,1,2,13,1,74,11681.681,0,2,13,74,1,b,1
2013000001947,17,01301,1,1,13,1,33,58461.50355,1,1,13,33,1,b,1
2013000001947,17,01301,1,2,13,1,31,637.1826,0,2,13,31,1,b,1
2013000001962,18,00300,1,1,18,1,47,38230.956,1,1,18,47,4,b,1
2013000001962,18,00300,1,2,17,1,41,44602.782,1,2,17,41,3,b,1
2013000001962,18,00300,1,3,15,1,16,0,0,3,15,16,b,b,1
2013000001962,18,00300,1,4,12,1,11,0,0,4,12,11,b,b,1
2013000002077,19,01105,1,1,25,1,36,52036.579,1,1,25,36,4,b,1
2013000002077,19,01105,1,2,23,1,37,53098.55,1,2,23,37,1,b,1
2013000002077,19,01105,1,3,20,1,4,0,0,3,20,4,b,b,1
2013000002077,19,01105,1,4,30,1,2,0,0,4,30,2,b,b,1
2013000002284,20,00200,1,1,13,1,82,49700.2428,0,1,13,82,b,b,1
2013000002284,20,00200,1,2,11,1,77,13380.8346,0,2,11,77,b,b,1
2013000002325,21,01305,1,1,13,1,55,115754.839,1,1,13,55,5,b,1
2013000002325,21,01305,1,2,13,1,50,53098.55,1,2,13,50,1,b,1
2013000002325,21,01305,1,3,13,6,13,0,0,3,13,13,b,b,6
2013000002325,21,01305,1,4,12,6,12,0,0,4,12,12,b,b,6
2013000002325,21,01305,1,5,14,1,15,10832.1042,0,5,14,15,b,b,1
2013000002433,22,01314,1,1,14,1,63,0,0,1,14,63,1,1,1
2013000002433,22,01314,1,2,15,1,64,100887.245,1,2,15,64,1,b,1
2013000002573,23,00100,1,1,14,1,74,41841.6574,0,1,14,74,b,b,1
2013000002573,23,00100,1,2,10,1,75,10301.1187,0,2,10,75,b,b,1
2013000002639,24,01305,1,1,15,1,63,10619.71,0,1,15,63,1,b,1
2013000002639,24,01305,1,2,15,1,60,129560.462,1,2,15,60,1,b,1
2013000002673,25,00200,1,1,19,1,35,26549.275,0,1,19,35,3,b,1
2013000002673,25,00200,1,2,16,1,40,849.5768,0,2,16,40,1,b,1
2013000002708,26,00901,1,1,10,1,54,9876.3303,0,1,10,54,b,b,1
2013000002708,26,00901,1,2,14,1,55,116816.81,1,2,14,55,1,b,1
2013000002708,26,00901,1,3,11,1,9,0,0,3,11,9,b,b,1
2013000002708,26,00901,1,4,16,1,7,0,0,4,16,7,b,b,1
2013000002708,26,00901,1,5,11,1,13,0,0,5,11,13,b,b,1
2013000002837,27,01323,1,1,13,1,45,35045.043,1,1,13,45,2,b,1
2013000002837,27,01323,1,2,10,1,46,63718.26,1,2,10,46,4,b,1
2013000002837,27,01323,1,3,12,1,14,0,0,3,12,14,b,b,1
2013000002837,27,01323,1,4,14,1,11,0,0,4,14,11,b,b,1
2013000002875,28,01321,1,1,14,1,32,16566.7476,1,1,14,32,1,3,1
2013000002875,28,01321,1,2,13,1,7,0,0,2,13,7,b,3,1
2013000002875,28,01321,1,3,16,1,4,0,0,3,16,4,b,b,1
2013000002875,28,01321,1,4,16,1,1,0,0,4,16,1,b,b,1
2013000002875,28,01321,1,5,25,1,11,0,0,5,25,11,b,1,1
2013000002875,28,01321,1,6,19,1,33,18053.507,1,6,19,33,1,4,1
2013000003026,29,00500,1,1,9,1,58,18754.40786,1,1,9,58,2,b,1
2013000003026,29,00500,1,2,10,1,63,23788.1504,0,2,10,63,7,b,1
2013000003050,30,01316,1,1,15,1,40,11363.0897,1,1,15,40,3,b,1
2013000003050,30,01316,1,2,15,1,39,80709.796,1,2,15,39,1,b,1
2013000003050,30,01316,1,3,14,1,13,0,0,3,14,13,b,b,1
2013000003050,30,01316,1,4,14,1,11,0,0,4,14,11,b,b,1
2013000003130,31,00901,1,1,17,1,63,25487.304,0,1,17,63,3,b,1
2013000003130,31,00901,1,2,13,1,61,25646.59965,1,2,13,61,1,b,1
2013000003236,32,01324,1,1,22,1,53,67966.144,1,1,22,53,4,b,1
2013000003236,32,01324,1,2,21,1,58,38761.9415,1,2,21,58,3,b,1
2013000003247,33,01000,1,1,12,1,71,37168.985,0,1,12,71,b,b,1
2013000003394,34,01103,1,1,14,1,45,33983.072,0,1,14,45,b,b,1
2013000003394,34,01103,1,2,15,1,36,37168.985,1,2,15,36,1,b,1
