SERIALNO,HHNUM,PUMA,REGION,SPORDER,PWGTP,RAC1P,AGEP,PINCADJ,WORKER,SPORDER,PWGTP,AGEP,COW,ENG,RAC1P
2013000003410,35,00703,1,1,12,1,21,19115.478,1,1,12,21,1,b,1
2013000003410,35,00703,1,2,11,1,30,24425.333,1,2,11,30,1,b,1
2013000003456,36,00500,1,1,16,1,84,16141.9592,0,1,16,84,6,b,1
2013000003456,36,00500,1,2,19,1,82,12743.652,0,2,19,82,b,b,1
2013000003677,37,00800,1,1,20,1,37,79647.825,1,1,20,37,7,b,1
2013000003677,37,00800,1,2,16,1,37,33983.072,1,2,16,37,1,b,1
2013000003706,38,01303,1,1,14,1,50,0,0,1,14,50,6,b,1
2013000003706,38,01303,1,2,16,1,51,84957.68,1,2,16,51,1,b,1
2013000003706,38,01303,1,3,19,1,25,9557.739,1,3,19,25,1,b,1
2013000003706,38,01303,1,4,14,1,22,13805.623,1,4,14,22,1,b,1
2013000003706,38,01303,1,5,17,1,6,0,0,5,17,6,b,b,1
2013000003706,38,01303,1,6,14,1,4,0,0,6,14,4,b,b,1
2013000003706,38,01303,1,7,15,1,26,31859.13,1,7,15,26,1,b,1
2013000003817,39,01323,1,1,12,1,58,14007.39749,0,1,12,58,1,b,1
2013000003817,39,01323,1,2,15,1,17,6796.6144,0,2,15,17,b,b,1
2013000004000,40,01316,1,1,24,1,32,11681.681,1,1,24,32,1,b,1
2013000004066,41,01105,1,1,8,1,59,25699.6982,1,1,8,59,1,b,1
2013000004109,42,01303,1,1,15,1,35,63718.26,1,1,15,35,3,b,1
2013000004109,42,01303,1,2,15,1,40,21239.42,1,2,15,40,6,b,1
2013000004109,42,01303,1,3,16,1,3,0,0,3,16,3,b,b,1
2013000004109,42,01303,1,4,14,1,1,0,0,4,14,1,b,b,1
2013000004174,43,01301,1,1,19,6,49,46726.724,1,1,19,49,1,1,6
2013000004174,43,01301,1,2,22,6,47,37168.985,1,2,22,47,1,1,6
2013000004174,43,01301,1,3,26,6,12,0,0,3,26,12,b,1,6
2013000004174,43,01301,1,4,31,6,70,40354.898,0,4,31,70,b,3,6
2013000004228,44,01321,1,1,34,1,54,116923.0071,1,1,34,54,1,b,1
2013000004228,44,01321,1,2,32,1,53,13858.72155,1,2,32,53,1,b,1
2013000004228,44,01321,1,3,25,1,18,0,0,3,25,18,b,b,1
2013000004475,45,00200,1,1,3,1,65,28885.6112,0,1,3,65,4,b,1
2013000004475,45,00200,1,2,2,1,77,27080.2605,0,2,2,77,6,b,1
2013000004475,45,00200,1,3,5,1,29,11363.0897,0,3,5,29,1,b,1
2013000004597,46,01305,1,1,15,1,37,58408.405,1,1,15,37,1,b,1
2013000004597,46,01305,1,2,15,1,32,74337.97,1,2,15,32,1,b,1
2013000004757,47,00600,1,1,32,1,51,42478.84,1,1,32,51,1,b,1
2013000004757,47,00600,1,2,25,1,58,42882.38898,1,2,25,58,1,b,1
2013000004986,48,00901,1,1,16,1,48,38230.956,1,1,16,48,1,b,1
2013000004998,49,01305,1,1,21,9,42,33983.072,1,1,21,42,1,b,9
2013000005279,50,00901,1,1,12,1,58,58408.405,1,1,12,58,1,b,1
2013000005279,50,00901,1,2,15,1,64,67966.144,1,2,15,64,4,b,1
2013000005346,51,00200,1,1,13,1,53,13699.4259,0,1,13,53,1,b,1
2013000005386,52,00704,1,1,11,1,67,32921.101,0,1,11,67,b,b,1
2013000005386,52,00704,1,2,13,1,69,26549.275,0,2,13,69,b,b,1
2013000005452,53,01316,1,1,14,6,61,42478.84,1,1,14,61,1,1,6
2013000005452,53,01316,1,2,16,6,36,29735.188,1,2,16,36,1,1,6
2013000005452,53,01316,1,3,11,6,9,0,0,3,11,9,b,1,6
2013000005452,53,01316,1,4,17,6,74,8920.5564,0,4,17,74,b,3,6
2013000005580,54,01302,1,1,13,1,27,10619.71,1,1,13,27,1,b,1
2013000005580,54,01302,1,2,16,1,43,37168.985,1,2,16,43,1,b,1
2013000005675,55,00902,1,1,8,1,24,21239.42,1,1,8,24,2,b,1
2013000005675,55,00902,1,2,12,1,33,22301.391,1,2,12,33,2,b,1
2013000005675,55,00902,1,3,8,1,1,0,0,3,8,1,b,b,1
2013000005962,56,00703,1,1,35,1,34,27611.246,1,1,35,34,1,b,1
2013000005962,56,00703,1,2,39,1,37,0,0,2,39,37,1,b,1
2013000005962,56,00703,1,3,46,1,3,0,0,3,46,3,b,b,1
2013000006046,57,01000,1,1,25,1,67,11363.0897,0,1,25,67,1,b,1
2013000006046,57,01000,1,2,24,1,67,24319.1359,1,2,24,67,1,b,1
2013000006046,57,01000,1,3,48,1,31,11575.4839,0,3,48,31,b,b,1
2013000006052,58,01317,1,1,66,1,51,53098.55,1,1,66,51,6,b,1
2013000006052,58,01317,1,2,64,1,57,33983.072,1,2,64,57,3,b,1
2013000006052,58,01317,1,3,81,1,30,0,0,3,81,30,b,b,1
2013000006052,58,01317,1,4,68,1,16,0,0,4,68,16,b,b,1
2013000006052,58,01317,1,5,60,1,13,0,0,5,60,13,b,b,1
2013000006052,58,01317,1,6,56,1,12,0,0,6,56,12,b,b,1
2013000006052,58,01317,1,7,61,1,9,0,0,7,61,9,b,b,1
2013000006052,58,01317,1,8,61,1,7,0,0,8,61,7,b,b,1
2013000006052,58,01317,1,9,61,1,5,0,0,9,61,5,b,b,1
2013000006052,58,01317,1,10,76,1,38,15292.3824,1,10,76,38,6,b,1
2013000006518,59,00800,1,1,23,1,56,138056.23,1,1,23,56,1,b,1
2013000006609,60,00500,1,1,14,1,73,12637.4549,0,1,14,73,b,b,1
2013000006609,60,00500,1,2,14,1,68,0,0,2,14,68,b,b,1
2013000006693,61,00600,1,1,20,1,74,58408.405,1,1,20,74,2,b,1
2013000006693,61,00600,1,2,46,1,50,23363.362,1,2,46,50,1,b,1
2013000006693,61,00600,1,3,26,1,2,0,0,3,26,2,b,b,1
2013000006898,62,01302,1,1,52,1,35,23894.3475,1,1,52,35,1,3,1
2013000006898,62,01302,1,2,68,1,42,21239.42,1,2,68,42,1,4,1
2013000007086,63,00100,1,1,12,1,60,42478.84,1,1,12,60,2,b,1
2013000007086,63,00100,1,2,11,1,64,36107.014,1,2,11,64,3,b,1
2013000007087,64,00704,1,1,37,1,33,50974.608,1,1,37,33,1,b,1
2013000007087,64,00704,1,2,41,1,12,0,0,2,41,12,b,b,1
2013000007096,65,01323,1,1,12,1,30,38230.956,1,1,12,30,1,b,1
2013000007096,65,01323,1,2,16,1,30,0,0,2,16,30,b,b,1
2013000007096,65,01323,1,3,15,1,8,0,0,3,15,8,b,b,1
2013000007096,65,01323,1,4,16,1,5,0,0,4,16,5,b,b,1
2013000007096,65,01323,1,5,16,1,1,0,0,5,16,1,b,b,1
2013000007096,65,01323,1,6,16,1,0,0,0,6,16,0,b,b,1
2013000007140,66,01319,1,1,7,1,40,106197.1,1,1,7,40,1,b,1
2013000007140,66,01319,1,2,6,1,25,12743.652,1,2,6,25,1,b,1
2013000007164,67,00100,1,1,12,1,77,18053.507,0,1,12,77,b,b,1
2013000007164,67,00100,1,2,16,1,76,7119.453584,0,2,16,76,b,b,1
2013000007196,68,01317,1,1,15,1,32,31859.13,1,1,15,32,1,b,1
2013000007196,68,01317,1,2,12,1,29,28673.217,1,2,12,29,1,b,1
2013000007196,68,01317,1,3,13,1,5,0,0,3,13,5,b,b,1
2013000007196,68,01317,1,4,15,1,4,0,0,4,15,4,b,b,1
2013000007348,69,01314,1,1,13,1,56,12743.652,0,1,13,56,b,b,1
2013000007363,70,01301,1,1,11,1,69,44602.782,0,1,11,69,b,b,1
2013000007363,70,01301,1,2,13,1,68,18903.0838,0,2,13,68,1,b,1
2013000007473,71,00705,1,1,11,1,32,47788.695,1,1,11,32,6,b,1
2013000007473,71,00705,1,2,13,1,28,30797.159,1,2,13,28,1,b,1
2013000007515,72,01321,1,1,34,1,77,26443.0779,0,1,34,77,b,b,1
2013000007777,73,01301,1,1,9,1,61,60532.347,1,1,9,61,5,b,1
2013000007777,73,01301,1,2,6,6,50,116816.81,1,2,6,50,1,b,6
2013000007777,73,01301,1,3,13,9,23,8495.768,1,3,13,23,1,b,9
2013000007777,73,01301,1,4,12,9,16,1592.9565,1,4,12,16,3,1,9
2013000007782,74,01317,1,1,67,1,53,11681.681,0,1,67,53,6,b,1
2013000007782,74,01317,1,2,64,1,17,0,0,2,64,17,b,b,1
2013000007948,75,01318,1,1,48,1,51,95577.39,1,1,48,51,6,b,1
2013000007948,75,01318,1,2,44,1,26,10619.71,1,2,44,26,1,b,1
2013000007948,75,01318,1,3,42,1,17,0,0,3,42,17,b,b,1
2013000007948,75,01318,1,4,42,1,17,0,0,4,42,17,b,b,1
2013000008339,76,01200,1,1,24,1,50,95577.39,1,1,24,50,1,b,1
2013000008339,76,01200,1,2,27,1,54,56284.463,1,2,27,54,2,b,1
2013000008397,77,00300,1,1,6,1,70,8601.9651,0,1,6,70,8,b,1
2013000008397,77,00300,1,2,4,1,63,13487.0317,1,2,4,63,1,b,1
2013000008558,78,01314,1,1,28,1,54,169915.36,1,1,28,54,7,1,1
2013000008558,78,01314,1,2,28,1,54,159295.65,1,2,28,54,7,b,1
2013000008663,79,00300,1,1,4,1,38,8601.9651,1,1,4,38,1,b,1
2013000008663,79,00300,1,2,6,1,17,732.75999,0,2,6,17,8,b,1
2013000008760,80,01324,1,1,20,1,57,76493.77113,1,1,20,57,1,b,1
2013000008760,80,01324,1,2,21,1,55,0,0,2,21,55,b,b,1
2013000008760,80,01324,1,3,33,1,29,15292.3824,1,3,33,29,1,b,1
2013000008817,81,00500,1,1,16,1,74,18159.7041,0,1,16,74,b,b,1
2013000008873,82,01320,1,1,13,1,44,29522.7938,1,1,13,44,1,b,1
2013000008888,83,00100,1,1,3,3,46,33239.6923,1,1,3,46,1,1,3
2013000008888,83,00100,1,2,6,3,21,2867.3217,1,2,6,21,1,b,3
2013000008888,83,00100,1,3,6,3,18,0,0,3,6,18,b,b,3
2013000009064,84,01000,1,1,12,1,71,27611.246,0,1,12,71,b,b,1
2013000009127,85,01320,1,1,19,1,32,5203.6579,0,1,19,32,b,b,1
2013000009198,86,01200,1,1,107,8,46,42478.84,1,1,107,46,1,3,8
2013000009198,86,01200,1,2,34,8,36,21239.42,1,2,34,36,1,3,8
2013000009198,86,01200,1,3,47,8,14,0,0,3,47,14,b,1,8
2013000009198,86,01200,1,4,60,8,11,0,0,4,60,11,b,1,8
2013000009198,86,01200,1,5,64,8,3,0,0,5,64,3,b,b,8
2013000009343,87,00600,1,1,23,1,51,33983.072,1,1,23,51,1,b,1
2013000009377,88,00901,1,1,24,1,88,16672.9447,0,1,24,88,1,b,1
2013000009377,88,00901,1,2,25,1,83,7327.5999,0,2,25,83,b,b,1
2013000009516,89,00901,1,1,13,1,91,28991.8083,0,1,13,91,b,b,1
2013000009534,90,01301,1,1,13,1,33,21239.42,1,1,13,33,2,b,1
2013000009534,90,01301,1,2,15,1,31,63718.26,1,2,15,31,2,b,1
2013000009534,90,01301,1,3,17,1,2,0,0,3,17,2,b,b,1
2013000009534,90,01301,1,4,13,1,2,0,0,4,13,2,b,b,1
2013000009800,91,01301,1,1,41,1,39,28673.217,1,1,41,39,3,b,1
2013000009800,91,01301,1,2,21,3,46,23363.362,1,2,21,46,2,b,3
2013000009800,91,01301,1,3,27,9,15,0,0,3,27,15,b,b,9
2013000009800,91,01301,1,4,43,9,14,0,0,4,43,14,b,b,9
2013000009800,91,01301,1,5,43,9,10,0,0,5,43,10,b,b,9
2013000009800,91,01301,1,6,35,9,8,0,0,6,35,8,b,b,9
2013000009910,92,01105,1,1,5,1,83,20496.0403,0,1,5,83,b,b,1
2013000010012,93,01302,1,1,6,1,52,42478.84,1,1,6,52,1,b,1
2013000010012,93,01302,1,2,7,1,50,37168.985,1,2,7,50,1,b,1
2013000010137,94,01000,1,1,14,1,62,42478.84,1,1,14,62,6,b,1
2013000010137,94,01000,1,2,12,1,36,2123.942,1,2,12,36,1,b,1
2013000010152,95,00500,1,1,36,1,21,44602.782,1,1,36,21,1,1,1
2013000010152,95,00500,1,2,26,1,26,27611.246,1,2,26,26,3,b,1
2013000010152,95,00500,1,3,25,1,25,35045.043,0,3,25,25,1,b,1
2013000010225,96,00800,1,1,24,1,68,9345.3448,0,1,24,68,b,1,1
2013000010225,96,00800,1,2,46,1,47,21027.0258,1,2,46,47,1,1,1
2013000010250,97,00705,1,1,17,1,58,13699.4259,1,1,17,58,2,b,1
2013000010336,98,01320,1,1,10,1,50,57346.434,1,1,10,50,1,b,1
2013000010336,98,01320,1,2,11,1,45,15929.565,1,2,11,45,1,b,1
2013000010336,98,01320,1,3,11,1,16,0,0,3,11,16,b,b,1
2013000010336,98,01320,1,4,9,1,17,0,0,4,9,17,b,b,1
2013000010336,98,01320,1,5,11,1,15,0,0,5,11,15,b,b,1
2013000010383,99,01302,1,1,19,1,68,12531.2578,0,1,19,68,b,b,1
2013000010413,100,00703,1,1,27,1,43,3557.60285,1,1,27,43,3,b,1
2013000010413,100,00703,1,2,26,1,44,33983.072,1,2,26,44,1,b,1
2013000010413,100,00703,1,3,41,1,15,1274.3652,0,3,41,15,b,b,1
2013000010413,100,00703,1,4,26,1,13,0,0,4,26,13,b,b,1
2013000010413,100,00703,1,5,26,1,8,0,0,5,26,8,b,b,1
2013000010462,101,00500,1,1,14,1,71,21027.0258,1,1,14,71,1,b,1
2013000010469,102,00800,1,1,17,9,68,50656.0167,0,1,17,68,b,b,9
2013000010626,103,00500,1,1,40,1,48,29098.0054,1,1,40,48,1,b,1
2013000010626,103,00500,1,2,23,1,18,2123.942,0,2,23,18,2,b,1
2013000010626,103,00500,1,3,19,1,16,0,0,3,19,16,b,b,1
2013000010634,104,00600,1,1,4,1,75,18053.507,0,1,4,75,b,b,1
2013000010783,105,01318,1,1,12,1,41,104073.158,1,1,12,41,1,b,1
2013000010783,105,01318,1,2,12,1,44,65842.202,1,2,12,44,1,b,1
2013000010783,105,01318,1,3,11,1,13,0,0,3,11,13,b,b,1
2013000010907,106,01323,1,1,18,1,43,0,0,1,18,43,1,b,1
2013000010907,106,01323,1,2,16,1,45,74337.97,1,2,16,45,5,b,1
2013000010907,106,01323,1,3,18,1,18,0,0,3,18,18,9,b,1
2013000010907,106,01323,1,4,18,1,17,0,0,4,18,17,b,b,1
2013000010907,106,01323,1,5,17,1,14,0,0,5,17,14,b,b,1
2013000011055,107,01317,1,1,13,1,41,0,0,1,13,41,b,b,1
2013000011055,107,01317,1,2,20,9,6,0,0,2,20,6,b,b,9
2013000011055,107,01317,1,3,18,9,3,0,0,3,18,3,b,b,9
2013000011055,107,01317,1,4,17,9,40,72214.028,1,4,17,40,1,b,9
2013000011390,108,01320,1,1,21,1,47,7009.0086,0,1,21,47,b,b,1
2013000011390,108,01320,1,2,17,1,18,849.5768,1,2,17,18,1,b,1
2013000011447,109,01000,1,1,5,1,61,14549.0027,0,1,5,61,4,b,1
2013000011447,109,01000,1,2,5,1,67,11575.4839,1,2,5,67,6,b,1
2013000011476,110,00100,1,1,40,1,31,74337.97,1,1,40,31,1,b,1
2013000011476,110,00100,1,2,20,1,31,0,0,2,20,31,b,b,1
2013000011476,110,00100,1,3,25,1,7,0,0,3,25,7,b,b,1
2013000011476,110,00100,1,4,20,1,5,0,0,4,20,5,b,b,1
2013000011476,110,00100,1,5,19,1,3,0,0,5,19,3,b,b,1
2013000011476,110,00100,1,6,19,1,1,0,0,6,19,1,b,b,1
2013000011510,111,00800,1,1,12,1,66,25487.304,0,1,12,66,b,b,1
2013000011539,112,01000,1,1,25,1,54,38230.956,1,1,25,54,6,b,1
2013000011539,112,01000,1,2,28,1,54,0,0,2,28,54,7,b,1
2013000011539,112,01000,1,3,26,1,21,0,0,3,26,21,1,b,1
2013000011539,112,01000,1,4,26,1,20,0,0,4,26,20,1,b,1
2013000011539,112,01000,1,5,10,1,19,0,0,5,10,19,1,b,1
2013000011539,112,01000,1,6,16,1,16,0,0,6,16,16,6,b,1
2013000011613,113,01314,1,1,11,1,76,73275.999,1,1,11,76,1,b,1
2013000011779,114,00901,1,1,15,1,58,50974.608,1,1,15,58,1,b,1
2013000011788,115,01314,1,1,7,1,65,802850.076,1,1,7,65,1,b,1
2013000011788,115,01314,1,2,8,1,64,236819.533,0,2,8,64,6,b,1
2013000011808,116,01316,1,1,17,1,75,56815.4485,0,1,17,75,b,b,1
2013000011808,116,01316,1,2,18,1,74,6584.2202,0,2,18,74,b,b,1
2013000011808,116,01316,1,3,26,1,53,3079.7159,1,3,26,53,1,b,1
2013000011882,117,00901,1,1,10,1,48,42478.84,1,1,10,48,1,b,1
2013000011964,118,01301,1,1,9,1,42,104073.158,1,1,9,42,1,b,1
2013000011964,118,01301,1,2,9,1,43,106728.0855,1,2,9,43,1,b,1
2013000011964,118,01301,1,3,9,1,10,0,0,3,9,10,b,b,1
2013000011964,118,01301,1,4,8,1,5,0,0,4,8,5,b,b,1
2013000011972,119,01319,1,1,12,1,90,125312.578,0,1,12,90,b,b,1
2013000011972,119,01319,1,2,13,1,86,6371.826,0,2,13,86,b,b,1
2013000012157,120,00500,1,1,9,1,51,28673.217,1,1,9,51,1,b,1
2013000012157,120,00500,1,2,11,1,57,7433.797,1,2,11,57,1,b,1
2013000012294,121,00400,1,1,28,1,34,54160.521,1,1,28,34,3,b,1
2013000012341,122,00300,1,1,9,1,55,26124.4866,1,1,9,55,3,b,1
2013000012341,122,00300,1,2,7,1,57,0,0,2,7,57,b,b,1
2013000012341,122,00300,1,3,14,1,27,3185.913,0,3,14,27,1,b,1
2013000012397,123,00200,1,1,14,1,65,6584.2202,0,1,14,65,b,b,1
2013000012397,123,00200,1,2,13,1,35,36107.014,0,2,13,35,1,b,1
2013000012397,123,00200,1,3,17,1,8,0,0,3,17,8,b,b,1
2013000012397,123,00200,1,4,17,1,6,0,0,4,17,6,b,b,1
2013000012397,123,00200,1,5,10,1,32,6371.826,1,5,10,32,1,b,1
2013000012427,124,00500,1,1,16,1,62,18796.8867,0,1,16,62,b,b,1
2013000012450,125,01316,1,1,17,1,61,2017.7449,0,1,17,61,1,b,1
2013000012640,126,01301,1,1,14,1,43,57378.29313,1,1,14,43,7,b,1
2013000012640,126,01301,1,2,14,1,41,112568.926,1,2,14,41,3,b,1
2013000012681,127,00600,1,1,6,9,22,0,0,1,6,22,1,b,9
2013000012681,127,00600,1,2,12,9,27,23894.3475,1,2,12,27,1,b,9
2013000012681,127,00600,1,3,10,9,8,0,0,3,10,8,b,b,9
2013000012681,127,00600,1,4,7,9,6,0,0,4,7,6,b,b,9
2013000012681,127,00600,1,5,10,9,2,0,0,5,10,2,b,b,9
2013000012698,128,00100,1,1,18,3,59,53310.9442,0,1,18,59,b,b,3
2013000012698,128,00100,1,2,20,1,56,5862.07992,1,2,20,56,1,b,1
2013000012698,128,00100,1,3,17,1,13,0,0,3,17,13,b,b,1
2013000012953,129,01305,1,1,12,1,50,138056.23,1,1,12,50,1,b,1
2013000012953,129,01305,1,2,12,1,47,0,0,2,12,47,3,b,1
2013000013044,130,01000,1,1,6,1,61,103117.3841,1,1,6,61,3,b,1
2013000013044,130,01000,1,2,6,1,63,11469.2868,0,2,6,63,3,b,1
2013000013283,131,01303,1,1,14,1,45,159295.65,1,1,14,45,7,b,1
2013000013390,132,01320,1,1,11,1,57,27611.246,1,1,11,57,1,b,1
2013000013506,133,01318,1,1,23,1,90,65364.31505,0,1,23,90,b,b,1
2013000013506,133,01318,1,2,23,1,84,8177.1767,0,2,23,84,b,b,1
2013000013535,134,00705,1,1,11,1,31,42478.84,1,1,11,31,1,b,1
2013000013535,134,00705,1,2,14,1,30,37168.985,1,2,14,30,1,b,1
2013000013535,134,00705,1,3,15,1,7,0,0,3,15,7,b,b,1
2013000013535,134,00705,1,4,13,1,2,0,0,4,13,2,b,b,1
2013000013535,134,00705,1,5,16,1,0,0,0,5,16,0,b,b,1
2013000013600,135,00400,1,1,25,1,54,0,0,1,25,54,1,b,1
2013000013600,135,00400,1,2,34,1,48,0,0,2,34,48,1,b,1
2013000013710,136,00600,1,1,19,1,59,12743.652,1,1,19,59,1,b,1
2013000013710,136,00600,1,2,20,1,19,0,0,2,20,19,9,b,1
2013000013809,137,00705,1,1,12,1,37,46726.724,1,1,12,37,4,b,1
2013000013809,137,00705,1,2,12,1,38,84957.68,1,2,12,38,1,b,1
2013000013809,137,00705,1,3,7,9,18,796.47825,0,3,7,18,b,b,9
2013000013809,137,00705,1,4,11,1,9,0,0,4,11,9,b,b,1
2013000013809,137,00705,1,5,18,1,7,0,0,5,18,7,b,b,1
2013000013837,138,00500,1,1,10,1,47,37699.9705,1,1,10,47,1,b,1
2013000014009,139,01000,1,1,17,9,67,29310.3996,0,1,17,67,b,b,9
2013000014043,140,00600,1,1,16,1,67,37168.985,0,1,16,67,1,b,1
2013000014043,140,00600,1,2,13,1,67,30372.3706,0,2,13,67,b,b,1
