Geo,Year,PropMetroHh,PropTownHh,PropRuralHh
Barnstable,2015,0.92,0.01,0.07
Berkshire,2015,0.45,0.23,0.32
Bristol,2015,0.9,0,0.1
Dukes,2015,0,0.61,0.39
Essex,2015,0.96,0,0.04
Franklin,2015,0,0.46,0.54
Hampden,2015,0.91,0,0.09
Hampshire,2015,0.69,0.04,0.27
Middlesex,2015,0.97,0,0.03
Nantucket,2015,0,0.81,0.19
Norfolk,2015,0.99,0,0.01
Plymouth,2015,0.9,0,0.1
Suffolk,2015,1,0,0
Worcester,2015,0.8,0.02,0.18
Barnstable,2050,0.92,0.01,0.07
Berkshire,2050,0.45,0.23,0.32
Bristol,2050,0.9,0,0.1
Dukes,2050,0,0.61,0.39
Essex,2050,0.96,0,0.04
Franklin,2050,0,0.46,0.54
Hampden,2050,0.91,0,0.09
Hampshire,2050,0.69,0.04,0.27
Middlesex,2050,0.97,0,0.03
Nantucket,2050,0,0.81,0.19
Norfolk,2050,0.99,0,0.01
Plymouth,2050,0.9,0,0.1
Suffolk,2050,1,0,0
Worcester,2050,0.8,0.02,0.18
