"Geo","Year","OwnedVehAccessTime","HighCarSvcAccessTime","LowCarSvcAccessTime"
"Barnstable",2015,5,10,45
"Berkshire",2015,5,10,45
"Bristol",2015,5,10,45
"Dukes",2015,5,10,45
"Essex",2015,5,10,45
"Franklin",2015,5,10,45
"Hampden",2015,5,10,45
"Hampshire",2015,5,10,45
"Middlesex",2015,5,10,45
"Nantucket",2015,5,10,45
"Norfolk",2015,5,10,45
"Plymouth",2015,5,10,45
"Suffolk",2015,5,10,45
"Worcester",2015,5,10,45
"Barnstable",2050,5,10,45
"Berkshire",2050,5,10,45
"Bristol",2050,5,10,45
"Dukes",2050,5,10,45
"Essex",2050,5,10,45
"Franklin",2050,5,10,45
"Hampden",2050,5,10,45
"Hampshire",2050,5,10,45
"Middlesex",2050,5,10,45
"Nantucket",2050,5,10,45
"Norfolk",2050,5,10,45
"Plymouth",2050,5,10,45
"Suffolk",2050,5,10,45
"Worcester",2050,5,10,45
