Geo,Year,PropHhPopCenter,PropHhPopInner,PropHhPopOuter,PropHhPopFringe
Barnstable,2015,0.04,0.08,0.52,0.36
Berkshire,2015,0.06,0.14,0.45,0.35
Bristol,2015,0.21,0.17,0.45,0.17
Dukes,2015,0.05,0.03,0.47,0.45
Essex,2015,0.18,0.22,0.49,0.11
Franklin,2015,0.03,0.09,0.32,0.56
Hampden,2015,0.15,0.23,0.47,0.15
Hampshire,2015,0.08,0.13,0.51,0.28
Middlesex,2015,0.28,0.25,0.4,0.07
Nantucket,2015,0,0.11,0.42,0.47
Norfolk,2015,0.19,0.2,0.53,0.08
Plymouth,2015,0.1,0.14,0.54,0.22
Suffolk,2015,0.86,0.08,0.06,0
Worcester,2015,0.1,0.17,0.51,0.22
BarnOutofState,2015,0.17,0.15,0.44,0.24
BerkOutofState,2015,0.17,0.15,0.44,0.24
Bos3OutofState,2015,0.17,0.15,0.44,0.24
Bos2OutofState,2015,0.17,0.15,0.44,0.24
HampOutofState,2015,0.17,0.15,0.44,0.24
Bos1OutofState,2015,0.17,0.15,0.44,0.24
WorcOutofState,2015,0.17,0.15,0.44,0.24
Barnstable,2025,0.04,0.07,0.52,0.37
Berkshire,2025,0.065,0.14,0.45,0.345
Bristol,2025,0.18,0.19,0.47,0.16
Dukes,2025,0.025,0.055,0.475,0.445
Essex,2025,0.22,0.21,0.47,0.1
Franklin,2025,0.02,0.08,0.32,0.58
Hampden,2025,0.15,0.23,0.485,0.135
Hampshire,2025,0.09,0.145,0.485,0.28
Middlesex,2025,0.295,0.255,0.385,0.065
Nantucket,2025,0,0.12,0.48,0.4
Norfolk,2025,0.23,0.205,0.5,0.065
Plymouth,2025,0.14,0.16,0.49,0.21
Suffolk,2025,0.87,0.08,0.05,0
Worcester,2025,0.105,0.195,0.49,0.21
BarnOutofState,2025,0.17,0.15,0.44,0.24
BerkOutofState,2025,0.17,0.15,0.44,0.24
Bos3OutofState,2025,0.17,0.15,0.44,0.24
Bos2OutofState,2025,0.17,0.15,0.44,0.24
HampOutofState,2025,0.17,0.15,0.44,0.24
Bos1OutofState,2025,0.17,0.15,0.44,0.24
WorcOutofState,2025,0.17,0.15,0.44,0.24
Barnstable,2050,0.04,0.05,0.52,0.39
Berkshire,2050,0.07,0.14,0.43,0.36
Bristol,2050,0.15,0.21,0.48,0.16
Dukes,2050,0,0.08,0.48,0.44
Essex,2050,0.26,0.21,0.44,0.09
Franklin,2050,0.02,0.07,0.31,0.6
Hampden,2050,0.16,0.22,0.5,0.12
Hampshire,2050,0.1,0.16,0.46,0.28
Middlesex,2050,0.31,0.26,0.37,0.06
Nantucket,2050,0,0.13,0.55,0.32
Norfolk,2050,0.28,0.21,0.45,0.06
Plymouth,2050,0.18,0.17,0.44,0.21
Suffolk,2050,0.89,0.07,0.04,0
Worcester,2050,0.11,0.22,0.47,0.2
BarnOutofState,2050,0.18,0.16,0.43,0.23
BerkOutofState,2050,0.18,0.16,0.43,0.23
Bos3OutofState,2050,0.18,0.16,0.43,0.23
Bos2OutofState,2050,0.18,0.16,0.43,0.23
HampOutofState,2050,0.18,0.16,0.43,0.23
Bos1OutofState,2050,0.18,0.16,0.43,0.23
WorcOutofState,2050,0.18,0.16,0.43,0.23
