"Geo","Year","TransitVanFuelCI","TransitBusFuelCI","TransitRailFuelCI"
"Barn",2015,NA,NA,NA
"Berk",2015,NA,NA,NA
"Bos1",2015,NA,NA,NA
"Bos2",2015,NA,NA,NA
"Bos3",2015,NA,NA,NA
"Hamp",2015,NA,NA,NA
"None",2015,NA,NA,NA
"Worc",2015,NA,NA,NA
"Barn",2050,NA,NA,NA
"Berk",2050,NA,NA,NA
"Bos1",2050,NA,NA,NA
"Bos2",2050,NA,NA,NA
"Bos3",2050,NA,NA,NA
"Hamp",2050,NA,NA,NA
"None",2050,NA,NA,NA
"Worc",2050,NA,NA,NA
