Geo,Year,CENSUS_R
Barn,2015,NE
Berk,2015,NE
Bos1,2015,NE
Bos2,2015,NE
Bos3,2015,NE
Hamp,2015,NE
None,2015,NE
Worc,2015,NE
Barn,2050,NE
Berk,2050,NE
Bos1,2050,NE
Bos2,2050,NE
Bos3,2050,NE
Hamp,2050,NE
None,2050,NE
Worc,2050,NE
