Year,ComSvcAutoPropIcev,ComSvcAutoPropHev,ComSvcAutoPropBev,ComSvcLtTrkPropIcev,ComSvcLtTrkPropHev,ComSvcLtTrkPropBev
2015,0.69,0.05,0.26,0.74,0,0.26
2050,0.33,0.61,0.06,0.33,0.47,0.2
