"Geo","Year","ElectricityCI"
"Barnstable",2015,153
"Berkshire",2015,153
"Bristol",2015,153
"Dukes",2015,153
"Essex",2015,153
"Franklin",2015,153
"Hampden",2015,153
"Hampshire",2015,153
"Middlesex",2015,153
"Nantucket",2015,153
"Norfolk",2015,153
"Plymouth",2015,153
"Suffolk",2015,153
"Worcester",2015,153
"Barnstable",2050,23
"Berkshire",2050,23
"Bristol",2050,23
"Dukes",2050,23
"Essex",2050,23
"Franklin",2050,23
"Hampden",2050,23
"Hampshire",2050,23
"Middlesex",2050,23
"Nantucket",2050,23
"Norfolk",2050,23
"Plymouth",2050,23
"Suffolk",2050,23
"Worcester",2050,23
