Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Barn,2015,5231772,0,1391737,111057,0,0,0,0
Berk,2015,465752,0,884101,0,0,0,0,0
Bos1,2015,2734506.714,1362665,7053856.361,129673.692,0,111433.9333,19221999.79,3410874.289
Bos2,2015,10210745.14,0,19006798.61,1005792.308,0,127353.0667,9431186.215,14618032.67
Bos3,2015,8011369.429,0,4610677.028,1318126,0,0,0,2761183.948
Hamp,2015,3008563,0,4932766,0,0,0,0,0
None,2015,355169,0,1600246,0,0,0,0,0
Worc,2015,6382704.714,0,2610559,0,0,0,0,1136958.096
Barn,2050,5231772,0,1391737,111057,0,0,0,0
Berk,2050,465752,0,884101,0,0,0,0,0
Bos1,2050,2734506.714,1362665,7053856.361,129673.692,0,111433.9333,19221999.79,3410874.289
Bos2,2050,10210745.14,0,19006798.61,1005792.308,0,127353.0667,9431186.215,14618032.67
Bos3,2050,8011369.429,0,4610677.028,1318126,0,0,0,2761183.948
Hamp,2050,3008563,0,4932766,0,0,0,0,0
None,2050,355169,0,1600246,0,0,0,0,0
Worc,2050,6382704.714,0,2610559,0,0,0,0,1136958.096
