Geo,UzaNameLookup,UrbanLdvDvmt,UrbanHvyTrkDvmt
Barn,Barnstable Town/MA,NA,NA
Berk,Pittsfield/MA,NA,NA
Bos1,Boston/MA,NA,NA
Bos2,Boston/MA,NA,NA
Bos3,Boston/MA,NA,NA
Hamp,Springfield/MA,NA,NA
None,None,0,0
Worc,Worcester/MA,NA,NA
