"Geo","Year","FwyLaneMi","ArtLaneMi"
"Barn",2015,0,657.8433626
"Berk",2015,30.59991333,330.7098224
"Bos1",2015,32.21121902,386.5695809
"Bos2",2015,273.31434515,3032.5286471
"Bos3",2015,113.62436313,1437.6037797
"Hamp",2015,110.7713928,950.1063461
"None",2015,25.03743618,243.2366257
"Worc",2015,138.5962231,1263.007189
"Barn",2050,0,657.8433626
"Berk",2050,30.59991333,330.7098224
"Bos1",2050,32.21121902,386.5695809
"Bos2",2050,273.31434515,3032.5286471
"Bos3",2050,113.62436313,1437.6037797
"Hamp",2050,110.7713928,950.1063461
"None",2050,25.03743618,243.2366257
"Worc",2050,138.5962231,1263.007189
