Geo,Year,CenterEcoProp,InnerEcoProp,OuterEcoProp,FringeEcoProp,CenterImpProp,InnerImpProp,OuterImpProp,FringeImpProp
Barn,2015,0.109272232,0.109272232,0,0,0,0,0,0
Berk,2015,0.094829414,0.094829414,0,0,0,0,0,0
Bos1,2015,0.2996,0.2996,0,0,0,0,0,0
Bos2,2015,0.264393875,0.264393875,0,0,0,0,0,0
Bos3,2015,0.104287686,0.104287686,0,0,0,0,0,0
Hamp,2015,0.225378622,0.225378622,0,0,0,0,0,0
None,2015,0.221034095,0.221034095,0.2,0.2,0.2,0.2,0.2,0.2
Worc,2015,0.28883083,0.28883083,0,0,0,0,0,0
Barn,2050,0.109272232,0.109272232,0,0,0,0,0,0
Berk,2050,0.094829414,0.094829414,0,0,0,0,0,0
Bos1,2050,0.2996,0.2996,0,0,0,0,0,0
Bos2,2050,0.264393875,0.264393875,0,0,0,0,0,0
Bos3,2050,0.104287686,0.104287686,0,0,0,0,0,0
Hamp,2050,0.225378622,0.225378622,0,0,0,0,0,0
None,2050,0.221034095,0.221034095,0.2,0.2,0.2,0.2,0.2,0.2
Worc,2050,0.28883083,0.28883083,0,0,0,0,0,0
