"Geo","Year","TransitEthanolPropGasoline","TransitBiodieselPropDiesel","TransitRngPropCng"
"Barn",2015,0.065878378,1,0
"Berk",2015,0.065878378,0,0
"Bos1",2015,0.065878378,0,0.03
"Bos2",2015,0.065878378,0,0.061875
"Bos3",2015,0.065878378,0,0.03
"Hamp",2015,0.065878378,0,0
"None",2015,0.065878378,0,0
"Worc",2015,0.065878378,0,0
"Barn",2050,0.130643537,1,0
"Berk",2050,0.130643537,0,0
"Bos1",2050,0.130643537,0,0.03
"Bos2",2050,0.130643537,0,0.061875
"Bos3",2050,0.130643537,0,0.03
"Hamp",2050,0.130643537,0,0
"None",2050,0.130643537,0,0
"Worc",2050,0.130643537,0,0
