Geo,Year,PaydHhProp
Barnstable,2015,0.01
Berkshire,2015,0.01
Bristol,2015,0.01
Dukes,2015,0.01
Essex,2015,0.01
Franklin,2015,0.01
Hampden,2015,0.01
Hampshire,2015,0.01
Middlesex,2015,0.01
Nantucket,2015,0.01
Norfolk,2015,0.01
Plymouth,2015,0.01
Suffolk,2015,0.01
Worcester,2015,0.01
Barnstable,2050,0.01
Berkshire,2050,0.01
Bristol,2050,0.01
Dukes,2050,0.01
Essex,2050,0.01
Franklin,2050,0.01
Hampden,2050,0.01
Hampshire,2050,0.01
Middlesex,2050,0.01
Nantucket,2050,0.01
Norfolk,2050,0.01
Plymouth,2050,0.01
Suffolk,2050,0.01
Worcester,2050,0.01
