Geo,Year,MetroLandArea,TownLandArea,RuralAveDensity
Barnstable,2015,232.852922,1.977994161,0.076451
Berkshire,2015,33.50454642,25.95749335,0.035052
Bristol,2015,283.4503857,0,0.123388
Dukes,2015,0,9.837158117,0.052681
Essex,2015,334.4714555,0,0.121469
Franklin,2015,0,25.25607899,0.039331
Hampden,2015,198.6026956,0,0.058626
Hampshire,2015,71.61972799,6.555691128,0.062213
Middlesex,2015,595.8819084,0,0.121551
Nantucket,2015,0,8.03704177,0.036933
Norfolk,2015,349.4152394,0,0.101488
Plymouth,2015,344.640809,0,0.09307
Suffolk,2015,57.29019097,0,0
Worcester,2015,393.4323853,14.0594925,0.079286
Barnstable,2050,232.852922,1.977994161,0.076451
Berkshire,2050,33.50454642,25.95749335,0.035052
Bristol,2050,283.4503857,0,0.123388
Dukes,2050,0,9.837158117,0.052681
Essex,2050,334.4714555,0,0.121469
Franklin,2050,0,25.25607899,0.039331
Hampden,2050,198.6026956,0,0.058626
Hampshire,2050,71.61972799,6.555691128,0.062213
Middlesex,2050,595.8819084,0,0.121551
Nantucket,2050,0,8.03704177,0.036933
Norfolk,2050,349.4152394,0,0.101488
Plymouth,2050,344.640809,0,0.09307
Suffolk,2050,57.29019097,0,0
Worcester,2050,393.4323853,14.0594925,0.079286
