"Geo","Year","VehOwnFlatRateFee.2015","VehOwnAdValoremTax"
"Barnstable",2015,65,0.025
"Berkshire",2015,65,0.025
"Bristol",2015,65,0.025
"Dukes",2015,65,0.025
"Essex",2015,65,0.025
"Franklin",2015,65,0.025
"Hampden",2015,65,0.025
"Hampshire",2015,65,0.025
"Middlesex",2015,65,0.025
"Nantucket",2015,65,0.025
"Norfolk",2015,65,0.025
"Plymouth",2015,65,0.025
"Suffolk",2015,65,0.025
"Worcester",2015,65,0.025
"Barnstable",2050,130,0.05
"Berkshire",2050,130,0.05
"Bristol",2050,130,0.05
"Dukes",2050,130,0.05
"Essex",2050,130,0.05
"Franklin",2050,130,0.05
"Hampden",2050,130,0.05
"Hampshire",2050,130,0.05
"Middlesex",2050,130,0.05
"Nantucket",2050,130,0.05
"Norfolk",2050,130,0.05
"Plymouth",2050,130,0.05
"Suffolk",2050,130,0.05
"Worcester",2050,130,0.05
