Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
Bristol,2015,0,3160,4334,12,0,0
Barnstable,2015,0,376,687,3,2,0
Dukes,2015,0,0,28,2,0,0
Berkshire,2015,0,1483,1706,23,0,0
Plymouth,2015,0,1219,1425,12,0,0
Essex,2015,0,2777,3295,67,1,0
Franklin,2015,0,6,10,15,3,0
Hampden,2015,0,3288,3836,6,0,0
Hampshire,2015,0,8970,9967,77,2,0
Middlesex,2015,0,14861,19767,1461,58,0
Nantucket,2015,0,0,0,0,0,0
Norfolk,2015,0,3273,4066,102,10,0
Suffolk,2015,0,16980,16240,157,4,0
Worcester,2015,0,5809,6166,26,1,0
Bristol,2050,0,3160,4334,12,0,0
Barnstable,2050,0,376,687,3,2,0
Dukes,2050,0,0,28,2,0,0
Berkshire,2050,0,1483,1706,23,0,0
Plymouth,2050,0,1219,1425,12,0,0
Essex,2050,0,2777,3295,67,1,0
Franklin,2050,0,6,10,15,3,0
Hampden,2050,0,3288,3836,6,0,0
Hampshire,2050,0,8970,9967,77,2,0
Middlesex,2050,0,14861,19767,1461,58,0
Nantucket,2050,0,0,0,0,0,0
Norfolk,2050,0,3273,4066,102,10,0
Suffolk,2050,0,16980,16240,157,4,0
Worcester,2050,0,5809,6166,26,1,0
