Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
Barn,2015,0,0.4,0.2,0.2,0,0
Berk,2015,0,0.4,0.2,0.2,0,0
Bos1,2015,0,0.4,0.2,0.2,0,0
Bos2,2015,0,0.4,0.2,0.2,0,0
Bos3,2015,0,0.4,0.2,0.2,0,0
Hamp,2015,0,0.4,0.2,0.2,0,0
None,2015,0,0,0,0,0,0
Worc,2015,0,0.4,0.2,0.2,0,0
Barn,2050,0,0.5,0.25,0.2,0,0
Berk,2050,0,0.5,0.25,0.2,0,0
Bos1,2050,0,0.5,0.25,0.2,0,0
Bos2,2050,0,0.5,0.25,0.2,0,0
Bos3,2050,0,0.5,0.25,0.2,0,0
Hamp,2050,0,0.5,0.25,0.2,0,0
None,2050,0,0,0,0,0,0
Worc,2050,0,0.5,0.25,0.2,0,0
