"Geo","Year","VanPropIcev","VanPropHev","VanPropBev","BusPropIcev","BusPropHev","BusPropBev","RailPropIcev","RailPropHev","RailPropEv"
"Barn",2015,1,0,0,1,0,0,1,0,0
"Berk",2015,1,0,0,1,0,0,1,0,0
"Bos1",2015,1,0,0,1,0,0,1,0,0
"Bos2",2015,1,0,0,1,0,0,1,0,0
"Bos3",2015,1,0,0,1,0,0,1,0,0
"Hamp",2015,1,0,0,1,0,0,1,0,0
"None",2015,1,0,0,1,0,0,1,0,0
"Worc",2015,1,0,0,1,0,0,1,0,0
"Barn",2050,1,0,0,1,0,0,1,0,0
"Berk",2050,1,0,0,1,0,0,1,0,0
"Bos1",2050,1,0,0,1,0,0,1,0,0
"Bos2",2050,1,0,0,1,0,0,1,0,0
"Bos3",2050,1,0,0,1,0,0,1,0,0
"Hamp",2050,1,0,0,1,0,0,1,0,0
"None",2050,1,0,0,1,0,0,1,0,0
"Worc",2050,1,0,0,1,0,0,1,0,0
