Year,Value
1999,172.6
2000,178
2001,182.4
2002,183.8
2003,186.3
2004,191.1
2005,196
2006,201.1
2007,208.556
2008,215.389
2009,215.647
2010,218.344
2011,224.59
2012,229.779
2013,235.528
2014,241.215
2015,244.19
2016,245.00323
2017,245.1355
2018,251.1023333
2019,255.6525833
2020,258.8440833
2021,268.327175
2022,274.797175
2023,280.483175
2024,286.33745
2025,292.41095
2026,298.692125
2027,305.391575
2028,312.579675
2029,320.2149
2030,328.059125
2031,335.869325
2032,343.2584502
2033,350.8101361
2034,358.527959
2035,366.4155741
2036,374.4767168
2037,382.7152045
2038,391.134939
2039,399.7399077
2040,408.5341857
2041,417.5219378
2042,426.7074204
2043,436.0949836
2044,445.6890733
2045,455.4942329
2046,465.515106
2047,475.7564383
2048,486.22308
2049,496.9199877
2050,507.8522275
