SERIALNO,hhnum,PUMA,REGION,NP,NW,HHINCADJ,WGTP,HTYPE
2015000000070,1,01321,1,4,2,48621.15,5,SF
2015000000163,2,01301,1,2,2,104805.59,25,SF
2015000000178,3,00901,1,1,0,326734.128,23,SF
2015000000243,4,01302,1,2,0,110856.222,26,SF
2015000000300,5,00705,1,1,0,216.094,46,MH
2015000000603,6,00901,1,3,1,4754.068,5,SF
2015000000743,7,00705,1,2,2,59425.85,4,SF
2015000000803,8,01316,1,2,2,52943.03,26,MF
2015000000847,9,00600,1,2,0,81035.25,5,MH
2015000000882,10,01305,1,2,1,108047,15,SF
2015000000946,11,00901,1,8,4,125442.567,24,SF
2015000000982,12,01317,1,2,0,152346.27,24,SF
2015000001030,13,01319,1,2,1,58129.286,28,MF
2015000001066,14,01105,1,1,0,16639.238,23,DUP
2015000001069,15,00704,1,2,1,28416.361,12,SF
2015000001116,16,01318,1,1,0,25499.092,29,MH
2015000001117,17,00901,1,4,2,54239.594,48,SF
2015000001130,18,00600,1,2,1,172875.2,24,SF
2015000001182,19,01324,1,3,2,77253.605,25,SF
2015000001193,20,01316,1,1,0,27227.844,12,DUP
2015000001254,21,01303,1,1,1,88166.352,22,SF
2015000001297,22,00200,1,3,3,77793.84,11,MH
2015000001377,23,01319,1,2,2,118851.7,14,SF
2015000001388,24,01305,1,2,2,63747.73,11,SF
2015000001411,25,01200,1,2,1,6698.914,40,MF
2015000001603,26,00100,1,1,1,51862.56,41,SF
2015000001778,27,01104,1,1,0,16207.05,12,MF
2015000001793,28,01319,1,2,0,43867.082,16,SF
2015000001807,29,01303,1,2,1,68069.61,10,SF
2015000001823,30,00704,1,2,2,30685.348,41,MF
2015000002067,31,01317,1,1,0,15882.909,15,MF
2015000002096,32,00800,1,1,0,37600.356,8,SF
2015000002126,33,01305,1,3,1,7152.7114,31,MF
2015000002181,34,00500,1,2,0,63747.73,9,SF
2015000002192,35,01314,1,1,0,9508.136,17,MF
2015000002369,36,00300,1,4,2,62667.26,5,SF
2015000002377,37,00200,1,1,1,-6266.726,12,MH
2015000002416,38,00704,1,4,2,57372.957,11,SF
2015000002488,39,00704,1,1,0,58345.38,15,SF
2015000002522,40,01318,1,4,2,158829.09,14,SF
2015000002533,41,00400,1,2,1,62018.978,19,SF
2015000002685,42,00500,1,2,1,35871.604,16,MF
