GEOID,POPBASE,HHBASE,PINC,HHSIZ1,HHSIZ2,HHSIZ3,HHSIZ4,PAGE0TO14,PAGE15TO19,PAGE20TO29,PAGE30TO54,PAGE55TO64,PAGE65PLUS,PRACWHT,PRACBLK,PRACNAT,PRACASN,PRACPAC,PRACOTH,PRACMUL,HHINC1,HHINC2,HHINC3,HHINC4,STATEFP,COUNTYFP,TRACTCE,TRACTGEOID,PUMA,REGION
410290001001,1219,389,16107,119,103,63,104,293,61,277,361,94,133,940,11,3,0,0,48,217,119,128,111,31,41,029,000100,41029000100,00901,1
410290001002,747,406,15589,262,93,29,22,74,53,183,229,122,86,616,0,14,2,34,3,78,206,124,65,11,41,029,000100,41029000100,00901,1
410290002011,1137,386,17751,131,100,34,121,219,87,290,273,132,136,922,16,10,27,0,0,162,86,106,171,23,41,029,000201,41029000201,00901,1
410290002012,1278,573,18988,177,170,27,199,166,151,233,379,178,171,934,0,310,0,0,0,34,210,160,117,86,41,029,000201,41029000201,00901,1
410290002013,1387,479,11368,255,92,30,102,295,14,307,432,244,95,1314,10,24,0,7,0,32,208,203,22,46,41,029,000201,41029000201,00901,1
410290002021,2111,653,19214,138,152,58,305,577,294,326,507,153,254,1908,0,40,0,0,150,13,82,132,283,156,41,029,000202,41029000202,00901,1
410290002022,704,355,28711,122,166,27,40,68,64,221,254,53,44,572,0,38,0,0,94,0,88,56,184,27,41,029,000202,41029000202,00901,1
410290002023,827,326,13142,120,92,24,90,208,39,146,320,36,78,487,8,34,0,0,160,138,83,197,35,11,41,029,000202,41029000202,00901,1
410290002031,1130,499,21692,147,204,130,18,201,96,146,314,90,283,929,51,32,0,0,43,75,118,210,99,72,41,029,000203,41029000203,00901,1
410290002032,1434,575,31995,95,247,103,130,120,72,317,634,68,223,1351,9,8,0,0,43,23,39,104,164,268,41,029,000203,41029000203,00901,1
410290002033,1170,534,18154,142,218,57,117,305,17,366,300,124,58,992,17,8,6,0,5,142,155,144,198,37,41,029,000203,41029000203,00901,1
410290003003,2681,871,21727,261,133,167,310,887,94,551,914,80,155,1952,0,464,62,0,0,203,43,255,381,192,41,029,000300,41029000300,00901,1
410290003004,1290,778,25096,371,349,18,40,40,36,276,445,245,248,1141,0,0,76,0,20,53,130,278,259,111,41,029,000300,41029000300,00901,1
410290004031,1038,393,33632,21,189,36,147,260,0,18,341,237,182,862,0,0,0,0,0,176,0,67,82,244,41,029,000403,41029000403,00901,1
410290004032,1378,592,44214,102,340,35,115,238,43,66,403,249,379,1193,60,29,12,0,69,15,41,71,119,361,41,029,000403,41029000403,00901,1
410290004041,2641,1000,34715,238,306,93,363,502,242,176,844,316,561,2474,0,0,15,108,18,26,26,193,148,633,41,029,000404,41029000404,00901,1
410290004042,3187,994,30702,126,345,222,301,1045,199,106,874,376,587,3072,55,0,52,0,0,8,102,69,257,566,41,029,000404,41029000404,00901,1
410290004051,1812,669,22378,230,200,102,137,422,89,324,540,108,329,1609,0,5,28,0,0,170,183,178,79,229,41,029,000405,41029000405,00901,1
410290004052,2491,1077,26048,479,290,97,211,323,119,482,767,377,423,2095,76,0,22,72,53,173,239,249,215,374,41,029,000405,41029000405,00901,1
410290004061,1877,1091,25165,593,294,126,78,285,40,358,504,132,558,1699,0,0,39,0,74,65,277,336,230,248,41,029,000406,41029000406,00901,1
410290004063,1271,452,25757,98,99,138,117,314,112,235,334,171,105,1184,33,0,32,0,0,22,62,55,108,227,41,029,000406,41029000406,00901,1
410290005011,1324,566,18168,153,233,107,73,243,118,311,351,175,126,1167,0,7,0,29,15,106,135,232,100,99,41,029,000501,41029000501,00901,1
410290005012,1703,821,34128,381,218,93,129,277,110,118,599,227,372,1587,0,29,7,0,37,43,66,241,179,335,41,029,000501,41029000501,00901,1
410290005021,2421,851,30801,132,222,180,317,534,119,313,1047,234,174,2236,0,0,0,0,175,10,41,202,220,388,41,029,000502,41029000502,00901,1
410290005022,1801,603,17789,211,211,0,181,404,49,290,649,165,244,1650,24,0,40,47,0,40,196,241,112,54,41,029,000502,41029000502,00901,1
410290005024,1080,562,15396,191,253,118,0,187,11,306,224,70,282,824,50,0,206,0,0,0,120,398,29,15,41,029,000502,41029000502,00901,1
410290006031,2550,865,60193,81,397,115,272,866,23,139,854,204,464,2185,0,0,134,0,0,231,69,16,108,672,41,029,000603,41029000603,00901,1
410290006032,1114,446,47366,120,214,30,82,188,69,61,249,203,344,1048,22,0,11,0,19,14,13,57,81,295,41,029,000603,41029000603,00901,1
410290006041,1882,815,37792,195,342,183,95,291,95,329,642,181,344,1861,0,0,21,0,0,0,100,229,187,299,41,029,000604,41029000604,00901,1
410290006042,1708,705,30542,154,355,92,104,277,102,47,462,164,656,1598,0,29,60,0,0,21,48,245,189,223,41,029,000604,41029000604,00901,1
410290006051,1775,690,26844,130,364,50,146,366,248,214,493,175,279,1692,0,12,0,0,0,71,170,195,111,214,41,029,000605,41029000605,00901,1
410290006052,772,431,38666,147,255,20,9,10,10,10,106,216,420,723,0,0,49,0,0,0,36,123,150,122,41,029,000605,41029000605,00901,1
410290006061,1828,955,65896,267,534,129,25,211,0,0,251,124,1242,1668,0,0,67,0,14,79,37,179,152,587,41,029,000606,41029000606,00901,1
410290007011,1981,705,24714,80,279,168,178,288,136,382,363,443,369,1822,0,52,82,0,0,25,32,187,201,285,41,029,000701,41029000701,00901,1
410290007012,3133,1168,24185,318,352,114,384,469,288,414,1183,417,362,2609,22,0,0,0,270,232,88,263,434,383,41,029,000701,41029000701,00901,1
410290007021,538,201,35338,0,169,0,32,53,49,0,114,93,229,534,0,0,0,0,0,4,0,12,103,86,41,029,000702,41029000702,00901,1
410290007022,1403,490,28460,88,157,82,163,189,271,122,566,139,116,1212,0,75,30,0,7,79,27,52,121,290,41,029,000702,41029000702,00901,1
410290007023,3143,1068,27086,159,278,171,460,778,286,413,740,448,478,2946,0,0,0,0,0,197,55,231,281,501,41,029,000702,41029000702,00901,1
410290008003,1348,586,27112,96,318,84,88,91,68,418,541,82,148,1086,25,0,0,0,28,209,63,191,175,157,41,029,000800,41029000800,00901,1
410290008004,1115,499,37242,139,217,113,30,120,34,143,318,227,273,963,0,62,69,0,0,21,79,91,48,281,41,029,000800,41029000800,00901,1
410290009011,870,357,38557,26,225,34,72,182,14,12,343,169,150,870,0,0,0,0,0,0,49,25,65,218,41,029,000901,41029000901,00901,1
410290009012,989,282,46517,49,132,53,48,256,40,120,259,60,254,989,0,0,0,0,0,0,12,50,12,208,41,029,000901,41029000901,00901,1
410290009013,1509,598,27931,176,133,148,141,439,55,116,608,142,149,1346,0,0,0,0,0,163,12,198,109,279,41,029,000901,41029000901,00901,1
410290009022,3405,1242,53005,336,382,134,390,580,424,166,1181,416,638,2955,0,0,95,130,14,211,69,164,254,755,41,029,000902,41029000902,00901,1
410290010011,1985,763,25938,193,240,141,189,396,172,153,816,207,241,1689,0,155,29,105,4,3,80,220,125,338,41,029,001001,41029001001,00901,1
410290010012,1124,614,25909,295,198,104,17,95,0,288,85,98,558,1065,0,14,11,0,34,0,105,261,132,116,41,029,001001,41029001001,00901,1
410290010013,1373,476,28477,60,113,227,76,320,60,38,682,141,132,996,13,14,0,0,327,23,24,79,132,241,41,029,001001,41029001001,00901,1
410290010021,491,265,26036,81,168,16,0,0,32,89,241,39,90,480,0,0,0,0,11,0,53,91,93,28,41,029,001002,41029001002,00901,1
