geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_20_control,hh_inc_21_40_control,hh_inc_41_60_control,hh_inc_61_75_control,hh_inc_76_100_control,hh_inc_100_plus_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,hh_by_type_sf_control,hh_by_type_mf_control,hh_by_type_mh_control,hh_by_type_dup_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_20_result,hh_inc_21_40_result,hh_inc_41_60_result,hh_inc_61_75_result,hh_inc_76_100_result,hh_inc_100_plus_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,hh_by_type_sf_result,hh_by_type_mf_result,hh_by_type_mh_result,hh_by_type_dup_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_20_diff,hh_inc_21_40_diff,hh_inc_41_60_diff,hh_inc_61_75_diff,hh_inc_76_100_diff,hh_inc_100_plus_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff,hh_by_type_sf_diff,hh_by_type_mf_diff,hh_by_type_mh_diff,hh_by_type_dup_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff
PUMA,901,42794,12026,16053,6262,8453,8427,10256,8226,4345,5081,6459,13805,14940,11339,1765,28162,8316,4014,1357,108612,98441,601,1349,1424,543,2107,4147,21733,6317,13907,26314,20342,19999,42794,12028,16053,6257,8456,8423,10260,8232,4335,5086,6458,14121,15273,11601,1799,28812,8496,4099,1387,108924,98776,593,1341,1423,529,2118,4144,21669,6287,13834,26309,20309,19969,0,2,0,-5,3,-4,4,6,-10,5,-1,316,333,262,34,650,180,85,30,312,335,-8,-8,-1,-14,11,-3,-64,-30,-73,-5,-33,-30
PUMA,902,30313,9152,11441,4307,5413,6237,5590,4982,3649,3190,6665,11604,10248,7625,1781,21839,3730,4930,759,73669,67244,619,239,928,36,1299,3304,11585,4693,8842,17310,15790,15449,30313,9146,11429,4314,5424,6233,5588,4981,3644,3196,6671,11249,9939,7396,1729,21184,3617,4778,734,73677,67235,619,243,930,33,1297,3320,11568,4671,8786,17196,15668,15343,0,-6,-12,7,11,-4,-2,-1,-5,6,6,-355,-309,-229,-52,-655,-113,-152,-25,8,-9,0,4,2,-3,-2,16,-17,-22,-56,-114,-122,-106
