process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.9,0.0
MainProcess,setup_data_structures,1.1,0.0
MainProcess,initial_seed_balancing,5.0,0.1
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.8,0.0
MainProcess,sub_balancing.geography=TRACT,78.4,1.3
MainProcess,sub_balancing.geography=BG,146.3,2.4
MainProcess,expand_households,3.1,0.1
MainProcess,write_data_dictionary,1.2,0.0
MainProcess,summarize,2.7,0.0
MainProcess,write_tables,0.4,0.0
MainProcess,write_synthetic_population,1.9,0.0
