geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_20_control,hh_inc_21_40_control,hh_inc_41_60_control,hh_inc_61_75_control,hh_inc_76_100_control,hh_inc_100_plus_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_20_result,hh_inc_21_40_result,hh_inc_41_60_result,hh_inc_61_75_result,hh_inc_76_100_result,hh_inc_100_plus_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_20_diff,hh_inc_21_40_diff,hh_inc_41_60_diff,hh_inc_61_75_diff,hh_inc_76_100_diff,hh_inc_100_plus_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff
BG,D410290001001,473,174,99,52,148,209,154,66,10,16,18,1442,1274,27,4,0,0,122,15,520,104,155,398,206,59,473,176,99,52,146,209,154,66,10,16,18,1480,1316,23,3,0,0,122,16,522,108,159,410,210,62,0,2,0,0,-2,0,0,0,0,0,0,38,42,-4,-1,0,0,0,1,2,4,4,12,4,3
BG,D410290001002,361,244,87,17,13,260,87,8,6,0,0,619,589,7,3,0,0,4,16,43,62,118,213,105,78,361,242,86,17,16,260,87,8,6,0,0,585,555,7,2,0,0,4,17,46,58,109,199,99,74,0,-2,-1,0,3,0,0,0,0,0,0,-34,-34,0,-1,0,0,0,1,3,-4,-9,-14,-6,-4
BG,D410290002011,423,140,112,89,82,109,194,50,45,11,14,1001,884,0,16,48,0,39,14,226,89,232,163,183,108,423,143,113,89,78,111,197,50,40,11,14,1052,934,0,16,48,0,40,14,227,87,246,182,196,110,0,3,1,0,-4,2,3,0,-5,0,0,51,50,0,0,0,0,1,0,1,-2,14,19,13,2
BG,D410290002012,512,172,227,28,85,173,102,140,50,29,18,1075,820,4,225,0,0,0,26,154,106,146,353,219,97,512,175,228,28,81,176,104,140,45,29,18,1135,872,4,232,0,0,0,27,157,104,154,382,233,98,0,3,1,0,-4,3,2,0,-5,0,0,60,52,0,7,0,0,0,1,3,-2,8,29,14,1
BG,D410290002013,523,168,161,28,166,219,201,44,43,16,0,1848,1722,19,50,0,0,7,50,598,94,261,582,288,25,523,162,159,28,174,213,197,44,53,16,0,1738,1625,15,45,0,0,7,46,590,94,234,524,258,22,0,-6,-2,0,8,-6,-4,0,10,0,0,-110,-97,-4,-5,0,0,0,-4,-8,0,-27,-58,-30,-3
BG,D410290002021,493,160,146,69,118,99,175,139,22,39,19,1266,1075,0,36,0,0,87,68,191,149,212,342,233,139,493,160,146,69,118,99,175,139,22,39,19,1269,1078,0,36,0,0,87,68,191,147,211,340,231,138,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,-2,-1,-2,-2,-1
BG,D410290002022,371,108,139,106,18,102,90,63,83,7,26,821,755,0,15,0,0,51,0,90,37,234,261,165,34,371,108,138,107,18,101,90,63,84,7,26,820,755,0,14,0,0,51,0,89,37,233,261,165,33,0,0,-1,1,0,-1,0,0,1,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1
BG,D410290002023,483,131,125,19,208,194,70,92,37,40,50,1813,1560,8,0,0,0,170,75,382,178,327,547,232,147,483,131,124,19,209,194,70,92,37,40,50,1820,1564,7,0,0,0,169,80,383,176,325,543,229,146,0,0,-1,0,1,0,0,0,0,0,0,7,4,-1,0,0,0,-1,5,1,-2,-2,-4,-3,-1
BG,D410290002031,501,151,255,62,33,69,222,116,23,62,9,995,859,0,41,0,0,12,83,178,28,128,337,182,142,501,151,255,62,33,69,222,116,23,62,9,999,862,0,39,0,0,12,86,178,28,127,338,184,142,0,0,0,0,0,0,0,0,0,0,0,4,3,0,-2,0,0,0,3,0,0,-1,1,2,0
BG,D410290002032,551,69,231,99,152,108,116,124,31,132,40,1633,1446,18,0,0,0,119,50,350,184,185,490,308,116,551,69,231,100,151,108,116,124,31,132,40,1636,1454,16,0,0,0,117,49,348,183,184,488,306,115,0,0,0,1,-1,0,0,0,0,0,0,3,8,-2,0,0,0,-2,-1,-2,-1,-1,-2,-2,-1
