geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_20_control,hh_inc_21_40_control,hh_inc_41_60_control,hh_inc_61_75_control,hh_inc_76_100_control,hh_inc_100_plus_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,hh_by_type_sf_control,hh_by_type_mf_control,hh_by_type_mh_control,hh_by_type_dup_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_20_result,hh_inc_21_40_result,hh_inc_41_60_result,hh_inc_61_75_result,hh_inc_76_100_result,hh_inc_100_plus_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,hh_by_type_sf_result,hh_by_type_mf_result,hh_by_type_mh_result,hh_by_type_dup_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_20_diff,hh_inc_21_40_diff,hh_inc_41_60_diff,hh_inc_61_75_diff,hh_inc_76_100_diff,hh_inc_100_plus_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff,hh_by_type_sf_diff,hh_by_type_mf_diff,hh_by_type_mh_diff,hh_by_type_dup_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff
TRACT,41029000502,2310,901,769,259,381,787,743,378,104,153,145,874,700,591,95,1026,1182,0,51,6121,5194,42,182,240,106,118,239,1169,298,1139,1521,1113,881,2310,902,769,259,380,786,743,378,104,154,145,895,715,604,96,1051,1207,0,52,6147,5188,62,182,233,124,120,238,1163,297,1138,1525,1113,882,0,1,0,0,-1,-1,0,0,0,1,0,21,15,13,1,25,25,0,1,26,-6,20,0,-7,18,2,-1,-6,-1,-1,4,0,1
TRACT,41029000601,2583,540,1116,410,517,222,269,468,263,448,913,995,665,832,34,2241,272,0,13,6670,6399,0,38,93,0,12,128,1287,244,472,1577,1375,1715,2583,540,1116,410,517,223,270,468,263,448,911,1017,680,851,35,2292,278,0,13,6688,6421,0,38,89,0,12,128,1283,243,469,1574,1369,1709,0,0,0,0,0,1,1,0,0,0,-2,22,15,19,1,51,6,0,0,18,22,0,0,-4,0,0,0,-4,-1,-3,-3,-6,-6
TRACT,41029000602,2882,1242,1206,195,239,674,820,364,172,319,533,1618,690,474,36,1718,969,0,131,5480,5024,64,0,188,23,0,181,629,248,406,1048,789,2360,2882,1244,1205,195,238,675,820,364,171,319,533,1655,706,485,36,1758,990,0,134,5508,5055,57,0,183,32,0,181,627,248,404,1056,793,2369,0,2,-1,0,-1,1,0,0,-1,0,0,37,16,11,0,40,21,0,3,28,31,-7,0,-5,9,0,0,-2,0,-2,8,4,9
TRACT,41029000700,3560,486,1564,670,840,410,868,886,276,544,576,813,1489,1116,64,2785,61,510,126,9533,8487,142,88,152,0,295,369,2166,511,1030,2245,2074,1507,3560,487,1564,670,839,410,870,887,274,544,575,832,1521,1142,65,2847,63,521,129,9559,8529,125,88,150,0,298,369,2159,508,1023,2241,2069,1503,0,1,0,0,-1,0,2,1,-2,0,-1,19,32,26,1,62,2,11,3,26,42,-17,0,-2,0,3,0,-7,-3,-7,-4,-5,-4
TRACT,41029000800,2416,700,957,408,351,624,561,470,233,199,329,1037,673,503,149,1552,318,491,0,5613,5127,4,84,33,0,0,365,861,307,701,1166,1343,1235,2416,700,957,408,351,623,562,471,232,200,328,1061,689,515,151,1588,326,502,0,5623,5139,4,83,32,0,0,365,859,305,696,1164,1340,1232,0,0,0,0,0,-1,1,1,-1,1,-1,24,16,12,2,36,8,11,0,10,12,0,-1,-1,0,0,0,-2,-2,-5,-2,-3,-3
TRACT,41029000900,3314,815,1243,486,770,587,580,469,333,557,788,962,1151,940,188,2800,282,145,15,8985,8413,25,2,74,59,49,363,1948,683,892,2232,1706,1524,3314,816,1244,486,768,588,581,469,333,557,786,984,1178,961,191,2861,290,148,15,9020,8428,35,2,74,71,47,363,1938,681,894,2238,1711,1525,0,1,1,0,-2,1,1,0,0,0,-2,22,27,21,3,61,8,3,0,35,15,10,0,0,12,-2,0,-10,-2,2,6,5,1
TRACT,41029001001,2651,889,904,408,450,337,768,763,405,180,198,876,966,643,107,1866,245,410,71,6344,5819,11,188,32,65,175,54,1264,398,410,1909,1043,1320,2651,890,905,408,448,338,769,762,404,180,198,897,987,658,109,1908,251,419,73,6367,5835,20,188,40,54,175,55,1255,396,410,1905,1042,1318,0,1,1,0,-2,1,1,-1,-1,0,0,21,21,15,2,42,6,9,2,23,16,9,0,8,-11,0,1,-9,-2,0,-4,-1,-2
TRACT,41029001002,1730,320,770,276,364,315,413,338,254,234,176,495,609,544,44,1196,392,74,30,4579,4268,26,118,94,0,7,66,1154,277,629,1196,671,652,1730,320,770,276,364,316,413,338,254,234,175,506,624,556,44,1222,401,76,31,4591,4288,23,117,90,0,7,66,1147,277,626,1193,668,650,0,0,0,0,0,1,0,0,0,0,-1,11,15,12,0,26,9,2,1,12,20,-3,-1,-4,0,0,0,-7,0,-3,-3,-3,-2
TRACT,41029001100,2074,516,866,226,466,288,562,217,203,340,464,662,720,591,54,1516,31,481,0,5276,4940,0,0,0,0,30,306,883,329,423,1166,1262,1213,2074,516,866,226,466,288,562,217,204,340,463,677,737,605,55,1551,32,491,0,5289,4952,0,0,0,0,30,307,879,327,421,1164,1259,1210,0,0,0,0,0,0,0,0,1,0,-1,15,17,14,1,35,1,10,0,13,12,0,0,0,0,0,1,-4,-2,-2,-2,-3,-3
TRACT,41029001200,1524,327,551,179,467,187,325,491,154,167,200,352,579,468,94,1096,318,0,77,4396,4010,8,0,58,17,30,273,939,255,652,1107,792,651,1524,327,551,179,467,187,325,491,154,167,200,360,590,478,96,1120,325,0,79,4411,4018,11,0,58,22,29,273,936,255,649,1107,789,650,0,0,0,0,0,0,0,0,0,0,0,8,11,10,2,24,7,0,2,15,8,3,0,0,5,-1,0,-3,0,-3,0,-3,-1
TRACT,41029001301,1608,205,547,288,568,282,245,395,263,176,247,427,375,630,140,1150,99,323,0,5599,4942,13,27,22,14,54,527,989,459,765,1373,1183,830,1608,206,547,288,567,282,245,394,262,177,248,441,386,642,139,1163,95,350,0,5644,4979,14,29,22,13,54,533,990,464,774,1369,1176,824,0,1,0,0,-1,0,0,-1,-1,1,1,14,11,12,-1,13,-4,27,0,45,37,1,2,0,-1,0,6,1,5,9,-4,-7,-6
TRACT,41029001302,3283,386,1270,555,1072,417,552,673,561,368,712,789,1153,918,350,2189,26,996,0,9988,8534,205,79,123,0,125,922,1948,553,1344,2874,1767,1502,3283,387,1271,556,1069,418,553,672,560,368,712,813,1188,933,349,2193,25,1065,0,10054,8586,211,80,125,0,125,927,1939,560,1360,2876,1768,1501,0,1,1,1,-3,1,1,-1,-1,0,0,24,35,15,-1,4,-1,69,0,66,52,6,1,2,0,0,5,-9,7,16,2,1,-1
TRACT,41029001400,4131,1146,1123,681,1181,671,706,528,577,369,1280,1471,1058,1230,280,3127,386,450,76,10929,10296,26,0,0,0,160,447,2320,760,1505,2464,2109,1771,4131,1149,1124,681,1177,671,707,530,575,369,1279,1514,1087,1251,279,3194,373,491,73,11005,10367,26,0,0,0,162,450,2307,769,1525,2469,2112,1771,0,3,1,0,-4,0,1,2,-2,0,-1,43,29,21,-1,67,-13,41,-3,76,71,0,0,0,0,2,3,-13,9,20,5,3,0
TRACT,41029001500,2233,630,1042,259,302,321,407,422,269,333,481,980,535,562,107,1539,271,342,33,4929,4650,0,0,16,22,145,96,659,176,268,1080,914,1832,2233,631,1042,259,301,321,407,422,269,333,481,1007,550,571,105,1568,261,372,32,4962,4680,0,0,16,22,147,97,655,178,271,1080,912,1827,0,1,0,0,-1,0,0,0,0,0,0,27,15,9,-2,29,-10,30,-1,33,30,0,0,0,0,2,1,-4,2,3,0,-2,-5
TRACT,41029001601,2002,672,794,278,258,424,647,522,167,126,116,777,705,400,75,191,335,1382,50,4651,4078,9,37,0,0,282,245,685,262,717,984,873,1130,2002,672,794,278,258,424,647,522,167,127,115,795,721,410,76,196,343,1412,51,4649,4072,7,38,0,0,285,247,686,262,711,983,873,1128,0,0,0,0,0,0,0,0,0,1,-1,18,16,10,1,5,8,30,1,-2,-6,-2,1,0,0,3,2,1,0,-6,-1,0,-2
TRACT,41029001602,2945,1038,1078,366,463,754,572,507,274,286,552,1087,942,616,236,1611,536,624,108,6867,5900,0,0,121,0,472,374,1098,544,366,1822,1647,1390,2945,1040,1079,366,460,753,572,507,275,286,552,1118,968,624,235,1644,517,680,104,6916,5945,0,0,123,0,472,376,1086,547,367,1816,1643,1386,0,2,1,0,-3,-1,0,0,1,0,0,31,26,8,-1,33,-19,56,-4,49,45,0,0,2,0,0,2,-12,3,1,-6,-4,-4
TRACT,41029001700,3348,1144,1289,483,432,1062,733,660,264,278,351,1292,1259,663,59,1899,385,774,216,7411,6949,5,33,141,0,101,182,1275,400,695,2093,1416,1532,3348,1146,1288,483,431,1061,734,660,264,278,351,1326,1291,671,60,1929,370,841,208,7460,6992,6,35,143,0,101,183,1267,405,702,2095,1416,1530,0,2,-1,0,-1,-1,1,0,0,0,0,34,32,8,1,30,-15,67,-8,49,43,1,2,2,0,0,1,-8,5,7,2,0,-2
TRACT,41029001800,3923,1359,1556,605,403,995,575,506,576,519,752,1614,1215,835,174,2668,731,381,55,8443,7837,0,34,179,0,121,272,1092,441,938,1827,1979,2166,3923,1361,1557,604,401,994,576,506,576,519,752,1657,1248,845,173,2741,710,418,54,8502,7889,0,35,183,0,120,275,1087,446,947,1831,1981,2165,0,2,1,-1,-2,-1,1,0,0,0,0,43,33,10,-1,73,-21,37,-1,59,52,0,1,4,0,-1,3,-5,5,9,4,2,-1
TRACT,41029001900,897,325,298,120,154,260,269,134,62,27,145,205,405,185,81,534,301,8,34,2888,2469,103,43,107,0,30,136,216,491,952,683,310,236,897,309,292,123,173,261,266,137,63,27,143,210,415,186,86,557,298,9,33,2598,2227,91,39,95,0,25,121,271,424,819,598,276,209,0,-16,-6,3,19,1,-3,3,1,0,-2,5,10,1,5,23,-3,1,-1,-290,-242,-12,-4,-12,0,-5,-15,55,-67,-133,-85,-34,-27
TRACT,41029002000,1218,557,435,138,88,255,282,251,114,133,183,402,448,312,29,751,349,0,92,2270,2200,0,0,28,0,0,42,173,118,435,597,511,436,1218,558,434,138,88,255,282,251,114,133,183,413,460,316,29,782,345,0,91,2289,2217,0,0,29,0,0,43,175,119,441,598,512,436,0,1,-1,0,0,0,0,0,0,0,0,11,12,4,0,31,-4,0,-1,19,17,0,0,1,0,0,1,2,1,6,1,1,0
TRACT,41029002100,1814,879,628,118,189,390,359,308,122,161,474,785,646,343,0,1305,385,0,84,3451,3186,80,4,98,0,42,41,506,105,363,610,914,953,1814,879,628,118,189,389,359,308,123,161,474,805,661,348,0,1355,377,0,82,3483,3215,82,4,98,0,40,44,509,105,369,613,917,953,0,0,0,0,0,-1,0,0,1,0,0,20,15,5,0,50,-8,0,-2,32,29,2,0,0,0,-2,3,3,0,6,3,3,0
TRACT,41029002200,2188,888,767,310,223,448,365,279,226,164,706,875,753,369,143,1756,237,90,58,4361,4061,141,0,62,0,0,97,529,241,715,733,1092,1051,2188,889,767,310,222,448,367,278,226,164,705,899,773,374,142,1803,230,99,56,4393,4091,143,0,63,0,0,96,527,244,726,737,1095,1054,0,1,0,0,-1,0,2,-1,0,0,-1,24,20,5,-1,47,-7,9,-2,32,30,2,0,1,0,0,-1,-2,3,11,4,3,3
TRACT,41029002300,685,161,355,107,62,127,126,92,59,133,148,291,168,175,35,581,1,86,0,1579,1498,0,11,0,0,25,45,170,60,90,260,519,480,685,161,355,106,63,127,126,92,59,133,148,299,173,178,35,591,1,93,0,1592,1509,0,13,0,0,25,45,168,61,90,262,518,481,0,0,0,-1,1,0,0,0,0,0,0,8,5,3,0,10,0,7,0,13,11,0,2,0,0,0,0,-2,1,0,2,-1,1
TRACT,41029002400,813,199,401,108,105,134,219,89,86,71,214,283,272,192,49,677,13,102,3,2002,1822,14,0,19,0,24,123,234,177,171,381,517,522,813,199,400,108,106,134,218,89,86,72,214,290,279,196,48,688,11,111,3,2020,1835,14,0,20,0,23,128,237,179,174,384,516,520,0,0,-1,0,1,0,-1,0,0,1,0,7,7,4,-1,11,-2,9,0,18,13,0,0,1,0,-1,5,3,2,3,3,-1,-2
TRACT,41029002500,822,212,390,109,111,91,128,41,119,123,320,386,425,241,54,983,0,122,0,1933,1881,32,8,12,0,0,0,258,115,121,356,631,452,822,206,389,111,116,91,128,41,119,123,320,288,317,178,39,726,0,96,0,1781,1731,30,8,12,0,0,0,237,107,111,326,575,412,0,-6,-1,2,5,0,0,0,0,0,0,-98,-108,-63,-15,-257,0,-26,0,-152,-150,-2,0,0,0,0,0,-21,-8,-10,-30,-56,-40
TRACT,41029003001,405,23,262,60,60,30,52,97,77,49,100,717,594,354,44,1069,10,632,0,1019,1019,0,0,0,0,0,0,118,53,114,157,281,296,405,23,262,60,60,29,51,97,77,50,101,171,141,83,10,246,2,157,0,967,967,0,0,0,0,0,0,120,55,108,136,254,267,0,0,0,0,0,-1,-1,0,0,1,1,-546,-453,-271,-34,-823,-8,-475,0,-52,-52,0,0,0,0,0,0,2,2,-6,-21,-27,-29
