geography,id,num_hh_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_plus_control,hh_inc_0_20_control,hh_inc_21_40_control,hh_inc_41_60_control,hh_inc_61_75_control,hh_inc_76_100_control,hh_inc_100_plus_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,hh_by_type_sf_control,hh_by_type_mf_control,hh_by_type_mh_control,hh_by_type_dup_control,num_per_control,per_race_white_control,per_race_black_control,per_race_native_control,per_race_asian_control,per_race_pacific_control,per_race_other_control,per_race_multi_control,per_age_0_14_control,per_age_15_19_control,per_age_20_29_control,per_age_30_54_control,per_age_55_64_control,per_age_65_plus_control,num_hh_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_plus_result,hh_inc_0_20_result,hh_inc_21_40_result,hh_inc_41_60_result,hh_inc_61_75_result,hh_inc_76_100_result,hh_inc_100_plus_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,hh_by_type_sf_result,hh_by_type_mf_result,hh_by_type_mh_result,hh_by_type_dup_result,num_per_result,per_race_white_result,per_race_black_result,per_race_native_result,per_race_asian_result,per_race_pacific_result,per_race_other_result,per_race_multi_result,per_age_0_14_result,per_age_15_19_result,per_age_20_29_result,per_age_30_54_result,per_age_55_64_result,per_age_65_plus_result,num_hh_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_plus_diff,hh_inc_0_20_diff,hh_inc_21_40_diff,hh_inc_41_60_diff,hh_inc_61_75_diff,hh_inc_76_100_diff,hh_inc_100_plus_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff,hh_by_type_sf_diff,hh_by_type_mf_diff,hh_by_type_mh_diff,hh_by_type_dup_diff,num_per_diff,per_race_white_diff,per_race_black_diff,per_race_native_diff,per_race_asian_diff,per_race_pacific_diff,per_race_other_diff,per_race_multi_diff,per_age_0_14_diff,per_age_15_19_diff,per_age_20_29_diff,per_age_30_54_diff,per_age_55_64_diff,per_age_65_plus_diff
TRACT,41029000100,834,418,186,69,161,469,241,74,16,16,18,352,300,149,15,312,407,55,43,2061,1863,34,7,0,0,126,31,563,166,273,611,311,137,834,418,186,69,161,469,241,74,16,16,18,360,307,152,15,320,414,56,44,2059,1867,30,5,0,0,126,31,564,165,268,609,309,135,0,0,0,0,0,0,0,0,0,0,0,8,7,3,0,8,7,1,1,-2,4,-4,-2,0,0,0,0,1,-1,-5,-2,-2,-2
TRACT,41029000201,1458,480,500,145,333,501,497,234,138,56,32,302,689,409,24,935,387,0,102,3924,3426,23,291,48,0,46,90,978,289,639,1098,690,230,1458,481,501,145,331,501,497,234,139,55,32,309,705,420,24,957,397,0,104,3919,3426,19,293,48,0,47,86,970,285,634,1087,686,230,0,1,1,0,-2,0,0,0,1,-1,0,7,16,11,0,22,10,0,2,-5,0,-4,2,0,0,1,-4,-8,-4,-5,-11,-4,0
TRACT,41029000202,1347,399,410,194,344,395,335,294,142,86,95,383,465,389,82,795,321,7,195,3900,3390,8,51,0,0,308,143,663,364,773,1150,630,320,1347,399,410,194,344,395,334,294,143,86,95,391,475,397,84,814,327,7,199,3905,3397,7,49,0,0,308,144,660,361,766,1142,628,317,0,0,0,0,0,0,-1,0,1,0,0,8,10,8,2,19,6,0,4,5,7,-1,-2,0,0,0,1,-3,-3,-7,-8,-2,-3
TRACT,41029000203,1560,348,699,200,313,268,483,361,125,268,55,259,779,367,120,1382,12,17,114,3918,3440,18,46,0,0,229,185,787,280,714,1073,701,363,1560,348,699,199,314,268,483,360,126,268,55,265,797,376,122,1415,11,17,117,3932,3456,16,44,0,0,229,187,788,280,709,1072,700,362,0,0,0,-1,1,0,0,-1,1,0,0,6,18,9,2,33,-1,0,3,14,16,-2,-2,0,0,0,2,1,0,-5,-1,-1,-1
TRACT,41029000300,2334,616,589,627,502,703,578,333,311,201,208,672,907,552,152,1071,653,382,177,6264,5792,8,170,98,0,69,127,1719,130,1233,1461,1001,720,2334,615,588,627,504,702,578,333,311,201,209,686,927,565,156,1095,668,390,181,6283,5813,6,172,97,0,68,127,1711,131,1227,1460,998,719,0,-1,-1,0,2,-1,0,0,0,0,1,14,20,13,4,24,15,8,4,19,21,-2,2,-1,0,-1,0,-8,1,-6,-1,-3,-1
TRACT,41029000403,1525,392,584,251,298,98,206,261,228,269,463,480,548,390,73,1333,119,9,30,3916,3613,31,5,37,0,49,181,631,288,384,795,898,920,1525,392,584,251,298,97,207,261,228,269,463,491,560,398,76,1363,122,9,31,3928,3631,27,5,36,0,48,181,632,286,383,793,895,918,0,0,0,0,0,-1,1,0,0,0,0,11,12,8,3,30,3,0,1,12,18,-4,0,-1,0,-1,0,1,-2,-1,-2,-3,-2
TRACT,41029000404,1708,250,703,280,475,130,266,269,169,365,509,445,507,595,124,1638,8,24,0,4811,4450,42,0,92,0,17,210,886,394,296,1039,1059,1137,1708,250,703,279,476,129,266,271,169,365,508,455,518,608,127,1675,8,25,0,4828,4475,37,0,90,0,16,210,884,393,294,1040,1057,1129,0,0,0,-1,1,-1,0,2,0,0,-1,10,11,13,3,37,0,1,0,17,25,-5,0,-2,0,-1,0,-2,-1,-2,1,-2,-8
TRACT,41029000405,1742,582,569,228,363,448,284,451,229,133,197,493,587,514,109,734,911,0,59,4417,3983,97,0,22,163,33,119,874,153,656,1208,850,676,1742,581,569,228,364,447,285,450,229,133,198,504,600,527,111,753,929,0,60,4430,4009,86,0,44,136,35,120,874,154,659,1210,846,674,0,-1,0,0,1,-1,1,-1,0,0,1,11,13,13,2,19,18,0,1,13,26,-11,0,22,-27,2,1,0,1,3,2,-4,-2
TRACT,41029000406,1962,709,609,246,398,247,474,356,314,289,282,665,566,578,110,1132,785,0,0,4836,4098,9,16,151,69,178,315,991,296,882,991,743,933,1962,710,609,245,398,248,475,356,313,289,281,680,579,591,112,1159,803,0,0,4867,4119,24,16,150,60,182,316,990,294,886,998,743,935,0,1,0,-1,0,1,1,0,-1,0,-1,15,13,13,2,27,18,0,0,31,21,15,0,-1,-9,4,1,-1,-2,4,7,0,2
TRACT,41029000501,1278,424,464,227,163,313,336,227,109,131,162,293,645,294,16,843,308,27,73,2917,2627,0,26,12,41,54,157,656,145,586,737,418,375,1278,424,465,227,162,314,335,227,109,131,162,302,659,301,16,861,315,27,75,2916,2632,0,26,12,34,54,158,652,143,582,735,417,374,0,0,1,0,-1,1,-1,0,0,0,0,9,14,7,0,18,7,0,2,-1,5,0,0,0,-7,0,1,-4,-2,-4,-2,-1,-1
