Azone,Bzone,Czone,Marea
Barnstable,NA,NA,Barn
Berkshire,NA,NA,Berk
Bristol,NA,NA,Bos3
Dukes,NA,NA,None
Essex,NA,NA,Bos2
Franklin,NA,NA,None
Hampden,NA,NA,Hamp
Hampshire,NA,NA,Hamp
Middlesex,NA,NA,Bos2
Nantucket,NA,NA,None
Norfolk,NA,NA,Bos2
Plymouth,NA,NA,Bos3
Suffolk,NA,NA,Bos1
Worcester,NA,NA,Worc
