process,pid,rss,full_rss,uss,event,children,time
MainProcess,19348,105_037_824,115_617_792,76_800_000,pipeline.run before preload_injectables,1,2022/11/21 16:03:05.135287
MainProcess,19348,105_336_832,115_916_800,76_800_000,pipeline.run after preload_injectables,1,2022/11/21 16:03:05.142917
MainProcess,19348,105_365_504,115_945_472,76_804_096,pipeline.run_model input_pre_processor start,1,2022/11/21 16:03:05.151499
MainProcess,19348,128_438_272,139_018_240,99_442_688,pipeline.run_model input_pre_processor finished,1,2022/11/21 16:03:05.477070
MainProcess,19348,133_189_632,143_769_600,104_144_896,pipeline.run after input_pre_processor,1,2022/11/21 16:03:05.595921
MainProcess,19348,133_189_632,143_769_600,104_144_896,pipeline.run_model setup_data_structures start,1,2022/11/21 16:03:05.605045
MainProcess,19348,130_457_600,141_037_568,101_294_080,pipeline.run_model setup_data_structures finished,1,2022/11/21 16:03:06.149709
MainProcess,19348,130_052_096,140_632_064,100_765_696,pipeline.run after setup_data_structures,1,2022/11/21 16:03:06.312870
MainProcess,19348,130_400_256,140_980_224,100_765_696,pipeline.run_model initial_seed_balancing start,1,2022/11/21 16:03:06.322923
MainProcess,19348,129_761_280,140_341_248,100_364_288,pipeline.run_model initial_seed_balancing finished,1,2022/11/21 16:03:10.689738
MainProcess,19348,131_129_344,141_709_312,101_466_112,pipeline.run after initial_seed_balancing,1,2022/11/21 16:03:10.727286
MainProcess,19348,131_137_536,141_717_504,101_474_304,pipeline.run_model meta_control_factoring start,1,2022/11/21 16:03:10.734798
MainProcess,19348,131_137_536,141_717_504,101_474_304,pipeline.run_model meta_control_factoring finished,1,2022/11/21 16:03:10.745311
MainProcess,19348,131_141_632,141_721_600,101_478_400,pipeline.run after meta_control_factoring,1,2022/11/21 16:03:10.771853
MainProcess,19348,131_149_824,141_729_792,101_486_592,pipeline.run_model final_seed_balancing start,1,2022/11/21 16:03:10.780364
MainProcess,19348,131_149_824,141_729_792,101_486_592,pipeline.run_model final_seed_balancing finished,1,2022/11/21 16:03:10.790893
MainProcess,19348,131_182_592,141_762_560,101_781_504,pipeline.run after final_seed_balancing,1,2022/11/21 16:03:10.829078
MainProcess,19348,131_444_736,142_024_704,101_781_504,pipeline.run_model integerize_final_seed_weights start,1,2022/11/21 16:03:10.839089
MainProcess,19348,136_376_320,146_956_288,104_648_704,pipeline.run_model integerize_final_seed_weights finished,1,2022/11/21 16:03:11.613730
MainProcess,19348,137_093_120,147_673_088,105_013_248,pipeline.run after integerize_final_seed_weights,1,2022/11/21 16:03:11.651316
MainProcess,19348,137_097_216,147_677_184,105_013_248,pipeline.run_model sub_balancing.geography=TRACT start,1,2022/11/21 16:03:11.660829
